Area / Date,Fueltype,Code,Name,Intalled Capacity at the beginning of year [MW],Capacity,Location,Voltage Connection Level [kV],DateIn,DateRetrofit,Country,lat,long
BZN|PT / 01.01.2021 00:00 - 01.01.2022 00:00,Natural Gas,16WRIBATE------E,Ribatejo,1176.0,1176.0,ALENQUER,400,01.12.2014,,Portugal,,
BZN|PT / 01.01.2021 00:00 - 01.01.2022 00:00,Natural Gas,16WRTG---------V,T.Outeiro C.C.,990.0,990.0,GONDOMAR,220,01.12.2014,,Portugal,,
BZN|PT / 01.01.2021 00:00 - 01.01.2022 00:00,Natural Gas,16WPEGO--------O,Pego C.C.,837.0,837.0,ABRANTES,400,01.12.2014,,Portugal,,
BZN|PT / 01.01.2021 00:00 - 01.01.2022 00:00,Natural Gas,16WLARES-------R,Lares,826.0,826.0,FIGUEIRA DA FOZ,400,01.12.2014,,Portugal,,
BZN|RO / 01.01.2021 00:00 - 01.01.2022 00:00,Natural Gas,30W-CET-PETROM-L,TPP CCCC Petrom Brazi,832.0,832.0,internal,400,01.12.2014,,Romania,,
BZN|RO / 01.01.2021 00:00 - 01.01.2022 00:00,Natural Gas,30W-CET-IERN---J,TPP Iernut,282.0,282.0,internal,220,01.12.2014,,Romania,,
BZN|RO / 01.01.2021 00:00 - 01.01.2022 00:00,Natural Gas,30W-CET-BRAZ---Q,TPP Brazi,223.0,223.0,internal,110,01.12.2014,,Romania,,
BZN|RO / 01.01.2021 00:00 - 01.01.2022 00:00,Natural Gas,30W-CET-GALA---G,TPP Galati,344.0,192.0,internal,110,01.12.2014,,Romania,,
BZN|RO / 01.01.2021 00:00 - 01.01.2022 00:00,Natural Gas,30W-CET-BUCV---D,TPP Bucuresti Vest,171.0,171.0,internal,110,01.12.2014,,Romania,,
BZN|RO / 01.01.2021 00:00 - 01.01.2022 00:00,Natural Gas,30W-CET-BUCS---S,TPP Bucuresti Sud,168.0,168.0,internal,220,01.12.2014,,Romania,,
BZN|FI / 01.01.2021 00:00 - 01.01.2022 00:00,Natural Gas,44W-T-YT-000013J,Vuosaari,480.0,480.0,Helsinki,110,21.05.2013,,Finland,,
BZN|FI / 01.01.2021 00:00 - 01.01.2022 00:00,Natural Gas,44W-T-YT-000010P,Suomenoja,354.0,354.0,Espoo,110,05.09.2013,,Finland,,
BZN|FI / 01.01.2021 00:00 - 01.01.2022 00:00,Natural Gas,44W-T-YT-000005I,Lielahti,142.0,142.0,Tampere,110,30.10.2013,,Finland,,
BZN|FI / 01.01.2021 00:00 - 01.01.2022 00:00,Natural Gas,44W-T-YT-000007E,Naistenlahti 1,129.0,129.0,Tampere,110,30.10.2013,,Finland,,
BZN|NL / 01.01.2021 00:00 - 01.01.2022 00:00,Natural Gas,49W000000000044-,Eemshaven,1410.0,1410.0,intra_zonal,380,10.12.2014,,Norway,,
BZN|NL / 01.01.2021 00:00 - 01.01.2022 00:00,Natural Gas,49W000000000069K,Claus,1304.0,1304.0,intra_zonal,380,24.07.2014,,Norway,,
BZN|NL / 01.01.2021 00:00 - 01.01.2022 00:00,Natural Gas,49W000000000046W,Velsen,869.0,869.0,intra_zonal,150,10.12.2014,,Norway,,
BZN|NL / 01.01.2021 00:00 - 01.01.2022 00:00,Natural Gas,49W000000000058P,Enecogen,844.0,844.0,Rotterdam-Europoort,380,06.01.2011,,Norway,,
BZN|NL / 01.01.2021 00:00 - 01.01.2022 00:00,Natural Gas,49W0000000001128,Rijmond,790.0,790.0,intra_zonal,150,06.06.2017,,Norway,,
BZN|NL / 01.01.2021 00:00 - 01.01.2022 00:00,Natural Gas,49W000000000063W,Moerdijk,766.0,766.0,intra_zonal,150,24.07.2014,,Norway,,
BZN|NL / 01.01.2021 00:00 - 01.01.2022 00:00,Natural Gas,49W0000000000431,Diemen,684.0,684.0,intra_zonal,380,10.12.2014,,Norway,,
BZN|NL / 01.01.2021 00:00 - 01.01.2022 00:00,Natural Gas,49W000000000048S,Elsta,455.0,455.0,intra_zonal,150,01.03.2012,,Norway,,
BZN|NL / 01.01.2021 00:00 - 01.01.2022 00:00,Natural Gas,49W000000000045Y,Hemweg,440.0,440.0,intra_zonal,150,10.12.2014,,Norway,,
BZN|NL / 01.01.2021 00:00 - 01.01.2022 00:00,Natural Gas,49W0000000000512,Sloecentrale 10,435.0,435.0,intra_zonal,380,01.01.2014,,Norway,,
BZN|NL / 01.01.2021 00:00 - 01.01.2022 00:00,Natural Gas,49W000000000117Z,Sloecentrale 20,435.0,435.0,intra_zonal,380,01.01.2014,,Norway,,
BZN|NL / 01.01.2021 00:00 - 01.01.2022 00:00,Natural Gas,49W000000000074R,FLEVO 5,428.0,428.0,Netherlands,150,21.10.2009,,Norway,,
BZN|NL / 01.01.2021 00:00 - 01.01.2022 00:00,Natural Gas,49W0000000001225,Maastroom Energie CV,426.0,426.0,intra_zonal,380,01.01.2015,,Norway,,
BZN|NL / 01.01.2021 00:00 - 01.01.2022 00:00,Natural Gas,49W000000000072V,FLEVO 4,423.0,423.0,Netherlands,380,08.05.2009,,Norway,,
BZN|NL / 01.01.2021 00:00 - 01.01.2022 00:00,Natural Gas,49W000000000080W,Eems 7,360.0,360.0,NL,380,01.01.2000,,Norway,,
BZN|NL / 01.01.2021 00:00 - 01.01.2022 00:00,Natural Gas,49W000000000082S,Eems 6,360.0,360.0,NL,380,01.01.2000,,Norway,,
BZN|NL / 01.01.2021 00:00 - 01.01.2022 00:00,Natural Gas,49W000000000084O,Eems 5,360.0,360.0,NL,220,01.01.2000,,Norway,,
BZN|NL / 01.01.2021 00:00 - 01.01.2022 00:00,Natural Gas,49W000000000086K,Eems 4,360.0,360.0,NL,220,01.01.2000,,Norway,,
BZN|NL / 01.01.2021 00:00 - 01.01.2022 00:00,Natural Gas,49W000000000088G,Eems 3,360.0,360.0,NL,220,01.01.2000,,Norway,,
BZN|NL / 01.01.2021 00:00 - 01.01.2022 00:00,Natural Gas,49W000000000152X,Delesto 2,343.0,343.0,Farmsum,110,10.01.2007,,Norway,,
BZN|NL / 01.01.2021 00:00 - 01.01.2022 00:00,Natural Gas,49W000000000047U,LW 06 Utrecht,248.0,248.0,Keulsekade 181,150,30.12.2000,,Norway,,
BZN|NL / 01.01.2021 00:00 - 01.01.2022 00:00,Natural Gas,49W000000000090T,MK12 Utrecht,225.0,225.0,Keulsekade 181,150,30.12.2000,,Norway,,
BZN|NL / 01.01.2021 00:00 - 01.01.2022 00:00,Natural Gas,49W0000000001047,RoCa,220.0,220.0,intra_zonal,150,11.12.2014,,Norway,,
BZN|NL / 01.01.2021 00:00 - 01.01.2022 00:00,Natural Gas,49W000000000061-,Swentibold,209.0,209.0,intra_zonal,150,24.07.2014,,Norway,,
