id,CARMA,GEO,OPSD,WRI,Country,Fueltype,Classification,Capacity,lat,lon,File,Scaled Capacity
0,Cheylas,Cheylas le,Cheylas,Cheylas,France,Hydro,Pumped Storage,497.12,45.381099025,5.9962121,"RTE, France Power Plant.csv",525.280892281
1,Pouget,Pouget le,Pouget,Pouget,France,Hydro,Reservoir,572.5,43.95625225,2.923728,"RTE, France Power Plant.csv",604.931024362
2,Revin,Revin pump,Revin,Revin,France,Hydro,Pumped Storage,808.0,49.9282820819,4.61650168478,"RTE, France Power Plant.csv",853.77164661
3,Montezic,Montezic pump,Montezic,Montezic,France,Hydro,Pumped Storage,912.0,44.72265525,2.64104925,"RTE, France Power Plant.csv",963.663046669
4,Bissorte,Bissorte,Super bissorte,Super bissorte,France,Hydro,Reservoir,883.0,45.332296,6.564308,"RTE, France Power Plant.csv",933.020252421
5,Grand maison,Grand maison,Grand maison,Grand maison,France,Hydro,Pumped Storage,1820.0,45.17928375,6.09129425,"RTE, France Power Plant.csv",1923.09950103
6,Coche,Coche,Coche,Coche,France,Hydro,Pumped Storage,320.0,45.486111725,6.528147975,"RTE, France Power Plant.csv",338.127384796
7,Genissiat seyssel,Genissiat,Genissiat,Genissiat,France,Hydro,Reservoir,420.0,46.0019033333,5.91417223333,"RTE, France Power Plant.csv",443.792192545
8,Beauchastel,Beauchastel,Beauchastel,Beauchastel,France,Hydro,Run-Of-River,204.0,44.8604344333,4.84049666667,"RTE, France Power Plant.csv",215.556207807
9,Ottmarsheim,Ottmarsheim,Ottmarsheim,Ottmarsheim,France,Hydro,Run-Of-River,156.0,47.7781803333,7.51827066667,"RTE, France Power Plant.csv",164.837100088
10,Sisteron,Sisteron,Sisteron,Sisteron,France,Hydro,Reservoir,256.0,44.1909166667,5.93979266667,"RTE, France Power Plant.csv",270.501907837
11,Pied borne,Pied borne,Pied borne,Borne,France,Hydro,Reservoir,110.0,44.475555328,3.98633879659,"RTE, France Power Plant.csv",116.231288524
12,Aston,Aston,Aston,Aston,France,Hydro,Reservoir,116.0,42.776029,1.67571133333,"RTE, France Power Plant.csv",122.571176989
13,Kembs,Kembs,Kembs,Kembs,France,Hydro,Run-Of-River,156.0,47.6666076667,7.51427466667,"RTE, France Power Plant.csv",164.837100088
14,Gerstheim,Gerstheim,Gerstheim,Gerstheim,France,Hydro,Run-Of-River,141.0,48.3964246667,7.719611,"RTE, France Power Plant.csv",148.987378926
15,Brommat,Brommat,Brommat,Brommat,France,Hydro,Reservoir,444.0,44.534853,2.09002266667,"RTE, France Power Plant.csv",469.151746404
16,Pragneres,Pragneres,Pragneres,Pragneres,France,Hydro,Reservoir,292.0,42.809754,0.0130713333333,"RTE, France Power Plant.csv",308.541238626
17,Leonard,St leonard,St léonard,St léonard,Switzerland,Hydro,Reservoir,36.0,46.5169416513,7.88312020745,"BFE, Switzerland Power Plant.csv",24.5171960889
18,Stalden,Stalden,Stalden,Stalden kwm,Switzerland,Hydro,Reservoir,185.0,46.5144641015,7.98549293207,"BFE, Switzerland Power Plant.csv",125.991146568
19,Zermeiggern,Zermeiggern,Zermeiggern,Zermeiggern,Switzerland,Hydro,Pumped Storage,76.0,46.0832408369,7.95719213483,"BFE, Switzerland Power Plant.csv",51.7585250766
20,Aarberg,Aarberg,Aarberg,Aarberg,Switzerland,Hydro,Run-Of-River,15.5,47.0400152756,7.27323628073,"BFE, Switzerland Power Plant.csv",10.5560149827
21,Muehleberg wkw,Muehleberg,Mühleberg,Mühleberg,Switzerland,Hydro,Run-Of-River,45.0,46.8565610445,7.9261246817,"BFE, Switzerland Power Plant.csv",30.6464951112
22,Caderousse,Caderousse,Caderousse,Caderousse,France,Hydro,Run-Of-River,195.18,44.1104183333,4.751732,"RTE, France Power Plant.csv",206.236571764
23,Avignon,Avignon,Avignon,Avignon,France,Hydro,Run-Of-River,176.0,43.9667995448,4.81437727132,"RTE, France Power Plant.csv",185.970061638
24,Baix logis neuf,Logis neuf,Baix logis neuf,Baix logis neuf,France,Hydro,Run-Of-River,215.0,44.7617944333,4.82509,"RTE, France Power Plant.csv",227.17933666
25,Bourg valence,Bourg les valence,Bourg les valence,Bourg les valence,France,Hydro,Run-Of-River,186.0,44.9760963333,4.87381233333,"RTE, France Power Plant.csv",196.536542413
26,Donzere,Bollene,Donzere mondragon,Donzere mondragon,France,Hydro,Run-Of-River,354.0,44.3495243333,4.73198733333,"RTE, France Power Plant.csv",374.053419431
27,Mareges,Mareges,Mareges,Mareges,France,Hydro,Reservoir,301.8,45.39457,2.35948666667,"RTE, France Power Plant.csv",318.896389786
28,Sainte croix,Sainte croix,Sainte croix,Sainte croix,France,Hydro,Reservoir,158.0,43.74129,6.13941,"RTE, France Power Plant.csv",166.950396243
29,Couesque,Couesque,Couesque,Couesque,France,Hydro,Reservoir,124.5,44.679384381,2.57933446147,"RTE, France Power Plant.csv",131.552685647
30,Oraison,Oraison,Oraison,Oraison,France,Hydro,Reservoir,195.0,43.9362255667,5.8775711,"RTE, France Power Plant.csv",206.04637511
31,Chamas,Saint chamas,Saint chamas,Saint chamas,France,Hydro,Reservoir,165.0,43.5346246667,5.059888,"RTE, France Power Plant.csv",174.346932785
32,Etienne cantales,Saint etienne cantales,St etienne cantales,St etienne cantales,France,Hydro,Reservoir,106.5,44.9456623333,2.22074566667,"RTE, France Power Plant.csv",112.533020252
33,Strasbourg,Strasbourg,Strasbourg,Strasbourg,France,Hydro,Run-Of-River,174.82,48.5450103762,7.77817268962,"RTE, France Power Plant.csv",184.723216906
34,Bathie,Bathie,Bathie,Bathie,France,Hydro,Reservoir,1056.0,45.6528053333,6.50671,"RTE, France Power Plant.csv",1115.82036983
35,Serre poncon,Serre poncon,Serre poncon,Serre poncon,France,Hydro,Reservoir,384.0,44.4689056667,6.25219166667,"RTE, France Power Plant.csv",405.752861755
36,Monteynard,Monteyard avigonnet,Monteynard,Monteynard,France,Hydro,Reservoir,366.0,45.040252,5.30288266667,"RTE, France Power Plant.csv",386.73319636
37,Malgovert,Brevieres malgovert,Malgovert,Malgovert,France,Hydro,Reservoir,396.0,45.6367975398,6.6571165804,"RTE, France Power Plant.csv",418.432638685
38,Bort,Bort les orgues,Bort,Bort,France,Hydro,Reservoir,240.0,45.4085633333,2.49920666667,"RTE, France Power Plant.csv",253.595538597
39,Esteve,Saint esteve janson,Saint esteve,Saint esteve,France,Hydro,Reservoir,156.0,43.8552744333,5.6455189,"RTE, France Power Plant.csv",164.837100088
40,Fessenheim hydro,Fessenheim,Fessenheim,Fessenheim,France,Hydro,Run-Of-River,175.0,47.9157003333,7.55955166667,"RTE, France Power Plant.csv",184.91341356
41,Chastang,Chastang,Chastang,Chastang,France,Hydro,Reservoir,300.0,45.1448536667,2.01439666667,"RTE, France Power Plant.csv",316.994423246
42,Sarrans,Sarrans,Sarrans,Sarrans,France,Hydro,Reservoir,183.0,44.834359,2.71386966667,"RTE, France Power Plant.csv",193.36659818
43,Rhinau,Rhinau,Rhinau,Rhinau,France,Hydro,Run-Of-River,167.8,48.286207739,7.67326293986,"RTE, France Power Plant.csv",177.305547402
44,Marckolsheim,Marckolsheim,Marckolsheim,Marckolsheim,France,Hydro,Run-Of-River,156.2,48.1574738258,7.57426751099,"RTE, France Power Plant.csv",165.048429704
45,Guillerme,St. guillerme,Saint guillerme,Saint guillerme,France,Hydro,Reservoir,116.0,45.0387756667,6.06266166667,"RTE, France Power Plant.csv",122.571176989
46,Villarodin mont cenis,Villarodin,Villarodin,Villarodin,France,Hydro,Reservoir,360.0,45.20922,6.69991556667,"RTE, France Power Plant.csv",380.393307896
47,Vouglans,Vouglans,Vouglans,Vouglans,France,Hydro,Reservoir,288.0,46.3992734113,5.66014031047,"RTE, France Power Plant.csv",304.314646316
48,Curbans,Curbans,Curbans,Curbans,France,Hydro,Reservoir,165.0,44.4322596667,6.040113,"RTE, France Power Plant.csv",174.346932785
49,Felsenau,Felsenau,Felsenau,Felsenau,Switzerland,Hydro,Run-Of-River,11.94,46.9613443082,7.44286400767,"BFE, Switzerland Power Plant.csv",8.13153670283
50,Gondo,Gondo,Gondo,Gondo,Switzerland,Hydro,Reservoir,46.0,46.2281959235,8.10708040296,"BFE, Switzerland Power Plant.csv",31.3275283358
51,Innertkirchen,Innertkirchen,Innertkirchen,Innertkirchen,Switzerland,Hydro,Reservoir,317.0,46.8613412954,8.44225189916,"BFE, Switzerland Power Plant.csv",215.887532227
52,Handeck,Handeck,Handeck diagonalpumpe,Handeck,Switzerland,Hydro,Reservoir,259.0,46.5246371537,8.06716234806,"BFE, Switzerland Power Plant.csv",176.387605195
53,Gordola,Verzasca,Verzasca gordola,Gordola,Switzerland,Hydro,Reservoir,132.5,46.18919393,8.44072745355,"BFE, Switzerland Power Plant.csv",90.2369022717
54,Chatelard,Chatelard vallorcine,Châtelard barberine,Châtelard vallorcine,Switzerland,Hydro,Reservoir,260.5,46.0617255962,6.95869413742,"BFE, Switzerland Power Plant.csv",177.409155032
55,Verbois,Verbois,Verbois,Verbois,Switzerland,Hydro,Run-Of-River,102.8,46.4173360073,6.94483448516,"BFE, Switzerland Power Plant.csv",70.0102154984
56,Chancy pougny,Chancy pougny,Chancy pougny,Chancy pougny,Switzerland,Hydro,Run-Of-River,54.48,46.1601355945,5.97597430023,"BFE, Switzerland Power Plant.csv",37.1026900812
57,Hopflauenen trift,Hopflauenen,Hopflauenen trift,Hopflauenen trift,Switzerland,Hydro,Reservoir,92.0,46.5469602547,7.9354832774,"BFE, Switzerland Power Plant.csv",62.6550566717
58,Grimsel ost,Grimsel,Grimsel grimselsee,Grimsel,Switzerland,Hydro,Reservoir,380.5,46.483338226,8.14532735837,"BFE, Switzerland Power Plant.csv",259.133141995
59,Seujet,Seujet,Seujet,Seujet,Switzerland,Hydro,Run-Of-River,8.7,46.2036598739,6.13498579275,"BFE, Switzerland Power Plant.csv",5.92498905482
60,Croix,Croix,Croix,Croix,Switzerland,Hydro,Reservoir,66.0,46.5274564645,7.43804986011,"BFE, Switzerland Power Plant.csv",44.9481928297
61,Gabi,Gabi,Gabi,Gabi,Switzerland,Hydro,Reservoir,11.33,46.1882057668,8.07013349225,"BFE, Switzerland Power Plant.csv",7.71610643576
62,Niederried radelfingen,Niederried radelfingen,Niederried,Niederried,Switzerland,Hydro,Run-Of-River,15.0,47.0031360883,7.24106783559,"BFE, Switzerland Power Plant.csv",10.2154983704
63,,Aussois + combe d'avrieux,Combe d'avrieux,Combe d'avrieux,France,Hydro,Reservoir,198.0,45.21424,6.716265,"RTE, France Power Plant.csv",209.216319343
64,,Eglisau,Eglisau,Eglisau,Switzerland,Hydro,Run-Of-River,47.0,47.3769207134,8.22364002888,"BFE, Switzerland Power Plant.csv",32.0085615605
65,,Grimsel,Grimsel oberaarsee,Grimsel oberaarsee,Switzerland,Hydro,Reservoir,67.0,46.7108760255,7.85585119119,"BFE, Switzerland Power Plant.csv",45.6292260544
66,Etzelwerk altendorf,,Etzelwerk,Etzelwerk altendorf,Switzerland,Hydro,Pumped Storage,142.44,47.0178065806,8.93815245746,"BFE, Switzerland Power Plant.csv",97.0063725252
67,Robiei,,Robiei,Robiei,Switzerland,Hydro,Pumped Storage,173.0,46.3406216966,8.33791163361,"BFE, Switzerland Power Plant.csv",117.818747872
68,Ova spin,,Ova spin dotieranlage,Ova spin dotierzentrale,Switzerland,Hydro,Run-Of-River,54.47,46.9094660769,9.38105798337,"BFE, Switzerland Power Plant.csv",37.095879749
69,Ferrera khr,,Ferrera,Ferrera,Switzerland,Hydro,Run-Of-River,188.63,46.4593793548,8.96815556171,"BFE, Switzerland Power Plant.csv",128.463297174
70,Mapragg,,Mapragg,Mapragg,Switzerland,Hydro,Pumped Storage,370.0,47.0192039325,9.4772801265,"BFE, Switzerland Power Plant.csv",251.982293136
71,Vieze,,Monthey vièze,Monthey vièze,Switzerland,Hydro,Run-Of-River,13.6,46.2523586038,6.95393602661,"BFE, Switzerland Power Plant.csv",9.26205185582
72,Tine,,Monthey tine,Monthey tine,Switzerland,Hydro,Run-Of-River,9.8,46.2523586038,6.95393602661,"BFE, Switzerland Power Plant.csv",6.67412560198
73,Lessoc,,Lessoc,Lessoc,Switzerland,Hydro,Run-Of-River,8.56,46.5054450944,7.05769199478,"BFE, Switzerland Power Plant.csv",5.82964440337
74,Vogelgrun,,Vogelgrun,Vogelgrun,France,Hydro,Run-Of-River,140.5,48.0190657461,7.55094109711,"RTE, France Power Plant.csv",148.459054887
75,Randens,,Randens,Randens,France,Hydro,Run-Of-River,124.2,45.535348,6.3110545,"RTE, France Power Plant.csv",131.235691224
76,Hermillion,,Hermillon,Hermillon,France,Hydro,Run-Of-River,115.6,45.28378665,6.353995,"RTE, France Power Plant.csv",122.148517758
77,Fieschertal,,Fieschertal,Fieschertal,Switzerland,Hydro,Run-Of-River,65.0,46.8050056361,8.46543501033,"BFE, Switzerland Power Plant.csv",44.267159605
78,Vissoie,,"Vissoie ""groupe auxiliaire""","Vissoie ""groupe auxiliaire""",Switzerland,Hydro,Reservoir,50.68,46.3074189515,7.58191284456,"BFE, Switzerland Power Plant.csv",34.5147638274
79,Giumaglio,,Giumaglio,Giumaglio,Switzerland,Hydro,Run-Of-River,8.94,46.2783648609,8.67592891707,"BFE, Switzerland Power Plant.csv",6.08843702875
80,Bitsch,,Bitsch,Bitsch biel,Switzerland,Hydro,Reservoir,356.0,46.4692633907,7.50202001323,"BFE, Switzerland Power Plant.csv",242.44782799
81,Martigny bourg,,Martigny bourg,Martigny bourg,Switzerland,Hydro,Run-Of-River,22.0,46.0894623069,7.06138188344,"BFE, Switzerland Power Plant.csv",14.9827309432
82,Turtmann,,Turtmann,Turtmann,Switzerland,Hydro,Reservoir,24.0,46.2984401299,7.69397468202,"BFE, Switzerland Power Plant.csv",16.3447973926
83,Litziruti arosa,,Arosa litzirüti,Litzirüti,Switzerland,Hydro,Run-Of-River,5.0,46.7997138601,9.70526843758,"BFE, Switzerland Power Plant.csv",3.40516612346
84,Luen,,Molinis lüen,"Lüen plessur, clasaurer",Switzerland,Hydro,Run-Of-River,7.2,46.8391517486,9.5695105858,"BFE, Switzerland Power Plant.csv",4.90343921778
85,Filisur,,Filisur,Filisur,Switzerland,Hydro,Run-Of-River,65.0,46.6710194847,9.68860781778,"BFE, Switzerland Power Plant.csv",44.267159605
86,Pintrun,,Pintrun,Pintrun,Switzerland,Hydro,Run-Of-River,6.48,46.777180749,9.08875622883,"BFE, Switzerland Power Plant.csv",4.41309529601
87,Soazza,,Soazza,Soazza,Switzerland,Hydro,Run-Of-River,83.0,46.3763078347,8.75100461688,"BFE, Switzerland Power Plant.csv",56.5257576495
88,Reichenau,,Reichenau,Reichenau,Switzerland,Hydro,Run-Of-River,19.06,46.6855335043,9.32366550723,"BFE, Switzerland Power Plant.csv",12.9804932626
89,Sedrun,,Sedrun,Sedrun,Switzerland,Hydro,Reservoir,150.75,46.6758028255,8.77359526871,"BFE, Switzerland Power Plant.csv",102.665758622
90,Siebnen,,Wägital siebnen,Siebnen,Switzerland,Hydro,Reservoir,51.52,46.8971363225,8.2798856938,"BFE, Switzerland Power Plant.csv",35.0868317361
91,Champsec,,Champsec,Champsec,Switzerland,Hydro,Run-Of-River,16.45,46.0575926787,7.24551044194,"BFE, Switzerland Power Plant.csv",11.2029965462
92,Riddes,,Riddes,Riddes,Switzerland,Hydro,Reservoir,278.5,46.3785736267,7.2004636324,"BFE, Switzerland Power Plant.csv",189.667753077
93,Goschenen,,Göschenen andermatt,Göschenen andermatt,Switzerland,Hydro,Run-Of-River,33.26,46.5494911184,8.31806790063,"BFE, Switzerland Power Plant.csv",22.6511650533
94,Fionnay mauvoisin,,Fionnay mauvoisin,Fionnay mauvoisin,Switzerland,Hydro,Reservoir,140.0,46.2507340084,7.40871044997,"BFE, Switzerland Power Plant.csv",95.3446514569
95,Goschenernalp,,Göschenen göscheneralp,Göschenen göscheneralp,Switzerland,Hydro,Reservoir,164.8,46.6586814276,8.53432370095,"BFE, Switzerland Power Plant.csv",112.234275429
96,Rempen,,Wägital rempen,Rempen,Switzerland,Hydro,Pumped Storage,66.24,47.3244604264,8.75095488686,"BFE, Switzerland Power Plant.csv",45.1116408036
97,Reckingen,,Reckingen,Reckingen,Switzerland,Hydro,Run-Of-River,39.5,47.0566502516,8.04632534003,"BFE, Switzerland Power Plant.csv",26.9008123753
98,Klingnau,,Klingnau,Klingnau,Switzerland,Hydro,Run-Of-River,42.6,47.60215105,8.23161236674,"BFE, Switzerland Power Plant.csv",29.0120153719
99,Augst,,Augst,Augst,Switzerland,Hydro,Run-Of-River,35.0,47.5067084832,7.66228021259,"BFE, Switzerland Power Plant.csv",23.8361628642
100,Bremgarten zufikon,,Bremgarten zufikon,Bremgarten zufikon,Switzerland,Hydro,Run-Of-River,20.0,47.3473741666,8.34388506509,"BFE, Switzerland Power Plant.csv",13.6206644938
101,Piottino,,Piottino,Piottino,Switzerland,Hydro,Run-Of-River,72.9,46.7298563675,9.07843416829,"BFE, Switzerland Power Plant.csv",49.6473220801
102,Stalvedro aet,,Stalvedro aet,Stalvedro aet,Switzerland,Hydro,Run-Of-River,14.0,46.5155100554,8.67798446906,"BFE, Switzerland Power Plant.csv",9.53446514569
103,Nuova biaschina,,Nuova biaschina,Biaschina,Switzerland,Hydro,Run-Of-River,141.0,46.5640544768,8.22738286224,"BFE, Switzerland Power Plant.csv",96.0256846816
104,Kandergrund,,Kandergrund,Kandergrund,Switzerland,Hydro,Run-Of-River,19.0,46.5461486992,7.65992479976,"BFE, Switzerland Power Plant.csv",12.9396312692
105,Bannwil,,Bannwil,Bannwil,Switzerland,Hydro,Run-Of-River,53.76,47.0009478031,8.23563505724,"BFE, Switzerland Power Plant.csv",36.6123461595
106,Wynau,,Wynau,Wynau,Switzerland,Hydro,Run-Of-River,20.2,47.2559756125,7.80117056654,"BFE, Switzerland Power Plant.csv",13.7568711388
107,Kallnach,,Kallnach,Kallnach,Switzerland,Hydro,Run-Of-River,8.3,47.0209090076,7.23181524511,"BFE, Switzerland Power Plant.csv",5.65257576495
108,Goule,,Goule,Goule,Switzerland,Hydro,Run-Of-River,5.87,47.1907682082,6.96272804015,"BFE, Switzerland Power Plant.csv",3.99766502894
109,Spiez,,Spiez,Spiez,Switzerland,Hydro,Run-Of-River,18.66,46.6906920201,7.6780297362,"BFE, Switzerland Power Plant.csv",12.7080799728
110,Laufenburg,,Laufenburg,Laufenburg,Switzerland,Hydro,Run-Of-River,110.0,47.4322662031,7.89123396777,"BFE, Switzerland Power Plant.csv",74.9136547162
111,Martina,,Pradella martina,Martina,Switzerland,Hydro,Reservoir,84.0,46.6342737129,9.32219567123,"BFE, Switzerland Power Plant.csv",57.2067908742
112,Hinterthal huribach,,Hüribach,Hinterthal hüribach,Switzerland,Hydro,Run-Of-River,4.7,46.9738830748,8.77374334576,"BFE, Switzerland Power Plant.csv",3.20085615605
113,Sahli glattalp,,Glattalp,Sahli glattalp,Switzerland,Hydro,Run-Of-River,9.3,46.9166506421,8.86487379857,"BFE, Switzerland Power Plant.csv",6.33360898964
114,Wernisberg,,Wernisberg,Wernisberg,Switzerland,Hydro,Run-Of-River,20.4,47.0036319124,8.64831309207,"BFE, Switzerland Power Plant.csv",13.8930777837
115,Hinterthal muota,,Muota,Hinterthal muota,Switzerland,Hydro,Run-Of-River,8.8,46.9738830748,8.77374334576,"BFE, Switzerland Power Plant.csv",5.99309237729
116,Stechelberg,,Stechelberg,Stechelberg,Switzerland,Hydro,Run-Of-River,4.3,46.5439280881,7.90069741471,"BFE, Switzerland Power Plant.csv",2.92844286618
117,Dallenwil,,Dallenwil,Dallenwil,Switzerland,Hydro,Run-Of-River,18.24,46.9179303404,8.39073043739,"BFE, Switzerland Power Plant.csv",12.4220460184
118,Obermatt,,Obermatt nebenkraftwerk,"Zwingen, obermatt",Switzerland,Hydro,Run-Of-River,33.92,46.9457663986,8.20622308517,"BFE, Switzerland Power Plant.csv",23.1006469816
119,Isenthal,,Isenthal bolzbach,Isenthal bolzbach,Switzerland,Hydro,Run-Of-River,12.0,46.8905997786,8.60475906588,"BFE, Switzerland Power Plant.csv",8.17239869631
120,Burglen,,Bürglen unterschächen,Bürglen unterschächen,Switzerland,Hydro,Run-Of-River,23.0,46.9853565142,8.68698458927,"BFE, Switzerland Power Plant.csv",15.6637641679
121,Arniberg,,Arniberg,Arniberg,Switzerland,Hydro,Run-Of-River,13.0,46.7701557397,8.66776806461,"BFE, Switzerland Power Plant.csv",8.853431921
122,Ganterbrucke,,Ganterbach saltina,Ganterbrücke,Switzerland,Hydro,Run-Of-River,6.1,46.3004517928,8.02741971086,"BFE, Switzerland Power Plant.csv",4.15430267062
123,Wolfenschiessen,,Wolfenschiessen,Wolfenschiessen,Switzerland,Hydro,Run-Of-River,8.6,46.908681743,8.39607393996,"BFE, Switzerland Power Plant.csv",5.85688573235
124,Lungererseewerk unteraa,,Unteraa lungerersee,Unteraa lungerersee,Switzerland,Hydro,Reservoir,54.5,46.8784307314,7.7520426162,"BFE, Switzerland Power Plant.csv",37.1163107457
125,Letten,,Letten,Letten,Switzerland,Hydro,Run-Of-River,5.0,47.3768396452,8.54116096673,"BFE, Switzerland Power Plant.csv",3.40516612346
126,Tinizong,,Tinizong,Tinizong,Switzerland,Hydro,Reservoir,76.5,46.4911741617,8.70725678588,"BFE, Switzerland Power Plant.csv",52.099041689
127,Castasegna,,Castasegna,Castasegna,Switzerland,Hydro,Reservoir,100.0,46.2824550726,8.34309752787,"BFE, Switzerland Power Plant.csv",68.1033224692
128,Sublin,,Sublin,Sublin,Switzerland,Hydro,Run-Of-River,10.61,46.2586183709,7.02580029112,"BFE, Switzerland Power Plant.csv",7.22576251399
129,Bocki,,Bocki,Bocki,Switzerland,Hydro,Run-Of-River,8.7,46.8299068945,8.6413307802,"BFE, Switzerland Power Plant.csv",5.92498905482
130,Charmey,,Charmey perré,Charmey le perré,Switzerland,Hydro,Run-Of-River,5.27,46.6170422783,7.10924976875,"BFE, Switzerland Power Plant.csv",3.58904509413
131,Montbovon,,Montbovon,Montbovon,Switzerland,Hydro,Run-Of-River,31.0,46.7446943427,7.64822181314,"BFE, Switzerland Power Plant.csv",21.1120299655
132,Montpezat,,Montpezat,Montpezat,France,Hydro,Reservoir,133.7,44.2208135,5.180475,"RTE, France Power Plant.csv",141.27384796
133,Saussaz,,Saussaz,Saussaz,France,Hydro,Run-Of-River,146.0,45.214172,6.4746025,"RTE, France Power Plant.csv",154.270619313
134,Passy,,Passy,Passy,France,Hydro,Run-Of-River,109.4,45.9183485,6.7067855,"RTE, France Power Plant.csv",115.597299677
135,Lee hydro,,Les clées,Lee,Ireland,Hydro,Run-Of-River,30.0,49.3072300884,-1.09417038954,"BFE, Ireland and Northern Ireland.csv",38.9705882353
136,Grono,,Grono,Grono,Switzerland,Hydro,Run-Of-River,37.5,46.2443999977,9.15138900217,"BFE, Switzerland Power Plant.csv",25.538745926
137,Lostallo,,Lostallo,Lostallo,Switzerland,Hydro,Run-Of-River,25.0,46.6165226201,8.66322819597,"BFE, Switzerland Power Plant.csv",17.0258306173
138,Ackersand,,Ackersand,Ackersand,Switzerland,Hydro,Run-Of-River,93.6,46.405518555,8.1258162345,"BFE, Switzerland Power Plant.csv",63.7447098312
139,Morel rhowag,,Mörel,Mörel,Switzerland,Hydro,Run-Of-River,89.0,46.7451165508,8.25106146242,"BFE, Switzerland Power Plant.csv",60.6119569976
140,Ilanz panix,,Ilanz stufe panix pigniu,Ilanz,Switzerland,Hydro,Reservoir,52.5,46.543012493,8.53744668585,"BFE, Switzerland Power Plant.csv",35.7542442963
141,Ardon,,Ardon,Ardon,Switzerland,Hydro,Run-Of-River,52.0,46.2198459467,7.3060765919,"BFE, Switzerland Power Plant.csv",35.413727684
142,Aarewerk,,Aarewerk thun,Aarewerk thun,Switzerland,Hydro,Run-Of-River,9.15,46.7564296514,7.61925950116,"BFE, Switzerland Power Plant.csv",6.23145400593
143,Ryburg schworstadt,,Ryburg schwörstadt,Ryburg schwörstadt,Switzerland,Hydro,Run-Of-River,120.35,47.5706177657,7.81386754943,"BFE, Switzerland Power Plant.csv",81.9623485917
144,Olivone,,Olivone,Olivone,Switzerland,Hydro,Reservoir,102.0,46.7647938879,8.95942569594,"BFE, Switzerland Power Plant.csv",69.4653889186
145,Verbano,,Verbano,Verbano,Switzerland,Hydro,Reservoir,181.0,46.5331900311,8.71940475877,"BFE, Switzerland Power Plant.csv",123.267013669
146,Bavona,,Bavona,Bavona,Switzerland,Hydro,Reservoir,140.0,46.5616227215,8.64178064847,"BFE, Switzerland Power Plant.csv",95.3446514569
147,Pradella,,Pradella,Pradella,Switzerland,Hydro,Reservoir,300.96,46.800787867,10.3186450915,"BFE, Switzerland Power Plant.csv",204.963759303
148,Kublis,,Küblis,Küblis,Switzerland,Hydro,Run-Of-River,45.6,46.828666895,9.00961018303,"BFE, Switzerland Power Plant.csv",31.055115046
149,Schlappin,,Schlappin,Schlappin,Switzerland,Hydro,Run-Of-River,6.1,46.9175240026,9.81427895057,"BFE, Switzerland Power Plant.csv",4.15430267062
150,Pravizin bruggwiti,,Flums pravizin bruggwiti,Pravizin bruggwiti,Switzerland,Hydro,Run-Of-River,5.0,47.0885689554,9.33877846831,"BFE, Switzerland Power Plant.csv",3.40516612346
151,Dernier,,Dernier,Dernier,Switzerland,Hydro,Reservoir,28.0,46.9488226347,7.30205757078,"BFE, Switzerland Power Plant.csv",19.0689302914
152,Peuffeyre,,Peuffeyre,Peuffeyre,Switzerland,Hydro,Run-Of-River,24.0,46.2654357528,7.74784722161,"BFE, Switzerland Power Plant.csv",16.3447973926
153,Montcherand,,Montcherand,Montcherand,Switzerland,Hydro,Run-Of-River,15.6,46.7304154794,6.51084220347,"BFE, Switzerland Power Plant.csv",10.6241183052
154,Lutschental,,Burglauenen lütschental,Lütschental,Switzerland,Hydro,Run-Of-River,11.9,46.6681126722,7.99569913403,"BFE, Switzerland Power Plant.csv",8.10429537384
155,Schaffhausen,,Schaffhausen,Schaffhausen,Switzerland,Hydro,Run-Of-River,28.9,47.3592019299,8.37166445342,"BFE, Switzerland Power Plant.csv",19.6818601936
156,Barenburg,,Bärenburg,Bärenburg,Switzerland,Hydro,Reservoir,220.76,46.7963688008,9.09325590885,"BFE, Switzerland Power Plant.csv",150.344894683
157,Thusis,,Thusis,Thusis,Switzerland,Hydro,Run-Of-River,4.6,46.6936957169,9.44113212669,"BFE, Switzerland Power Plant.csv",3.13275283358
158,Ilanz tavanasa,,Ilanz stufe tavanasa,Ilanz,Switzerland,Hydro,Run-Of-River,34.5,47.0229579596,9.11130478585,"BFE, Switzerland Power Plant.csv",23.4956462519
159,Zervreila,,Seekraftwerk zervreila,Zervreila,Switzerland,Hydro,Reservoir,22.0,46.5958703499,9.14861419452,"BFE, Switzerland Power Plant.csv",14.9827309432
160,Safien,,Safien platz,Safien platz,Switzerland,Hydro,Reservoir,99.32,46.9338581959,8.73972521092,"BFE, Switzerland Power Plant.csv",67.6402198764
161,Realta,,Rabiusa realta,Realta,Switzerland,Hydro,Run-Of-River,26.0,46.9575215608,9.37005229499,"BFE, Switzerland Power Plant.csv",17.706863842
162,L'aubonne,,Plan dessous,Plan dessous,Switzerland,Hydro,Run-Of-River,11.0,46.497175764,6.38868127764,"BFE, Switzerland Power Plant.csv",7.49136547162
163,Cavergno,,Cavergno,Cavergno,Switzerland,Hydro,Reservoir,114.0,46.7204187641,8.86118461115,"BFE, Switzerland Power Plant.csv",77.6377876149
164,Biasca,,Biasca,Biasca,Switzerland,Hydro,Reservoir,324.0,46.6094841724,9.00459272265,"BFE, Switzerland Power Plant.csv",220.6547648
