id,CARMA,GEO,OPSD,WRI,Country,Fueltype,Classification,Capacity,lat,lon,File,Scaled Capacity
614,Ferlach maria rain,Ferlach maria rain,,Ferlach maria rain,Austria,Hydro,Run-Of-River,75.0,46.5462,14.2985,Verbund Power Plant.csv,103.344982526
615,Feistritz ludmannsdorf,Feistritz ludmannsdorf,,Feistritz ludmannsdorf,Austria,Hydro,Run-Of-River,88.2,46.5347,14.1712,Verbund Power Plant.csv,121.533699451
616,Ottensheim wilhering,Ottenheim wilhering,,Ottensheim wilhering,Austria,Hydro,Run-Of-River,183.0,48.31663,14.1512,Verbund Power Plant.csv,252.161757364
617,Abwinden asten,Abwinden asten,,Abwinden asten,Austria,Hydro,Run-Of-River,173.1,48.24798,14.4305,Verbund Power Plant.csv,238.52021967
618,Mayrhofen zemm,Mayrhofen,,Mayrhofen,Austria,Hydro,Reservoir,355.0,47.158065,11.850133,Verbund Power Plant.csv,489.166250624
619,Sloy,Loch sloy,,Sloy,United Kingdom,Hydro,Reservoir,153.0,56.5186556,-4.41287585,UK Power Plant.csv,139.518072289
620,,Butgenbach,,Butgenbach,Belgium,Hydro,Reservoir,1.8,50.4359,6.2106,Belgium Power Plant.csv,1.83464005702
621,,Floriffoux,,Hu floriffoux,Belgium,Hydro,Run-Of-River,0.8,50.4468,4.7767,Belgium Power Plant.csv,0.815395580898
622,,Hydro vierre,,Vierre,Belgium,Hydro,Reservoir,1.9,49.733,5.377,Belgium Power Plant.csv,1.93656450463
623,,Jochenstein,,Jochenstein,Austria,Hydro,Run-Of-River,132.0,48.5184,13.7076,Verbund Power Plant.csv,181.887169246
624,,Kaprun klammsee,,Klammsee,Austria,Hydro,Run-Of-River,1.0,47.2591,12.7389,Verbund Power Plant.csv,1.37793310035
625,,Monsin,,Hu monsin,Belgium,Hydro,Run-Of-River,19.7,50.6517,5.6308,Belgium Power Plant.csv,20.0791161796
626,,Wallnerau salzach,,Wallnerau salzach,Austria,Hydro,Run-Of-River,13.0,47.316,13.14095,Verbund Power Plant.csv,17.9131303045
627,,Wallnerau unterwasser,,Wallnerau underwater,Austria,Hydro,Run-Of-River,5.0,47.31554,13.140946,Verbund Power Plant.csv,6.88966550175
628,,Werfen pfarrwerfen,,Werfen pfarrwerfen,Austria,Hydro,Run-Of-River,16.0,47.4698,13.1945,Verbund Power Plant.csv,22.0469296056
629,Vassli,,,Vassli,Norway,Hydro,Pumped Storage,12.0,62.91985835,9.25911665,Norway Power Plants (ENTSOE) .csv,10.9498719571
630,Nes,,,Nes oek,Norway,Hydro,Reservoir,299.0,60.36059835,9.94314835,Norway Power Plants (ENTSOE) .csv,272.834309599
631,Nedre vinstra,,,Nedre vinstra,Norway,Hydro,Reservoir,438.0,61.588025,9.773875,Norway Power Plants (ENTSOE) .csv,399.670326436
632,Aguayo,,,Aguayo,Spain,Hydro,Pumped Storage,360.6,43.073381,-4.0203485,Spain Power Plants Over 10 MW.csv,403.770275738
633,Langenprozelten,,,Psw langenprozelten,Germany,Hydro,Pumped Storage,328.0,50.0019304667,8.92426436667,Germany Power Plants (conventional).csv,386.030216772
634,Kvistforsen,,,Kvistforsen,Sweden,Hydro,Run-Of-River,140.0,64.7477751739,20.9081137759,Sweden Power Plant.csv,144.947913338
635,Pengfors,,,Pengfors,Sweden,Hydro,Reservoir,69.0,63.92738515,19.66710985,Sweden Power Plant.csv,71.4386144309
