id,Carma,Geo,WRI,Country,Fueltype,Classification,Capacity,lat,lon
110,Torrevaldaliga Sud,Tirrenopower Torrevaldaliga South,Torrevaldaliga South,Italy,Natural Gas,Combined Cycle Gas Turbine,1520.0,42.1262165,11.760089
111,Napoli Levante,Tirrenopower Napoli Levante,Napoli L,Italy,Natural Gas,Combined Cycle Gas Turbine,400.0,40.8347592,14.2837755333
112,Krsko,Krsko Reactor,Krsko,Slovenia,Nuclear,,730.0,45.9386166666,15.5157777778
113,Sloecentrale,Sloe Netherland,Sloecentrale,Netherlands,Natural Gas,Combined Cycle Gas Turbine,870.0,51.4493419,3.67064236667
114,Soto  Ribera,Soto Ribera,Ctcc Soto Ribera,Spain,Natural Gas,Combined Cycle Gas Turbine,865.5,43.3381967845,-5.86123205672
115,Abono,Abono,Abono,Spain,Coal,Sub-critical Thermal,921.7,43.555791,-5.722986
116,Castejon Hc,Castejon Hce,Castejon,Spain,Natural Gas,Combined Cycle Gas Turbine,855.3,42.17321,-1.691904
117,Akkats,Akkats,Akkats,Sweden,Hydro,Dam on river with reservoir,150.0,66.5308884173,20.2221209823
118,Lippendorf,Lippendorf,Braunkohlekraftwerk Lippendorf,Germany,Coal,Super-critical Thermal,1866.0,51.18930694,12.37695618
119,Olidan,Olidan,Olidan,Sweden,Hydro,Dam with run-of-river generation,77.0,58.1682160006,12.2140075204
120,Ijmuiden Una,Ijmond,Ijmond,Netherlands,Natural Gas,Power and Heat Combined Cycle Gas Turbine,144.0,52.4693076339,4.6240535437
121,Guardo,Velilla Guarda,Ct Guardo,Spain,Coal,Cogeneration Power and Heat Steam Turbine,516.0,42.8221045,-4.850081
122,Castro,Castro,Castro,Spain,Hydro,Dam on river with reservoir,190.0,41.697448,-5.8267305
123,Belleville,Belleville,Belleville,France,Nuclear,,2726.0,47.5100086111,2.875025
124,Sainte Croix,Sainte Croix,Sainte Croix,France,Hydro,Dam on river with reservoir,158.0,43.7435,6.142
125,Porcheville,"Porcheville ,",Porcheville,France,Oil,Sub-critical Steam Turbine,2400.0,48.9708563098,1.76928473413
126,Couesque,Couesque,Couesque,France,Hydro,Dam on river with reservoir,124.0,44.6710315715,2.5762266922
127,Oraison,Oraison,Oraison,France,Hydro,Dam with run-of-river generation,195.0,43.94383335,5.85416665
128,Heilbronn,Heilbronn,Heilbronn,Germany,Coal,Sub-critical Thermal,1066.0,49.1649540667,9.21140539967
129,Ringvaart,Ringvaart,Ringvaart Steg,Belgium,Natural Gas,Combined Cycle Gas Turbine,359.0,51.1020865,3.718874
130,Revin,Revin,Revin,France,Hydro,Pumped Storage Power Plant,1600.0,49.9280396137,4.62726441956
131,Gent Ham,Ham Ghent Ocgt And Heat,Ham,Belgium,Natural Gas,Open Cycle Gas Turbine,156.0,51.0548,3.72653335
132,Saint Chamas,Saint Chamas,Saint Chamas,France,Hydro,Dam with run-of-river generation,165.0,43.538232,5.053122
133,Nogent,Nogent,Nogent,France,Nuclear,,2726.0,48.5161813223,3.51793863545
134,Saint Etienne Cantales,Saint Etienne Cantales,St Etienne Cantales,France,Hydro,Dam on river with reservoir,105.0,44.9459135,2.2215885
135,Simeri Crichi,Edison Simeri Crichi,Simeri Crichi,Italy,Natural Gas,Combined Cycle Gas Turbine,857.0,38.902426,16.651835
136,Montezic,Montezic Pump,Montezic,France,Hydro,Pumped Storage Power Plant,910.0,44.7217675,2.640224
137,Golfech,Golfech,Golfech,France,Nuclear,,2726.0,44.1063474143,0.844769004409
138,Altomonte,Edison Altomonte,Altomonte,Italy,Natural Gas,Combined Cycle Gas Turbine,757.0,39.5735971334,16.1983941747
139,Strasbourg,Strasbourg,Strasbourg,France,Hydro,Dam with run-of-river generation,141.0,48.5547105644,7.76997903443
140,Grands Malades,Grand Malades,Hu Grand Malades,Belgium,Hydro,Barrage with run-of-river Generation,5.0,50.4614282398,4.88543202362
141,Ampsin Neuville,Ampsin Neuville,Hu Ampsin Neuville,Belgium,Hydro,Barrage with run-of-river Generation,9.9,50.5375133033,5.2870503479
142,Bathie,Bathie,Bathie,France,Hydro,Dam on a lake,1056.0,45.636483,6.44882
143,Serre Poncon,Serre Poncon,Serre Poncon,France,Hydro,Dam on river with reservoir,360.0,44.4678835,6.2434525
144,Monteynard,Monteyard Avigonnet,Monteynard,France,Hydro,Dam on river with reservoir,360.0,45.079788,5.109954
