id,Carma,Geo,WRI,Country,Fueltype,Classification,Capacity,lat,lon
222,Boden,Boden,Boden,Sweden,Hydro,Barrage with run-of-river Generation,78.0,65.8164904065,21.6801212509
223,Emsland Lingen,Lingen Emsland,Emsland,Germany,Natural Gas,Combined Cycle Gas Turbine,886.0,52.5013131117,7.31061532733
224,Villach,Villach,Villach,Austria,Hydro,Dam with run-of-river generation,24.6,46.6215889,13.84261665
225,Greifenstein,Greifenstein,Greifenstein,Austria,Hydro,Dam with run-of-river generation,293.0,48.3509831882,16.2423280823
226,Lavamund,Lavamuend,LavamüNd,Austria,Hydro,Dam with run-of-river generation,28.0,46.6417425161,14.9425142838
227,Paternion,Paternion,Paternion,Austria,Hydro,Dam with run-of-river generation,24.0,46.71752835,13.64070555
228,Kellerberg,Kellersberg,Kellerberg,Austria,Hydro,Barrage with run-of-river Generation,24.6,46.67,13.70705555
229,Huntstown,Huntstown,Huntstown,Ireland,Natural Gas,Combined Cycle Gas Turbine,747.0,53.41225,-6.32564
230,Lada,Lada,Ct Lada,Spain,Coal,Sub-critical Thermal,513.0,43.307802385,-5.69545898437
231,Saucelle,Saucelle,Saucelle,Spain,Hydro,Dam on river with reservoir,525.0,41.046344,-6.779991
232,Cofrentes,Cofrentes,Cofrentes,Spain,Nuclear,,1092.0,39.2150333334,-1.05045
233,Arcos Iberdrola,Arcos Frontera,Arcos Frontera,Spain,Natural Gas,Combined Cycle Gas Turbine,1600.0,36.673653,-5.8157775
234,Ricobayo (Esla),Ricobayo,Ricobayo,Spain,Hydro,Dam on river with reservoir,291.0,41.524192,-5.978008
235,Villalcampo,Villalcampo,Villalcampo,Spain,Hydro,Dam on river with reservoir,206.0,41.506796,-6.067056
236,Jose Oriol,Jose Maria Oriol Alcantara,Jose M Oriol,Spain,Hydro,Dam on river with reservoir,957.0,39.724475,-6.8842375
237,Cruachan,Cruachan Scotland,Cruachan,United Kingdom,Hydro,Pumped Storage Power Plant,400.0,56.5274454054,-4.7356163532
238,Villarino,Almendra Villarino,Villarino,Spain,Hydro,Dam on river with reservoir,842.0,42.104738,-6.320117
239,Rijnmond Energie,Rijnmond Netherland,Rijnmond,Netherlands,Natural Gas,Combined Cycle Gas Turbine,790.0,51.8939664667,4.32694503333
240,Saltend,Saltend,Saltend,United Kingdom,Natural Gas,Combined Cycle Gas Turbine,1200.0,53.8008990265,-0.54967709471
241,Ffestiniog,Ffestiniog Wales,Ffestiniog,United Kingdom,Hydro,Pumped Storage Power Plant,360.0,52.7560506359,-3.88149924991
242,Dinorwig,Dinorwig,Dinorwig,United Kingdom,Hydro,Pumped Storage Power Plant,1728.0,52.8507244617,-4.0374241608
243,Moncalieri,Iride Moncalieri,Moncalieri,Italy,Natural Gas,Power and Heat Combined Cycle Gas Turbine,778.0,44.9960611333,7.6788811
244,Frimmersdorf,Frimmersdorf,Frimmersdorf,Germany,Coal,Sub-critical Thermal,2413.0,51.0523565296,6.57702738147
245,Koepchenwerk,Koepchenwerk Herdecke,Koepchenwerk,Germany,Hydro,Pumped Storage Power Plant,154.0,51.4423262,7.44520206667
246,Swentibold,Swentibold,Swentibold,Netherlands,Natural Gas,,231.0,50.9758388667,5.8089596
247,Gundremmingen,Gundremmingen,Gundremmingen,Germany,Nuclear,,2688.0,48.5148011111,10.4017111111
248,Ems (Lingen),Emsland,Emsland,Germany,Nuclear,,1400.0,52.4729152778,7.31912916665
249,Mainz,Mainz Wiesbaden,Mainz,Germany,Natural Gas,Combined Cycle Gas Turbine,755.0,50.0177576133,8.24861807633
250,Innertkirchen,Innertkirchen,Innertkirchen,Switzerland,Hydro,Water discharged from another project,317.0,46.9122705667,8.51432936933
251,Modugno Sorgenia,Sorgenia Modugno,Sorgenia Puglia Di Modugno,Italy,Natural Gas,Combined Cycle Gas Turbine,760.0,41.0941656333,16.7715115
252,Ronkhausen,Rönkhausen,Pumpspeicherwerk RöNkhausen,Germany,Hydro,Pumped Storage Power Plant,140.0,51.2047527333,7.97751196667
253,Munchen Sud,Munchen Sud,SüD,Germany,Natural Gas,Power and Heat Combined Cycle Gas Turbine,698.0,48.12183231,11.5623379633
254,Vittjarv,Vittjarv,Vittjarv,Sweden,Hydro,Dam with run-of-river generation,30.0,65.84765,21.56058335
255,Knapsack Chemiepark,Knapsack,Knapsack Natural,Germany,Natural Gas,Combined Cycle Gas Turbine,800.0,50.8592813067,6.845495002
256,Erzhausen,Erzhausen,Erzhausen,Germany,Hydro,Pumped Storage Power Plant,220.0,51.8744101167,9.95046252553
257,Dublin Bay,Dublin Bay Ringsend,Dublin Bay Power,Ireland,Natural Gas,Combined Cycle Gas Turbine,408.0,53.3409722,-6.21564445
258,Merwedekanaal,Merwedekanaal,Merwedekanaal,Netherlands,Natural Gas,Power and Heat Combined Cycle Gas Turbine,425.0,52.097835,5.0933482
259,Harspranget,Harspranget,Harspranget,Sweden,Hydro,Dam with run-of-river generation,977.0,66.9224849801,19.8196546142
260,Ringhals,Ringhals,Ringhals,Sweden,Nuclear,,3832.0,57.2585461111,12.1097866666
261,Messaure,Messaure,Messaure,Sweden,Hydro,Dam with run-of-river generation,442.0,66.6460743307,20.0795706169
262,Wendefurth,Wendefurth,Wendefurth,Germany,Hydro,Pumped Storage Power Plant,80.0,51.73616665,10.91178335
263,Stornorrfors,Stornorrfors,Stornorrfors,Sweden,Hydro,Dam on river with reservoir,591.0,63.8543622574,20.1390612356
264,Ligga,Ligga,Ligga,Sweden,Hydro,Dam with run-of-river generation,324.0,66.8843349801,19.8587546142
265,Klingenberg,Klingenberg,Klingenberg,Germany,Coal,Sub-critical Thermal,188.0,52.4986556033,13.46054666
266,Janschwalde,Janschwalde,JäNschwalde,Germany,Coal,Sub-critical Thermal,3000.0,51.8420971074,14.4472365867
267,Hojum,Hojum,Hojum,Sweden,Hydro,Dam with run-of-river generation,170.0,58.2820272008,12.2836685807
268,Hemweg,Hemweg,Hemweg,Netherlands,Coal,Sub-critical Thermal,680.0,52.405125,4.84657
269,Boxberg,Boxberg,Boxberg,Germany,Coal,,2575.0,51.4074112767,14.575521269
270,Alvkarleby,Alvkarleby,Alvkarleby,Sweden,Hydro,Dam on river with reservoir,125.0,60.5151900333,17.3688849333
271,Lichterfelde,Berlin Lichterfelde Plantgermany,Lichterfelde,Germany,Natural Gas,Sub-critical Thermal,450.0,52.488701555,13.3698633301
272,Laxede,Laxede,Laxede,Sweden,Hydro,Dam with run-of-river generation,207.0,66.2243170157,20.8635784912
273,Schwarze Pumpe,Schwarze Pumpe,Schwarze Pumpe,Germany,Coal,Super-critical Thermal,1600.0,51.5475080833,14.3626890733
274,Mitte Berlin,Berlin Mite,Mitte,Germany,Natural Gas,Combined Cycle Gas Turbine,444.0,52.5176682217,13.4067966634
275,Forsmark,Forsmark,Forsmark,Sweden,Nuclear,,3275.0,60.4030816666,18.1705083333
276,Freudenau,Freudenau,Vienna Freudenau,Austria,Hydro,Dam with run-of-river generation,172.0,48.1925438801,16.4267375404
277,Funsingau,Funsingau,Funsingau,Austria,Hydro,Dam on river with reservoir,25.0,47.22603335,12.02913
278,Hausling,Haeusling,HäUsling,Austria,Hydro,Pumped Storage Power Plant,360.0,47.148065,11.96709285
279,Pont Sur Sambre Poweo,Pont Sur Sambre Combustion,Pont Sur Sambre,France,Natural Gas,Combined Cycle Gas Turbine,412.0,50.23042,3.85265
280,Gerlos,Gerlos,Gerlos,Austria,Hydro,Dam on river with reservoir,200.0,47.23375165,11.89152665
281,Melk,Melk,Melk,Austria,Hydro,Dam with run-of-river generation,187.0,48.2252836257,15.3180303903
282,Schwabek,Schwabeck,Schwabeck,Austria,Hydro,Dam with run-of-river generation,79.0,46.654278,14.861578
283,Aschach,Aschach,Aschach,Austria,Hydro,Dam with run-of-river generation,287.0,48.1992117431,14.1792207947
284,Altenworth,Altenwoerth,AltenwöRth,Austria,Hydro,Dam with run-of-river generation,328.0,48.37891665,15.8528
285,St Veit,St. Veit,St. Veit,Austria,Hydro,Barrage with run-of-river Generation,16.0,47.35234165,12.8872
286,Schwarzach (Sbg),Schwarzach,Schwarzach,Austria,Hydro,Dam with run-of-river generation,120.0,47.34926665,12.86945
287,Rosshag,Rosshag,RoßHag,Austria,Hydro,Pumped Storage Power Plant,231.0,47.08496115,11.77029635
288,Cowes,Cowes Ocgt,Cowes,United Kingdom,Natural Gas,Open Cycle Gas Turbine,140.0,50.9852211082,-1.18927943772
289,Niederaussem,Niederaussem,NiederaußEm,Germany,Coal,Sub-critical Thermal,3400.0,50.9805849852,6.6588440889
