id,Name,Fueltype,Technology,Set,Country,Capacity,YearCommissioned,lat,lon,File,projectID
1156,Malga Ciapela,Hydro,Reservoir,PP,Italy,20.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S05MCPLT
1157,Centrale Elettrica Manfredonia Paglia,Other,,PP,Italy,14.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-0460320W
1158,Savignano,Wind,,PP,Italy,77.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S15IESIV
1159,Nera Montoro,Other,,PP,Italy,56.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S10NMRNY
1160,C.Le Eolica Pietramontecorvino,Wind,,PP,Italy,17.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S16CEPNH
1161,Rosen,Natural Gas,,PP,Italy,400.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S09RSNOR
1162,Voghera,Natural Gas,,PP,Italy,381.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S03VEGHN
1163,Franzi,Wind,,PP,Italy,16.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMYI-0338184B
1164,Duino,Natural Gas,,PP,Italy,120.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S06SDDT9
1165,Grosotto,Hydro,Run-Of-River,PP,Italy,15.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S03AGMS6
1166,Salemi,Wind,,PP,Italy,25.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S19SCLMF
1167,Parco Eolico Di Prizzi E Corleone,Wind,,PP,Italy,60.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S19IEDCR
1168,Lacedonia,Wind,,PP,Italy,14.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-0686464Q
1169,Mucone 1S,Hydro,Reservoir,PP,Italy,101.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S18M1CN9
1170,Parco Eolico Di Ricigliano,Wind,,PP,Italy,11.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-06077894
1171,Impianto Eolico Di Portoscuso,Wind,,PP,Italy,89.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-01473496
1172,Brunico,Hydro,Reservoir,PP,Italy,40.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S04BMRN3
1173,Enipower Mantova,Other,,PP,Italy,800.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S03EMC43
1174,Capodiponte,Other,,PP,Italy,33.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S11CPDPZ
1175,Enna,Bioenergy,,PP,Italy,18.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-0163877Q
1176,Ponte Felice,Hydro,Run-Of-River,PP,Italy,22.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S12PFNT3
1177,San Gregorio Magno,Wind,,PP,Italy,39.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S15SGANH
1178,Termoutilizzatore,Other,,PP,Italy,85.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S03ATSMM
1179,Ivpc Foiano,Wind,,PP,Italy,54.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S15IFVP4
1180,Monastero,Hydro,Run-Of-River,PP,Italy,56.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S03MNST9
1181,Vaglio,Wind,,PP,Italy,12.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S17VIBGU
1182,Sarentino,Hydro,Run-Of-River,PP,Italy,20.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S04SRNT9
1183,Contrada Colla,Wind,,PP,Italy,20.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S19CCNR5
1184,Toppa,Wind,,PP,Italy,12.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-0447293N
1185,Orte,Hydro,Run-Of-River,PP,Italy,18.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S10AOCRH
1186,Champagne2,Hydro,Run-Of-River,PP,Italy,29.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S02CHMGM
1187,Bolognano,Hydro,Run-Of-River,PP,Italy,30.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S13BLGN2
1188,Crevola T.,Hydro,Run-Of-River,PP,Italy,30.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S01CTRV9
1189,I Colori Del Vento,Wind,,PP,Italy,15.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S15ICDVL
1190,Torreval.Nord,Other,,PP,Italy,1845.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S12TRRLD
1191,Sanfront,Hydro,Run-Of-River,PP,Italy,14.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S01SNFRY
1192,Trapani C.Le,Natural Gas,,PP,Italy,212.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S19TCRPN
1193,Bonorva,Wind,,PP,Italy,74.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-0403629N
1194,Rosone,Hydro,Reservoir,PP,Italy,135.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S01RASNN
1195,Nuova Sasso,Geothermal,,PP,Italy,17.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S09NSVSF
1196,Cte Del Mincio,Other,,PP,Italy,400.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S03ACMSM
1197,Contrasto C.Le,Hydro,Run-Of-River,PP,Italy,35.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S19CCNT1
