id,Name,Fueltype,Technology,Set,Country,Capacity,YearCommissioned,lat,lon,File,projectID
0,Gdk-Mellach,Natural Gas,,PP,Austria,838.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",14W-WGM-KW-----J
1,Ottensheim-Wilhering,Hydro,Run-Of-River,PP,Austria,179.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",14W-BOW-KW-----9
2,Gerlos,Hydro,Reservoir,PP,Austria,200.2,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",14W-TZG-KW-----H
3,Roßhag,Hydro,Pumped Storage,PP,Austria,231.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",14W-TZR-KW-----I
4,Fhkw Linz Mitte,Natural Gas,,CHP,Austria,216.8,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",14WLSG-MITTE---U
5,Kraftwerk Theiß,Natural Gas,,PP,Austria,765.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",14W-KW-THE-EVN-7
6,Kraftwerk Timelkam Gud,Natural Gas,,PP,Austria,400.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",14WENERGIE--WT02
7,Kraftwerk Dürnrohr,Hard Coal,,PP,Austria,392.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",14W-KW-DU2-EVN-K
8,Fhkw Linz Süd,Natural Gas,,CHP,Austria,158.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",14WLSG-1SUED---5
9,Kaprun-Hauptstufe,Hydro,Reservoir,PP,Austria,240.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",14W-TKH-KW-----O
10,Malta-Hauptstufe,Hydro,Pumped Storage,PP,Austria,730.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",14W-DMH-KW-----9
11,Kraftwerk Oschenik,Hydro,Pumped Storage,PP,Austria,114.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",14W-E110349----M
12,Kw Leopoldau,Natural Gas,,PP,Austria,140.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",14W-PROD-LAU---8
13,Kraftwerk Korneuburg,Natural Gas,,PP,Austria,152.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",14W-KW-KO2-EVN-5
14,Voestalpine Kw Linz,Natural Gas,,PP,Austria,153.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",14W-VOEST-KW---0
15,Altenwörth,Hydro,Run-Of-River,PP,Austria,328.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",14W-BAW-KW-----F
16,Wallsee-Mitterkirchen,Hydro,Run-Of-River,PP,Austria,210.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",14W-BWM-KW-----L
17,Fhkw Mellach,Hard Coal,,CHP,Austria,220.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",14W-WML-KW-----0
18,Kaprun-Schwarzach,Hydro,Reservoir,PP,Austria,120.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",14W-TKS-KW-----P
19,Ybbs-Persenbeug,Hydro,Run-Of-River,PP,Austria,236.5,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",14W-BYP-KW-----6
20,Kaprun-Oberstufe,Hydro,Pumped Storage,PP,Austria,112.8,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",14W-TKO-KW-----S
21,Malta-Oberstufe,Hydro,Pumped Storage,PP,Austria,120.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",14W-DMO-KW-----D
22,Kw Donaustadt,Natural Gas,,PP,Austria,395.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",14W-PROD-DO----O
23,Kw Simmering,Natural Gas,,PP,Austria,1272.2,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",14W-PROD-SIM---P
24,Kraftwerk Feldsee,Hydro,Pumped Storage,PP,Austria,140.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",14W-E110352----K
25,Abwinden-Asten,Hydro,Run-Of-River,PP,Austria,168.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",14W-BAA-KW-----D
26,Freudenau,Hydro,Run-Of-River,PP,Austria,172.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",14W-BFR-KW-----A
27,Kraftwerk Riedersbach 2,Hard Coal,,PP,Austria,150.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",14WENERGIEAGWR05
28,Mayrhofen,Hydro,Reservoir,PP,Austria,345.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",14W-TZMA-KW----N
29,Häusling,Hydro,Pumped Storage,PP,Austria,360.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",14W-TZH-KW-----7
30,Kraftwerk Außerfragant,Hydro,Reservoir,PP,Austria,100.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",14W-E110354----8
31,Aschach,Hydro,Run-Of-River,PP,Austria,287.4,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",14W-BAS-KW-----I
32,Melk,Hydro,Run-Of-River,PP,Austria,187.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",14W-BME-KW-----Q
33,Greifenstein,Hydro,Run-Of-River,PP,Austria,293.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",14W-BGS-KW-----Q
34,Doel 1,Nuclear,,PP,Belgium,433.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",22WDOELX1000076X
35,Saint-Ghislain Steg,Natural Gas,,PP,Belgium,350.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",22WSAINT-000221B
36,Doel 4,Nuclear,,PP,Belgium,1038.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",22WDOELX40000793
37,Rodenhuize 4,Bioenergy,,PP,Belgium,268.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",22WRODENH000213L
38,Coo Ii T,Hydro,Pumped Storage,PP,Belgium,690.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",22WCOOXII000070C
39,Belwind Phase 1,Wind,,PP,Belgium,171.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",22WBELWIN0000271
40,Herdersbrug Steg,Natural Gas,,PP,Belgium,465.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",22WHERDER0001288
41,Drogenbos Tgv,Natural Gas,,PP,Belgium,465.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",22WDROGEN0000863
42,Ringvaart Steg,Natural Gas,,PP,Belgium,357.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",22WRINGVA000209C
43,Inesco Wkk,Natural Gas,,PP,Belgium,138.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",22WINESCO000149P
44,Marcinelle Energie (Carsid),Natural Gas,,PP,Belgium,405.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",22WMARCIN000179H
45,Doel 2,Nuclear,,PP,Belgium,433.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",22WDOELX2000077N
46,Zelzate 2 Knippegroen,Natural Gas,,PP,Belgium,315.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",22WZELZAT0002618
47,Scheldelaan Exxonmobil,Natural Gas,,PP,Belgium,140.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",22WSCHELD0002261
48,Zandvliet Power,Natural Gas,,PP,Belgium,384.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",22WZANDVL000255D
49,Tihange 1N,Nuclear,,PP,Belgium,481.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",22WTIHANG000239G
50,Tihange 3,Nuclear,,PP,Belgium,1045.8,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",22WTIHANG000242R
51,Tihange 2,Nuclear,,PP,Belgium,1008.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",22WTIHANG000241T
52,Tihange 1S,Nuclear,,PP,Belgium,481.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",22WTIHANG000240V
53,Langerlo 1,Hard Coal,,PP,Belgium,235.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",22WLANGER0001694
54,Northwind,Wind,,PP,Belgium,214.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",22WNORTHW000187B
55,Thorntonbank - C-Power - Area Ne,Wind,,PP,Belgium,147.6,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",22WTHORNT000237E
56,Amercoeur 1 R Tgv,Natural Gas,,PP,Belgium,451.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",22WAMERCO000010Y
57,Doel 3,Nuclear,,PP,Belgium,1006.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",22WDOELX3000078D
58,Thorntonbank - C-Power - Area Sw,Wind,,PP,Belgium,177.6,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",22WTHORNT000238C
59,T-Power Beringen,Natural Gas,,PP,Belgium,422.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",22WT-POWE000244W
60,Plate Taille T,Hydro,Pumped Storage,PP,Belgium,144.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",22WPLATEX000208N
61,Coo I T,Hydro,Pumped Storage,PP,Belgium,474.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",22WCOOXIX000067T
62,Langerlo 2,Hard Coal,,PP,Belgium,235.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",22WLANGER000171H
63,Chp_Evn_Plovdiv,Hard Coal,,CHP,Bulgaria,105.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",32W001100100050N
64,Chp_Republika_Pk,Hard Coal,,CHP,Bulgaria,105.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",32W001100100005S
65,Hpp_Kardzhali,Hydro,Reservoir,PP,Bulgaria,110.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",32W0011001000838
66,Tec_Bobovdol_Ead,Hard Coal,,PP,Bulgaria,570.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",32W001100100218B
67,Toplo_Ruse,Hard Coal,,PP,Bulgaria,110.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",32W001100100089X
68,Tec_Maritsa_3_Ad,Hard Coal,,PP,Bulgaria,120.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",32W001100100088Z
69,Hpp_Ivailovgrad,Hydro,Reservoir,PP,Bulgaria,114.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",32W0011001000854
70,Npp_Kozloduy,Nuclear,,PP,Bulgaria,2000.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",32W001100100217D
71,Pshpp_Belmeken,Hydro,Pumped Storage,PP,Bulgaria,375.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",32W001100100070H
72,Hpp_Sestrimo,Hydro,Reservoir,PP,Bulgaria,240.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",32W001100100071F
73,Pshpp_Orfeus_Gen,Hydro,Pumped Storage,PP,Bulgaria,160.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",32W0011001000781
74,Hpp_Peshtera,Hydro,Reservoir,PP,Bulgaria,135.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",32W0011001000749
75,Hpp_Momina_Klisu,Hydro,Reservoir,PP,Bulgaria,120.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",32W001100100072D
76,Chp_Deven,Hard Coal,,CHP,Bulgaria,132.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",32W001100100026K
77,Chp_Sviloza,Hard Coal,,CHP,Bulgaria,120.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",32W001100100022S
78,Chp_Ruse,Hard Coal,,CHP,Bulgaria,180.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",32W001100100023Q
79,Tpp_Mi_2,Hard Coal,,PP,Bulgaria,1604.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",32W001100100153D
80,Pshpp_Chaira_Gen,Hydro,Pumped Storage,PP,Bulgaria,864.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",32W0011001000692
81,Wpp_Sveti_Nikola,Wind,,PP,Bulgaria,156.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",32W001100100115L
82,Chp_Lukoil_Nefto,Hard Coal,,CHP,Bulgaria,257.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",32W0011001000676
83,Tpp_Mi3,Hard Coal,,PP,Bulgaria,908.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",32W001100100063E
84,Chp_Brikel_1,Hard Coal,,CHP,Bulgaria,200.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",32W001100100233F
85,Eple_______,Lignite,,PP,Czech Republic,111.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",27W-PU-EPLE----4
86,Ekom_______,Lignite,,PP,Czech Republic,192.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",27W-PU-EKOM----C
87,Edet_______,Hard Coal,,PP,Czech Republic,748.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",27W-PU-EDET----M
88,Epc1_______,Lignite,,PP,Czech Republic,916.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",27W-PU-EPC1----Y
89,Epc2_______,Natural Gas,,PP,Czech Republic,847.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",27W-PU-EPC2----S
90,Eli1_______,Hydro,Reservoir,PP,Czech Republic,120.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",27W-PU-ELI1----O
91,Edal_______,Hydro,Pumped Storage,PP,Czech Republic,472.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",27W-PU-EDAL----O
92,Epr2_______,Lignite,,PP,Czech Republic,1059.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",27W-PU-EPR2----Y
93,Eme2_______,Lignite,,PP,Czech Republic,196.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",27W-PU-EME2----1
94,Eled2______,Lignite,,PP,Czech Republic,194.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",27W-PU-ELEX2---U
95,Eme3_______,Lignite,,PP,Czech Republic,415.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",27W-PU-EME3----W
96,Edst_______,Hydro,Pumped Storage,PP,Czech Republic,638.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",27W-PU-EDST----Z
97,Eled_______,Lignite,,PP,Czech Republic,597.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",27W-PU-ELED----H
98,Eduk_______,Nuclear,,PP,Czech Republic,1880.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",27W-PU-EDUK----1
99,Eopa_______,Lignite,,PP,Czech Republic,348.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",27W-PU-EOPA----8
100,Eork_______,Hydro,Reservoir,PP,Czech Republic,360.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",27W-PU-EORK----8
101,Eme1_______,Lignite,,PP,Czech Republic,275.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",27W-PU-EME1----7
102,Eeck_______,Lignite,,PP,Czech Republic,480.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",27W-PU-EECK----8
103,Echv_______,Lignite,,PP,Czech Republic,767.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",27W-PU-ECHV----Y
104,Etu2_______,Lignite,,PP,Czech Republic,728.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",27W-PU-ETU2----I
105,Etbe_______,Hard Coal,,PP,Czech Republic,174.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",27W-PU-ETBE----5
106,Epr1_______,Lignite,,PP,Czech Republic,393.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",27W-PU-EPR1----3
107,Epor_______,Other,,PP,Czech Republic,149.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",27W-PU-EPOR----G
108,Eti1_______,Lignite,,PP,Czech Republic,141.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",27W-PU-ETI1----Y
109,Esla_______,Hydro,Reservoir,PP,Czech Republic,132.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",27W-PU-ESLA----4
110,Etem_______,Nuclear,,PP,Czech Republic,2053.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",27W-PU-ETEM----A
111,Kw Mittelsbueren,Natural Gas,,PP,,150.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",11WD2BMIT0002731
112,Huckingen (Hkm),Hard Coal,,PP,,600.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",11WD7HUCK2G--KWR
113,Kw Kühtai,Hydro,Pumped Storage,PP,,289.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",11WD2KUET000160J
114,Kraftwerk Wilhelmshaven,Hard Coal,,PP,Germany,720.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",11XGSKW-WHV----V
115,Vorarlberger Illwerke Ag,Hydro,Pumped Storage,PP,,1824.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",11WD43VIWXHOILLM
116,Hkw Reuter West,Hard Coal,,CHP,Germany,564.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",11WD8REUW1C----4
117,Herdecke,Natural Gas,,PP,Germany,424.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",11WD7GARE5XHEKWQ
118,Psw Erzhausen,Hydro,Pumped Storage,PP,,228.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",11WD2ERZH0002682
119,Brunsbüttel,Oil,,PP,Germany,256.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",11WD8BRUN1O----D
120,Frimmersdorf,Lignite,,PP,Germany,580.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",11WD7FRIM2B-KW-M
121,Kraftwerk Rostock,Hard Coal,,PP,Germany,514.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",11WD8ROST1C---P5
122,Amrumbank West,Wind,,PP,Germany,288.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",11WD2OAMK000342L
123,Dantysk,Wind,,PP,,288.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",11WD2ODTK000336Y
124,Charlottenburg,Natural Gas,,PP,Germany,213.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",11WD8CHAR5X----K
125,Gud Ludwigshafen Süd,Natural Gas,,PP,,316.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",11WD7LUDW5GSUEDE
126,Bexbach,Hard Coal,,PP,Germany,726.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",11WD7MITB1S--KWK
127,Kw Mainz-Wiesbaden,Natural Gas,,PP,Germany,785.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",11WD7BISC5GKW23O
128,Gkw Hannover (Gkh),Hard Coal,,PP,,272.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",11WD2HANN5C----0
129,Kw Silz,Hydro,Reservoir,PP,,500.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",11WD2SILT000157E
130,Hkw Heilbronn,Hard Coal,,CHP,,778.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",11WD4HLBR1CS---A
131,Schluchseewerk Ag,Hydro,Pumped Storage,PP,Germany,235.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",11WD4SWSW5HD4--R
132,Gud Dormagen,Natural Gas,,PP,,586.8,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",11WD7BRAU5G-KW-N
133,Kraftwerk Römerbrücke,Natural Gas,,PP,,123.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",11WD7UCHT5XROSOK
134,Kraftwerk Lausward,Natural Gas,,PP,Germany,995.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",11WD7NORF5G--KWG
135,Vianden,Hydro,Pumped Storage,PP,Luxembourg,1291.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",11WD72VIA2H-KW-0
136,Offshore Windpark,Wind,,PP,,288.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",11WD2ONSO000218S
137,Kw Rheinfelden De,Hydro,Run-Of-River,PP,,100.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",11WD4KWRHF5-S--Z
138,Hkw Nord,Natural Gas,,CHP,Germany,167.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",11WD8LEIP5X----6
139,Gkm Ag Amprion,Hard Coal,,PP,,691.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",11WD4GKM-2CD7--7
140,Rheinkraftwerk Iffezheim,Hydro,Run-Of-River,PP,Germany,146.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",11WD4IFFE5G----Z
141,Kw Hafen,Hard Coal,,PP,,427.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",11WD2BHAF000272F
142,Kraftwerk Walheim,Oil,,PP,Germany,136.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",11WD4WALK5G----E
143,Gthkw Nossener Bruecke,Natural Gas,,CHP,,270.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",11WD8DRES5X---PZ
144,Ensdorf,Hard Coal,,PP,Germany,310.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",11WD7ENSD5SKW3-E
145,Schkopau,Lignite,,PP,Germany,900.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",11WD8SCHK1L----O
146,Ingolstadt,Oil,,PP,Germany,772.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",11WD2INGO0001783
147,Kraftwerk Zolling,Hard Coal,,PP,Germany,472.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",11WD2ZOLL0002880
148,Knapsack 2,Natural Gas,,PP,Germany,426.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",11WD7KWKN1GBL203
149,Franken I,Natural Gas,,PP,Germany,823.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",11WD2GEBE000177K
150,Hkw Nord,Hard Coal,,CHP,Germany,123.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",11WD2WBNK000318M
151,Kw Mehrum (Kwm),Hard Coal,,PP,,690.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",11WD2MEHR2CSWH-O
152,Windpark Havelland,Wind,,PP,,147.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",11WD8HAVLXW---PM
153,Kw Laufenburg,Hydro,Run-Of-River,PP,,106.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",11WD4KWLFB5-S--M
154,Weisweiler,Lignite,,PP,Germany,2426.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",11WD7WEIS-B-KW-C
