"id","Name","Fueltype","Classification","Country","Capacity","lat","lon","Geoposition","File"
19,"Kvistforsen","Hydro","Run-of-river","Sweden",130,64.744883,20.863433,"64.744883,20.863433",
20,"Laforsen","Hydro","Run-of-river, Reservoir","Sweden",64,61.937373,15.521949,"61.937373,15.521949",
21,"Langströmm","Hydro","Run-of-river","Sweden",40,62.106128,14.995905,"62.106128,14.995905",
22,"Lasele","Hydro","Run-of-river, Reservoir","Sweden",248,63.555408,16.840305,"63.555408,16.840305",
23,"Ligga","Hydro","Run-of-river, Reservoir","Sweden",340,65.586753,22.041857,"65.586753,22.041857",
24,"Lossen","Hydro","Run-of-river, Reservoir","Sweden",124,65.795329,22.570443,"65.795329,22.570443",
25,"Messaure","Hydro","Run-of-river, Reservoir","Sweden",480,66.683333,20.333333,"66.683333,20.333333",
26,"Mittan","Hydro","Run-of-river","Sweden",88,62.455954,13.197702,"62.455954,13.197702",
27,"Mockfjords","Hydro","Run-of-river","Sweden",12,60.501506,14.964287,"60.501506,14.964287",
28,"Norränge kraftverk","Hydro","Run-of-river, Reservoir","Sweden",80,61.489482,16.381977,"61.489482,16.381977",
29,"Parteboda","Hydro","Run-of-river","Sweden",30,62.517539,15.691329,"62.517539,15.691329",
30,"Porjus","Hydro","Run-of-river, Reservoir","Sweden",304,66.961944,19.804167,"66.961944,19.804167",
31,"Ramsele","Hydro","Run-of-river, Reservoir","Sweden",300,63.541981,16.45496,"63.541981,16.45496",
32,"Ritsem","Hydro","Run-of-river","Sweden",320,67.725763,17.474991,"67.725763,17.474991",
33,"Saellsjoe","Hydro","Run-of-river","Sweden",106,63.237771,13.68504,"63.237771,13.68504",
34,"Seitevare","Hydro","Run-of-river, Reservoir","Sweden",450,66.976111,18.578056,"66.976111,18.578056",
35,"Stalon","Hydro","Run-of-river","Sweden",100,64.94545,15.82789,"64.94545,15.82789",
36,"Storfinfors","Hydro","Run-of-river","Sweden",70,63.597386,16.119386,"63.597386,16.119386",
37,"Storrnorfors","Hydro","Run-of-river","Sweden",375,63.8525,20.051667,"63.8525,20.051667",
38,"Tasan","Hydro","Run-of-river","Sweden",35,59.386351,13.569723,"59.386351,13.569723",
39,"Torpshammar","Hydro","Run-of-river, Reservoir","Sweden",172,62.49192,16.3470285,"62.49192,16.3470285",
40,"Trängslet","Hydro","Run-of-river, Reservoir","Sweden",490,61.384737,13.7354715,"61.384737,13.7354715",
41,"Umluspen","Hydro","Run-of-river","Sweden",88,65.095,17.101667,"65.095,17.101667",
42,"Vargforsen","Hydro","Run-of-river","Sweden",92,65.0233,19.6888,"65.0233,19.6888",
43,"Vietas","Hydro","Run-of-river, Reservoir","Sweden",640,67.489867,18.3323335,"67.489867,18.3323335",
44,"Juktan","Hydro","Pumped Storage","Sweden",334,64.986262,17.739707,"64.986262,17.739707",
45,"Kymmen","Hydro","Pumped Storage","Sweden",56,59.974327,12.757321,"59.974327,12.757321",
46,"Letten","Hydro","Pumped Storage, Reservoir","Sweden",108,60.711169,12.671745,"60.711169,12.671745",
47,"Abelvattnet","Hydro","Reservoir","Sweden",4.6,65.545168,14.981899,"65.545168,14.981899",
48,"Ajaure","Hydro","Reservoir","Sweden",75,65.509167,15.625556,"65.509167,15.625556",
49,"Akkats","Hydro","Reservoir","Sweden",150,66.631389,19.819722,"66.631389,19.819722",
50,"Älvkarleby","Hydro","Reservoir","Sweden",126,60.563681,17.44205,"60.563681,17.44205",
51,"Anundsjö krv","Hydro","Reservoir","Sweden",,,,,
52,"Asele","Hydro","Reservoir","Sweden",27,64.098361,17.306503,"64.098361,17.306503",
53,"Asens krv","Hydro","Reservoir","Sweden",,61.28048,13.816319,"61.28048,13.816319",
54,"Bassalt","Hydro","Reservoir","Sweden",,,,,
55,"Bastusel","Hydro","Reservoir","Sweden",107,65.412145,18.657828,"65.412145,18.657828",
56,"Batfors","Hydro","Reservoir","Sweden",42,64.832573,20.223732,"64.832573,20.223732",
57,"Bergeforsen","Hydro","Reservoir","Sweden",168,62.518313,17.382675,"62.518313,17.382675",
58,"Bjurfors nedre krv","Hydro","Reservoir","Sweden",78,,,,
59,"Bjurfors Övre krv","Hydro","Reservoir","Sweden",,,,,
60,"Blybergs kraftverk","Hydro","Reservoir","Sweden",15,61.146912,14.146147,"61.146912,14.146147",
