id,CARMA,ESE_and_FIAS,GEO,OPSD,WRI,Country,Fueltype,Classification,Capacity,lat,lon,File
1561,Herkingen,,,,Herkingen,Netherlands,Wind,,8.3,51.730643125,4.11163498425,Netherlands Power Plant.csv
1562,Van pallandt,,,,Pallandt,Netherlands,Wind,,14.0,51.727829125,4.18505798425,Netherlands Power Plant.csv
1563,Lopik,,,,Lopik,Netherlands,Wind,,6.0,51.9738924,4.94889265,Netherlands Power Plant.csv
1564,Princess amalia,,,,Princess amalia,Netherlands,Wind,,120.0,52.2928653358,4.31759033564,Netherlands Power Plant.csv
1565,Hartel,,,,Hartelbrug,Netherlands,Wind,,36.0,51.925149025,4.48389513465,Netherlands Power Plant.csv
1566,Quereno,,,,Quereno,Spain,Hydro,,36.46,42.449602,-6.947579,Spain Power Plants Over 10 MW.csv
1567,Cimego,,,,Cimego,Italy,Hydro,,229.9,45.9270455,10.62656275,Italy Power Plant.csv
1568,Lana,,,,Lana,Italy,Hydro,,121.8,46.60989775,11.1585987,Italy Power Plant.csv
1569,Pena forcada,,,,Forcada,Spain,Wind,,33.8,43.131146,-9.181715,Spain Power Plants Over 10 MW.csv
1570,Portoscuso,,,,Portoscuso,Italy,Oil,,320.0,39.64800175,8.7047331,Italy Power Plant.csv
1571,Malpica,,,,Malpica,Spain,Wind,,16.575,43.3228049378,-8.81052017212,Spain Power Plants Over 10 MW.csv
1572,Pedro manzanal,,,,Manzanal,Spain,Wind,,33.75,42.028599,-2.231036,Spain Power Plants Over 10 MW.csv
1573,Sesue,,,,Sesue,Spain,Hydro,,36.0,42.551308,0.472115,Spain Power Plants Over 10 MW.csv
1574,Marzocco,,,,Livorno marzocco,Italy,Oil,,310.0,43.54263345,10.31601725,Italy Power Plant.csv
1575,Llavorsi cardos,,,,Llavorsi cardos,Spain,Hydro,,52.8,42.495149,1.211007,Spain Power Plants Over 10 MW.csv
1576,Pena armada,,,,Armada,Spain,Wind,,20.7,43.0321332915,-7.79514312744,Spain Power Plants Over 10 MW.csv
1577,Arties,,,,Arties,Spain,Hydro,,68.0,41.798001,1.954283,Spain Power Plants Over 10 MW.csv
1578,Lanuza,,,,Lanuza,Spain,Hydro,,52.69,42.72381263,-0.28169631958,Spain Power Plants Over 10 MW.csv
1579,Guadalmena,,,,Guadalmena,Spain,Hydro,,15.2,38.311867,-3.042194,Spain Power Plants Over 10 MW.csv
1580,Barrados,,,,Barrados,Spain,Hydro,,16.0,42.7333333,0.7166667,Spain Power Plants Over 10 MW.csv
1581,Melilla malaga,,,,Melilla,Spain,Oil,,56.52,35.29,-2.94,Spain Power Plants Over 10 MW.csv
1582,Seros,,,,Seros,Spain,Hydro,,44.6,41.4833333,0.4666667,Spain Power Plants Over 10 MW.csv
1583,Eume,,,,Eume,Spain,Hydro,,54.4,43.426973,-8.067068,Spain Power Plants Over 10 MW.csv
1584,Riba roja,,,,Riba roja,Spain,Hydro,,262.8,41.25,0.4833333,Spain Power Plants Over 10 MW.csv
1585,Corzan,,,,Corzan,Spain,Wind,,36.0,42.904016,-8.742734,Spain Power Plants Over 10 MW.csv
1586,Coucepenido,,,,Os corvos coucepenido,Spain,Wind,,33.0,43.6833333,-7.85,Spain Power Plants Over 10 MW.csv
1587,Villanua,,,,Villanua,Spain,Hydro,,13.2,42.679705,-0.537686,Spain Power Plants Over 10 MW.csv
1588,Escales,,,,Escales,Spain,Hydro,,36.0,42.3161465439,0.746319293976,Spain Power Plants Over 10 MW.csv
1589,Susqueda,,,,Susqueda,Spain,Hydro,,88.55,41.977765,2.516524,Spain Power Plants Over 10 MW.csv
1590,Flix endesa,,,,Flix,Spain,Hydro,,52.52,41.2307423044,0.55007815361,Spain Power Plants Over 10 MW.csv
1591,Loch gair,,,,Loch gair,United Kingdom,Hydro,,6.0,56.4242820993,-4.72601693887,UK Power Plant.csv
1592,Caldes,,,,Caldes,Spain,Hydro,,32.64,42.5046294058,0.800564289093,Spain Power Plants Over 10 MW.csv
1593,Valle secolo,,,,Valle secolo,Italy,Geothermal,,120.0,43.29908585,10.87261095,Italy Power Plant.csv
1594,Couto sebastian,,,,Couto sebastian,Spain,Wind,,18.0,42.696049,-8.24653,Spain Power Plants Over 10 MW.csv
1595,Caldereros,,,,Caldereros,Spain,Wind,,69.1,40.776694,-1.649786,Spain Power Plants Over 10 MW.csv
1596,Prada,,,,Prada,Spain,Hydro,,70.72,42.316743,-7.027391,Spain Power Plants Over 10 MW.csv
1597,Torbole,,,,Torbole,Italy,Hydro,,124.6,45.8603359854,10.8803426684,Italy Power Plant.csv
1598,Piombino enel,,,,Piombino termica,Italy,Oil,,1280.0,42.9381065,10.5330045,Italy Power Plant.csv
1599,Pueyo,,,,Pueyo,Spain,Hydro,,14.3,42.376352,-0.002612,Spain Power Plants Over 10 MW.csv
1600,Bosost,,,,Bossost,Spain,Hydro,,21.6,42.7833333,0.7,Spain Power Plants Over 10 MW.csv
1601,Termens,,,,Termens,Spain,Hydro,,12.0,41.7166667,0.7666667,Spain Power Plants Over 10 MW.csv
1602,Agustin,,,,Agustin,Spain,Hydro,,65.28,42.1794973838,-7.11218833923,Spain Power Plants Over 10 MW.csv
1603,Vielha,,,,Vielha,Spain,Hydro,,22.0,42.7019605619,0.795564651489,Spain Power Plants Over 10 MW.csv
1604,Penadrada,,,,Penadrada,Spain,Hydro,,38.17,42.820561,-6.487473,Spain Power Plants Over 10 MW.csv
1605,Sarra,,,,Sarra,Spain,Hydro,,28.86,42.7712741444,-0.334482192993,Spain Power Plants Over 10 MW.csv
1606,Cornatel,,,,Cornatel,Spain,Hydro,,130.66,42.449602,-6.947579,Spain Power Plants Over 10 MW.csv
1607,Iznajar,,,,Iznajar,Spain,Hydro,,76.8,37.266655,-4.414322,Spain Power Plants Over 10 MW.csv
1608,Duque,,,,Duque,Spain,Hydro,,12.8,36.9401510172,-3.36095809937,Spain Power Plants Over 10 MW.csv
1609,Vilan,,,,Do vilan,Spain,Wind,,16.9,43.131146,-9.181715,Spain Power Plants Over 10 MW.csv
1610,Marina,,,,Santa marina,Spain,Hydro,,34.68,42.699547,-6.512359,Spain Power Plants Over 10 MW.csv
1611,Giacomo sul vomano,,,,S.giacomo,Italy,Hydro,,490.0,42.55304,13.535891,Italy Power Plant.csv
1612,Biescas,,,,Biescas,Spain,Hydro,,64.4,42.628970046,-0.321350097656,Spain Power Plants Over 10 MW.csv
1613,Lanzada,,,,Lanzada,Italy,Hydro,,189.01,46.269297,9.869247,Italy Power Plant.csv
1614,Venaus mont cenis,,,,Venaus,Italy,Hydro,,240.0,45.1566763,7.01033785,Italy Power Plant.csv
1615,Termini imerese,,,,Termini imerese c.le,Italy,Natural Gas,,1340.0,37.976409,13.7219435,Italy Power Plant.csv
1616,Grado endesa,,,,Grado,Spain,Hydro,,45.76,42.15191,0.222472,Spain Power Plants Over 10 MW.csv
1617,Stassfurt,,,,Gud ikw staßfurt,Germany,Natural Gas,,132.0,51.8590591,11.5881394,Germany Power Plants (conventional).csv
1618,Maddaloni,,,,Maddaloni,Italy,Natural Gas,,352.0,41.0400222,14.3768249,Italy Power Plant.csv
1619,Larino,,,,Larino tg,Italy,Natural Gas,,250.0,41.8110355,14.967733,Italy Power Plant.csv
1620,Augusta,,,,Augusta c.le,Italy,Oil,,210.0,37.22263465,15.19871775,Italy Power Plant.csv
1621,Ribadelago,,,,Ribadelago,Spain,Hydro,,35.96,42.1043996603,-6.6625213623,Spain Power Plants Over 10 MW.csv
1622,Montorio,,,,Montorio,Italy,Hydro,,110.1,42.62221565,13.6683227,Italy Power Plant.csv
1623,Sau,,,,Sau,Spain,Hydro,,56.0,41.947002,2.384404,Spain Power Plants Over 10 MW.csv
1624,Aldeavieja,,,,Aldeavieja,Spain,Wind,,14.52,40.743111,-4.470959,Spain Power Plants Over 10 MW.csv
1625,Mequinenza,,,,Mequinenza,Spain,Hydro,,324.0,41.3721067929,0.301694869995,Spain Power Plants Over 10 MW.csv
1626,Empedocle,,,,Porto empedocle c.le,Italy,Oil,,140.0,37.312345,13.507123,Italy Power Plant.csv
1627,Seira,,,,Seira,Spain,Hydro,,37.01,42.476962,0.431267,Spain Power Plants Over 10 MW.csv
1628,Bembezar,,,,Bembezar,Spain,Hydro,,15.12,37.8333333,-5.2333333,Spain Power Plants Over 10 MW.csv
1629,Mediano,,,,Mediano,Spain,Hydro,,66.97,42.3226991462,0.243759155273,Spain Power Plants Over 10 MW.csv
1630,Tabescan inferior,,,,Tavascan inferior,Spain,Hydro,,32.04,42.621379,1.248929,Spain Power Plants Over 10 MW.csv
1631,Soverzene,,,,Soverzene,Italy,Hydro,,213.5,46.2058943,12.30319905,Italy Power Plant.csv
