id,CARMA,FIAS,GEO,OPSD,WRI,Country,Fueltype,Classification,Capacity,lat,lon,File
0,Cheylas,Le cheylas plant,Cheylas le,Cheylas,Cheylas,France,Hydro,"Pumped Storage, Pumped Storage",497.12,45.380722,5.9969835,"energy_storage_exchange, RTE, France Power Plant.csv"
1,Pouget,Le pouget plant,Pouget le,Pouget,Pouget,France,Hydro,"Pumped Storage, Reservoir",572.5,43.956361,2.924014,"energy_storage_exchange, RTE, France Power Plant.csv"
2,Revin,Revin plant,Revin pump,Revin,Revin,France,Hydro,"Pumped Storage, Pumped Storage",808.0,49.9278310569,4.61558470978,"energy_storage_exchange, RTE, France Power Plant.csv"
3,Montezic,Montézic plant,Montezic pump,Montezic,Montezic,France,Hydro,"Pumped Storage, Pumped Storage",912.0,44.72279875,2.640967,"energy_storage_exchange, RTE, France Power Plant.csv"
4,Bissorte,Super bissorte plant,Bissorte,Super bissorte,Super bissorte,France,Hydro,"Pumped Storage, Pumped Storage",883.0,45.3314425,6.564652,"energy_storage_exchange, RTE, France Power Plant.csv"
5,Grand maison,Grand'maison dam plant,Grand maison,Grand maison,Grand maison,France,Hydro,"Pumped Storage, Pumped Storage",1820.0,45.180301,6.0920065,"energy_storage_exchange, RTE, France Power Plant.csv"
6,Coche,Coche plant,Coche,Coche,Coche,France,Hydro,"Pumped Storage, Pumped Storage",320.0,45.485500825,6.527178325,"energy_storage_exchange, RTE, France Power Plant.csv"
7,Genissiat seyssel,,Genissiat,Genissiat,Genissiat,France,Hydro,Run-Of-River,420.0,46.0019033333,5.91417223333,"RTE, France Power Plant.csv"
8,Beauchastel,,Beauchastel,Beauchastel,Beauchastel,France,Hydro,Run-Of-River,204.0,44.8604344333,4.84049666667,"RTE, France Power Plant.csv"
9,Maasvlakte,,Maasvlakte,Maasvlakte mv,Centrale maasvlakte,Netherlands,Coal,"Thermal, Steam Turbine, Hard Coal",2178.0,51.95897095,4.023347225,"Tennet_Q12015, Netherlands Power Plant.csv"
10,Chooz,,Chooz,Chooz,Chooz,France,Nuclear,Steam Turbine,3120.0,50.0904533333,4.79043629613,"RTE, EU Nuclear Power.csv"
11,Ottmarsheim,,Ottmarsheim,Ottmarsheim,Ottmarsheim,France,Hydro,Run-Of-River,156.0,47.7781803333,7.51827066667,"RTE, France Power Plant.csv"
12,Bugey,,Bugey,Bugey,Bugey,France,Nuclear,Steam Turbine,3724.0,45.6413353016,5.26919507447,"RTE, EU Nuclear Power.csv"
13,Sisteron,,Sisteron,Sisteron,Sisteron,France,Hydro,Reservoir,256.0,44.1909166667,5.93979266667,"RTE, France Power Plant.csv"
14,Pied borne,,Pied borne,Pied borne,Borne,France,Hydro,Reservoir,110.0,44.475555328,3.98633879659,"RTE, France Power Plant.csv"
15,Aston,,Aston,Aston,Aston,France,Hydro,Run-Of-River,116.0,42.776029,1.67571133333,"RTE, France Power Plant.csv"
16,Brennilis,,"Brennilis combustion plant,",Brennilis,Brennilis,France,Oil,OCGT,304.0,48.3572753333,-3.864006,"RTE, France Power Plant.csv"
17,Kembs,,Kembs,Kembs,Kembs,France,Hydro,Run-Of-River,156.0,47.6666076667,7.51427466667,"RTE, France Power Plant.csv"
18,Gerstheim,,Gerstheim,Gerstheim,Gerstheim,France,Hydro,Run-Of-River,141.0,48.3964246667,7.719611,"RTE, France Power Plant.csv"
