name,lat,lon
Leinafoss Power Plant,60.47202399999999,8.468945999999999
Leirfossene Power Plant,60.47202399999999,8.468945999999999
Lindland Power Plant,60.4994265,7.1424007
Lokaunet Power Plant,63.26819279999999,10.4582701
Hpp lotru Power Plant,45.44721000000001,23.76834
Macchia vf Power Plant,41.87194,12.56738
Mageli Power Plant,60.47202399999999,8.468945999999999
Marco Power Plant,41.87194,12.56738
Impianto marineo Power Plant,37.9491255,13.4222797
Masocorona Power Plant,45.1834431,8.2766123
Matese Power Plant,45.1834431,8.2766123
Mauro Power Plant,41.87194,12.56738
Midtre tessa Power Plant,60.4994265,7.1424007
Monte cavuti Power Plant,41.87194,12.56738
Monte cute Power Plant,41.87194,12.56738
Monte narbone Power Plant,41.87194,12.56738
Nedre tessa Power Plant,60.47202399999999,8.468945999999999
Narvik Power Plant,68.4456172,17.4492797
Nygardsfjellet Power Plant,60.47202399999999,8.468945999999999
Ogreyfoss Power Plant,60.47202399999999,8.468945999999999
Ormsetfoss Power Plant,60.47202399999999,8.468945999999999
Osen Power Plant,64.42113979999999,10.0377767
Moksa Power Plant,60.47202399999999,8.468945999999999
Ovre rossaga Power Plant,66.0777529,13.9437542
Ovre tessa Power Plant,60.2670808,8.958880599999999
Palsbu Power Plant,60.47202399999999,8.468945999999999
S.pancrazio Power Plant,40.4185307,17.8402819
Ponte felice Power Plant,43.5881134,13.319206
Rekvatn Power Plant,60.47202399999999,8.468945999999999
Riksheimdal Power Plant,60.47202399999999,8.468945999999999
Rivedal Power Plant,60.47202399999999,8.468945999999999
Roppa Power Plant,60.47202399999999,8.468945999999999
Royrvikfoss Power Plant,60.47202399999999,8.468945999999999
Sage Power Plant,60.47202399999999,8.468945999999999
Sagfossen Power Plant,60.47202399999999,8.468945999999999
Chiomonte Power Plant,45.1177836,6.9834046
Serracapriola Power Plant,41.8085917,15.1599009
Stuvane Power Plant,60.47202399999999,8.468945999999999
Svean Power Plant,60.47202399999999,8.468945999999999
Eolo tempio pausania Power Plant,40.9031356,9.104066999999999
Tjeldbergodden Power Plant,60.47202399999999,8.468945999999999
