id,CARMA,GEO,OPSD,WRI,Country,Fueltype,Classification,Capacity,lat,lon,File
2332,Bergum,,Bergum cb,,Netherlands,Natural Gas,,812.0,53.210335,6.026205,Tennet_Q42015
2333,Vaires,,Vaires,,France,Oil,,542.0,48.874991,2.647573,RTE
2334,Pernis extension,,Pergen,,Netherlands,Natural Gas,,260.0,51.885245,4.340235,Tennet_Q12015
2335,Wassen,,Wassen,,Switzerland,Hydro,Run-Of-River,58.0,46.7110991981,8.60447848619,BFE
2336,Wettingen,,Wettingen dotieranlage,,Switzerland,Hydro,Run-Of-River,27.45,47.4636115772,8.31876179009,BFE
2337,Sanetsch,,Sanetsch,,Switzerland,Hydro,Reservoir,18.0,46.5207570659,7.57549392675,BFE
2338,Cuijk biomass,,Cuijk,,Netherlands,Waste,"Hard Coal, Steam Turbine",25.0,51.751905,5.8618165,Tennet_Q12015
2339,Rothenbrunnen ewz,,Rothenbrunnen ewz,,Switzerland,Hydro,Reservoir,179.0,46.769921098,9.41959324327,BFE
2340,Ferrera trun,,Ferrera,,Switzerland,Hydro,Run-Of-River,4.23,46.7435050176,8.98649363197,BFE
2341,Brigels tavanasa,,Brigels tavanasa,,Switzerland,Hydro,Run-Of-River,13.0,46.7580621697,9.07174622905,BFE
2342,Voerde,Voerde,,,Germany,Coal,"Lignite, Thermal",2234.0,51.5834348475,6.676221689,
2343,Roosecote centrica,Roosecote,,,United Kingdom,Natural Gas,CCGT,229.0,54.1109146255,-3.21178708,
2344,Glanford brigg,Glanford brigg,,,United Kingdom,Natural Gas,CCGT,272.0,53.5465520363,-0.498850157154,
2345,Kings lynn,Kings lynn,,,United Kingdom,Natural Gas,CCGT,347.0,52.7395368797,0.387352244873,
2346,Peterborough,Peterborough,,,United Kingdom,Natural Gas,CCGT,389.0,52.575269672,-0.225882532894,
2347,Bacau,Cet bacau chpp,,,Romania,Coal,"CHP, Lignite, Thermal",79.0,46.530762,26.9394372,
2348,Lipno,Lipno republic,,,Czech Republic,Hydro,Reservoir,120.0,48.6363115404,14.233412535,
2349,Pocerady,Pocerady,,,Czech Republic,Coal,"Lignite, Thermal",1000.0,50.42669028,13.678041665,
2350,Kamyk,Kamyk republic,,,Czech Republic,Hydro,Run-Of-River,40.0,49.6360091334,14.2501214974,
2351,Porici,Porici,,,Czech Republic,Coal,Thermal,165.0,50.572530555,15.963366665,
2352,Hodonin,Hodonin,,,Czech Republic,Coal,"CHP, Lignite",405.0,48.84717222,17.11971111,
2353,Strekov,Strekov republic,,,Czech Republic,Hydro,Run-Of-River,19.5,50.6496518987,14.0400360217,
2354,Ledvice,Ledvice,,,Czech Republic,Coal,Thermal,330.0,50.576494445,13.77997778,
2355,Skawina,Skawina,,,Poland,Coal,CHP,490.0,49.9758345,19.802536,
2356,Stechovice,Stechovice ps republic,,,Czech Republic,Hydro,Pumped Storage,67.5,49.8482963691,14.4130486718,
2357,Tisova,Tisova,,,Czech Republic,Coal,"Lignite, Thermal",325.0,50.150830555,12.610469445,
2358,Varna,Varna,,,Bulgaria,Coal,Thermal,1260.0,43.195385,27.764936,
2359,Slapy,Slapy republic,,,Czech Republic,Hydro,Reservoir,144.0,49.6052329232,14.5255342055,
2360,Vrane,Vrane republic,,,Czech Republic,Hydro,Run-Of-River,13.88,50.0154117993,15.4774928772,
2361,Chorzow elcho,Elcho chorzow,,,Poland,Coal,CHP,226.0,50.3078855,18.968788,
2362,Besos,Besos sant adria,,,Spain,Natural Gas,CCGT,828.02,41.42291844,2.22563887858,
2363,Aceca fenosa,Aceca fenosa,,,Spain,Natural Gas,CCGT,1427.2,39.94635,-3.8524,
2364,Vaugris,Vaugris,,,France,Hydro,Run-Of-River,72.0,45.484916,4.820926,
2365,Teesside,Teesside and heat,,,United Kingdom,Natural Gas,CCGT,1869.0,54.5783252133,-1.13211137726,
2366,Turceni,Turceni,,,Romania,Coal,"Lignite, Thermal",2319.0,44.6697611111,23.4077388889,
2367,Bobov dol,Bobov dol,,,Bulgaria,Coal,Thermal,630.0,42.28536,23.033589,
2368,Wroclaw,Wroclaw,,,Poland,Coal,CHP,273.0,51.117772,17.026644325,
2369,Zielona gora,Zielona gora,,,Poland,Natural Gas,CCGT,210.0,51.95065,15.4856665,
2370,Borssele,Borssele netherland,,,Netherlands,Coal,Thermal,939.32,51.4319666666,3.71761666665,
2371,Ensted,Ensted denmark,,,Denmark,Coal,Thermal,626.0,55.020237435,9.443928397,
2372,Esbjerg,Esbjerb denmark,,,Denmark,Coal,Thermal,417.0,55.455200545,8.4563908825,
2373,Asnaes,Asnaes denmark,,,Denmark,Coal,Thermal,827.0,55.660559255,11.081200315,
2374,Kyndby,Kyndby denmark,,,Denmark,Oil,CHP,699.0,55.8344215,11.9235315,
2375,Avedore,Avedore denmark,,,Denmark,Coal,Thermal,863.0,55.629943207,12.4764199229,
2376,Skaerbaek,Skaerbaek denmark,,,Denmark,Natural Gas,Thermal,414.0,55.538738164,9.68368281116,
2377,Studstrup,Studstrup denmark,,,Denmark,Coal,Thermal,762.5,56.25089151,10.34376178,
2378,Salmisaari,Salmisaari finland,,,Finland,Coal,Thermal,170.0,60.1675623722,24.9201228928,
2379,Escucha,Escucha,,,Spain,Coal,Thermal,160.0,40.795035,-0.812858,
2380,Nyiregyhaza,E.on nyiregyhaza ocgt hungary,,,Hungary,Natural Gas,CCGT,50.0,47.9561433904,21.7077545685,
2381,Krangede,Krangede,,,Sweden,Hydro,Reservoir,268.0,62.7687596429,16.6884496048,
2382,Debrecen,E.on debrecen ocgt hungary,,,Hungary,Natural Gas,"CHP, OCGT",105.0,47.52591665,21.63311665,
2383,Den haag,Den hague repower,,,Netherlands,Natural Gas,CCGT,120.7,52.0763335,4.2945555,
2384,Grafenrheinfeld,Grafenrheinfeld,,,Germany,Nuclear,,1345.0,49.9841444445,10.1837611111,
2385,Ingolstadt,Ingolstadt,,,Germany,Oil,CHP,840.0,48.76112147,11.50309751,
2386,Staudinger,Großkrotzenburg staudinger,,,Germany,Coal,"Coal Hard, Thermal",1823.0,50.0878243,8.952840961,
2387,Knepper,Gustav knepper,,,Germany,Coal,Thermal,370.0,51.54248335,7.39945,
2388,Cercs,Cercs serchs,,,Spain,Coal,"Lignite, Thermal",162.0,42.2568386416,1.6755340744,
2389,Oresundverket,Nya öresundsverket,,,Sweden,Natural Gas,CCGT,572.0,55.6159845686,13.0205907341,
2390,Galileistraat,Gallileistraat,,,Netherlands,Natural Gas,,230.0,51.9166,4.4530335,
2391,Scholven,Scholven gelsenkirchen,,,Germany,Coal,Thermal,2220.0,51.60238401,7.008127048,
2392,Puertollano,Puertollano,,,Spain,Coal,Thermal,221.0,38.6674588523,-4.11517088318,
2393,Fiume santo,E.on fiume santo,,,Italy,Coal,Thermal,1050.0,40.8488835,8.3029835,
2394,Verbrande brug brule cc,Vilvoorde verbrande brug,,,Belgium,Natural Gas,CCGT,400.0,50.9403435,4.4180175,
2395,Manosque,Manosque voix,,,France,Hydro,Run-Of-River,55.0,43.8529152403,5.82493833923,
2396,Montahut,Montahut,,,France,Hydro,Reservoir,103.23,43.89975,3.2670255,
2397,Alrance,Alrance,,,France,Hydro,Reservoir,14.5,44.1266455,2.687063,
2398,Salon,Salon,,,France,Hydro,Run-Of-River,101.0,43.6368685,5.1047245,
2399,Laval cere,Laval cere &,,,France,Hydro,Reservoir,132.0,44.953386,1.943212,
2400,Rance,Rance tidal,,,France,Hydro,Tidal,240.0,48.6122035,-2.0291925,
2401,Rhue,Rhue,,,France,Hydro,Reservoir,12.0,45.3779625578,2.62845584107,
2402,Bolozon,Cize bolozon,,,France,Hydro,Reservoir,23.0,46.1805,5.54083335,
2403,Tuilieres,Tuilieres,,,France,Hydro,Run-Of-River,32.0,44.84365,0.643543,
2404,Argentat,Argentat,,,France,Hydro,Reservoir,48.0,45.1001715,1.9469345,
2405,Lardit,Lardy,,,France,Hydro,Reservoir,45.0,44.6758846795,2.5950106659,
2406,Brillanne,Brillanne &,,,France,Hydro,Run-Of-River,30.0,43.9242115,5.90835,
2407,Hautefage,Hautefage,,,France,Hydro,Reservoir,25.0,45.0781715,1.9669345,
2408,Dalmas,Saint dalmas,,,France,Hydro,Reservoir,50.0,44.056432,7.394429,
2409,Ponti sul mincio,Del mincio,,,Italy,Natural Gas,CCGT,506.75,45.3992335,10.714461,
2410,Salignac,Salignac,,,France,Hydro,Run-Of-River,88.0,44.147965,5.980901,
2411,Rosignano,Rosignano,,,Italy,Natural Gas,CCGT,765.0,43.38214,10.4486735,
2412,Claux,Claux,,,France,Hydro,Reservoir,13.5,44.87531,6.4812665,
2413,Tisza,Aes tisza hungary,,,Hungary,Natural Gas,Thermal,900.0,48.42536665,21.08016665,
2414,Pocinho,Pocinho,,,Portugal,Hydro,Run-Of-River,186.0,41.132224,-7.1171635,
2415,Canicada,Canicada,,,Portugal,Hydro,Reservoir,62.0,41.6554935,-8.205678,
2416,Pracana,Pracana,,,Portugal,Hydro,Reservoir,41.0,39.5667355,-7.8438295,
2417,Iru,Iru estonia,,,Estonia,Natural Gas,CCGT,190.0,59.46403335,24.9748,
2418,Pietersaari,Pietersaari jakobstad biomass finland,,,Finland,Waste,CHP,265.0,63.6884017901,22.7061402124,
2419,Vercelli actv,Vercelli,,,Italy,Natural Gas,CCGT,50.0,45.30979,8.4127915,
2420,Seraing,Seraing,,,Belgium,Natural Gas,CCGT,646.79,50.5981795261,5.49386157913,
2421,Eesti,Estonia eesti estonia,,,Estonia,Oil,CHP,1618.0,59.274589,27.902917,
2422,Bahia bizkaia,Bahia bizkaia bbe,,,Spain,Natural Gas,OCGT,800.0,43.3546,-3.08816665,
2423,Barking,Barking,,,United Kingdom,Natural Gas,CCGT,1000.0,51.521199,0.1471917,
2424,Borsodchem,Bc borsodchem hungary,,,Hungary,Natural Gas,"Heat OCGT, Power",67.034,48.24765,20.64046665,
2425,Archimede gargallo,Enel priolo gargallo archimede,,,Italy,Natural Gas,CCGT,756.0,37.1486235,15.198047,
2426,Muehleberg,Muehlberg,,,Switzerland,Nuclear,,372.0,46.9689444445,7.2680277778,
2427,Timelkam,Timelkam,,,Austria,Natural Gas,CCGT,608.9,48.0080679475,13.5985486755,
2428,Kelenfold,Kelenfold hungary,,,Hungary,Natural Gas,CCGT,241.8,47.4802049947,19.0481037277,
2429,Kispest,Kispest hungary,,,Hungary,Natural Gas,CCGT,114.0,47.4774049947,19.1036037277,
2430,Ujpest,Ujpest hungary,,,Hungary,Natural Gas,CCGT,110.0,47.5260049946,19.0711037277,
2431,Batak,Batak,,,Bulgaria,Hydro,Reservoir,46.8,41.9362945,24.19303335,
2432,Ivaylovgrad,Ivaylovgrad,,,Bulgaria,Hydro,Reservoir,104.0,41.55851665,26.12036665,
2433,Sestrimo,Sestrimo,,,Bulgaria,Hydro,Run-Of-River,240.0,42.21253335,23.91623335,
2434,Krichim,Krichim,,,Bulgaria,Hydro,Reservoir,80.0,42.02089,24.46734985,
2435,Stouden kladenets,Studen kladenets,,,Bulgaria,Hydro,Reservoir,82.0,41.60975,25.64575,
2436,Kardjali,Kardzhali,,,Bulgaria,Hydro,Reservoir,106.0,41.6417,25.35333335,
2437,Peshtera,Peshtera,,,Bulgaria,Hydro,Reservoir,128.0,42.02341665,24.27895,
2438,Momina klissura,Momina klisura,,,Bulgaria,Hydro,Run-Of-River,124.0,42.22428335,23.95803335,
2439,Teshel,Teshel,,,Bulgaria,Hydro,Reservoir,60.0,41.66306665,24.25983335,
2440,Maritza east,Maritsa iztok,,,Bulgaria,Coal,"Lignite, Thermal",1558.0,42.25571,26.1335075,
2441,Volklingen fenne,Völklingen fens,,,Germany,Coal,CHP,480.262,49.2502579926,6.86996515808,
2442,Tainionkoski,Tainionkoski finland,,,Finland,Hydro,Reservoir,62.0,61.1911230434,28.7679111664,
2443,Imatra,Imatra finland,,,Finland,Hydro,Reservoir,178.0,61.1693730434,28.7634611664,
2444,Miechowice,Miechowice,,,Poland,Coal,CHP,125.0,50.348832,18.8430275,
2445,Traengslet,Trängslet,,,Sweden,Hydro,Reservoir,339.6,61.39055,13.7156,
2446,Naantali,Naantali finland,,,Finland,Coal,Thermal,375.0,60.4586325,22.054358,
2447,Meri pori,Meri pori finland,,,Finland,Coal,Thermal,565.0,61.6321295,21.4062545,
2448,Sveg,Sveg,,,Sweden,Hydro,Reservoir,36.0,62.0306443247,14.3248860045,
2449,Krokstrommen,Krokstrommen,,,Sweden,Hydro,Reservoir,109.0,62.04555,14.9002,
2450,Escombreras gn,Cartagena escombreras gn,,,Spain,Natural Gas,CCGT,1218.0,37.5719365,-0.9406495,
2451,Beverce,Beverce robertville,,,Belgium,Hydro,Reservoir,9.2,50.4327805,6.0332715,
2452,Sault brenaz,Sault brenaz,,,France,Hydro,Run-Of-River,46.2,45.840214,5.410089,
2453,Brugge herdersbrug,Brugge herdersbrug,,,Belgium,Natural Gas,CCGT,464.2,51.2600545,3.209815,
2454,Gervans,Gervans,,,France,Hydro,Run-Of-River,120.0,45.1559605,4.8105715,
