id,CARMA,FIAS,GEO,OPSD,WRI,Country,Fueltype,Classification,Capacity,lat,lon,File
1588,,,Aoos piges aoos,,,Greece,Hydro,Reservoir,230.0,39.7837,21.0926,
1589,,,Artouste,,,France,Hydro,Reservoir,88.0,42.887,-0.411,
1590,,,Asomata,,,Greece,Hydro,Run-Of-River,108.0,40.4744,22.2439,
1591,,,Bouca,,,Portugal,Hydro,Run-Of-River,50.0,39.854,-8.2197,
1592,,,Brens virigin,,,France,Hydro,Run-Of-River,90.0,45.725,5.698,
1593,,,Cambeyrac,,,France,Hydro,Run-Of-River,9.8,44.655,2.574,
1594,,,Castelnau lassouts,,,France,Hydro,Run-Of-River,42.0,44.505,2.874,
1595,,,Castelo do bode,,,Portugal,Hydro,Run-Of-River,139.0,39.5429,-8.3188,
1596,,,Castirla,,,France,Hydro,Run-Of-River,54.5,42.38,9.134,
1597,,,Chateauneuf du rhone,,,France,Hydro,Reservoir,295.0,44.499,4.708,
1598,,,Chaudanne,,,France,Hydro,Run-Of-River,24.3,43.848,6.544,
1599,,,Coiselet,,,France,Hydro,Run-Of-River,41.0,46.294,5.592,
1600,,,Cunovo,,,Slovakia,Hydro,Run-Of-River,24.0,48.02987,17.2254,
1601,,,Cusset jonage,,,France,Hydro,Run-Of-River,85.0,45.79,5.025,
1602,,,Dubnica nad vahom,,,Slovakia,Hydro,Run-Of-River,16.5,48.9638,18.1454,
1603,,,Egets,,,France,Hydro,Run-Of-River,37.3,42.955,0.565,
1604,,,Eguzon,,,France,Hydro,Run-Of-River,72.0,46.455,1.613,
1605,,,Eygliers,,,France,Hydro,Run-Of-River,25.0,44.672,6.65,
1606,,,Gabcikovo,,,Slovakia,Hydro,Reservoir,720.0,47.88,17.5384,
1607,,,Gour noir le,,,France,Hydro,Run-Of-River,40.0,45.071,2.067,
1608,,,Grande dixence scheme,,,Switzerland,Hydro,Reservoir,2069.0,46.0731,7.4034,
1609,,,Grodek,,,Poland,Hydro,Run-Of-River,3.5,53.4999,18.3736,
1610,,,Horna streda,,,Slovakia,Hydro,Run-Of-River,25.5,48.6605,17.855,
1611,,,Hospitalet l',,,France,Hydro,Reservoir,93.3,42.588,1.797,
1612,,,Hourat,,,France,Hydro,Reservoir,139.0,43.075,-0.42,
1613,,,Hricov,,,Slovakia,Hydro,Run-Of-River,31.5,49.2594,18.6815,
1614,,,Ilarionas,,,Greece,Hydro,Run-Of-River,154.0,40.0966,21.8039,
1615,,,Ilava,,,Slovakia,Hydro,Run-Of-River,15.0,49.0057,18.235,
1616,,,Iron gate,,,Romania,Hydro,Reservoir,1486.0,44.49035,22.5496,
1617,,,Jouques,,,France,Hydro,Run-Of-River,78.0,43.681,5.656,
1618,,,Kostolna,,,Slovakia,Hydro,Run-Of-River,25.5,48.861,17.9689,
1619,,,Kralova,,,Slovakia,Hydro,Run-Of-River,45.06,48.1912,19.8296,
1620,,,Kreplany,,,Slovakia,Hydro,Run-Of-River,24.75,49.1281,19.0941,
1621,,,Lazer le,,,France,Hydro,Run-Of-River,16.5,44.346,5.868,
1622,,,Lesce,,,Croatia,Hydro,Reservoir,42.3,45.3485,15.3452,
1623,,,Licq atherey,,,France,Hydro,Run-Of-River,27.4,43.048,-0.886,
1624,,,Linth–limmern tierfehd stations,,,Switzerland,Hydro,Reservoir,479.0,46.8763,8.9916,
1625,,,Lipovec,,,Slovakia,Hydro,Run-Of-River,38.4,49.132,18.9114,
1626,,,Louron,,,France,Hydro,Run-Of-River,49.3,42.79,0.41,
1627,,,Luenersee,,,Austria,Hydro,Reservoir,260.0,47.0737,9.8735,
1628,,,Madunice,,,Slovakia,Hydro,Run-Of-River,43.2,48.4884,17.7938,
1629,,,Maljacka,,,Croatia,Hydro,Reservoir,24.0,44.00194,16.01917,
1630,,,Markovci poqwer,,,Slovenia,Hydro,Run-Of-River,0.775,46.3882,15.9267,
1631,,,Mauvoisin,,,Switzerland,Hydro,Reservoir,388.0,46.15726,7.20922,
1632,,,Mazet,,,France,Hydro,Run-Of-River,56.0,45.801,1.803,
1633,,,Melje poqwer,,,Slovenia,Hydro,Run-Of-River,2.63,46.5609,15.6736,
1634,,,Miskova,,,Slovakia,Hydro,Run-Of-River,93.6,49.1928,18.5083,
1635,,,Monceaux virolle,,,France,Hydro,Run-Of-River,19.0,45.576,1.84,
1636,,,Moux charmines,,,France,Hydro,Run-Of-River,28.0,46.277,5.554,
