id,Carma,Fias,Geo,WRI,Country,Fueltype,Classification,Capacity,lat,lon,File
886,Etzelwerk Altendorf,,,Etzelwerk Altendorf,Switzerland,Hydro,,142.44,46.8700754127,9.07981602958,Switzerland Power Plant.csv
887,Herbrechtingen,,,Bio Herbrechtingen,Germany,Waste,,15.7,48.6222129735,10.1760850976,Germany Power Plants (conventional).csv
888,Hiltrop,,,Hiltrop,Germany,Natural Gas,,44.0,51.48282715,7.2177066,Germany Power Plants (conventional).csv
889,Vicedo,,,Vicedo,Spain,Wind,,24.6,42.8666667,-8.75,Spain Power Plants Over 10 MW.csv
890,Tea,,,Tea,Spain,Wind,,48.1,42.2166667,-8.3666667,Spain Power Plants Over 10 MW.csv
891,Rioboo,,,Rioboo,Spain,Wind,,20.8,42.6333333,-7.95,Spain Power Plants Over 10 MW.csv
892,Buio,,,Buio,Spain,Wind,,40.3,43.267392,-8.783311,Spain Power Plants Over 10 MW.csv
893,Bmhkw Lunen,,,Bmk LüNen,Germany,Waste,,20.0,51.61537575,7.52033225,Germany Power Plants (conventional).csv
894,Mhkw Offenbach,,,MüLlheizkraftwerk Offenbach,Germany,Waste,,11.8,50.0943831,8.7664764,Germany Power Plants (conventional).csv
895,Hinterthal Huribach,,,Hinterthal HüRibach,Switzerland,Hydro,,4.7,46.976761,8.76499,Switzerland Power Plant.csv
896,Sahli Glattalp,,,Sahli Glattalp,Switzerland,Hydro,,9.3,46.9156824717,8.88424873352,Switzerland Power Plant.csv
897,Wernisberg,,,Wernisberg,Switzerland,Hydro,,20.4,47.011045002,8.64538192749,Switzerland Power Plant.csv
898,Hinterthal Muota,,,Hinterthal Muota,Switzerland,Hydro,,8.8,46.976761,8.76499,Switzerland Power Plant.csv
899,Stechelberg,,,Stechelberg,Switzerland,Hydro,,4.3,46.5431297381,7.90148735046,Switzerland Power Plant.csv
900,Dallenwil,,,Dallenwil,Switzerland,Hydro,,18.24,46.924197,8.387852,Switzerland Power Plant.csv
901,Obermatt,,,Zwingen Obermatt,Switzerland,Hydro,,32.33,46.99738785,8.12304175,Switzerland Power Plant.csv
902,Isenthal,,,Isenthal Bolzbach,Switzerland,Hydro,,12.0,46.881992,8.616111,Switzerland Power Plant.csv
903,Burglen,,,BüRglen UnterschäChen,Switzerland,Hydro,,23.0,47.03977015,8.69879105,Switzerland Power Plant.csv
904,Arniberg,,,Arniberg,Switzerland,Hydro,,13.0,46.771317,8.669632,Switzerland Power Plant.csv
905,Gurtnellen,,,Gurtnellen,Switzerland,Hydro,,6.6,46.740074,8.624676,Switzerland Power Plant.csv
906,Ganterbrucke,,,GanterbrüCke,Switzerland,Hydro,,6.1,46.2964768369,8.05066108704,Switzerland Power Plant.csv
907,Wolfenschiessen,,,Wolfenschiessen,Switzerland,Hydro,,6.7,46.903217,8.394228,Switzerland Power Plant.csv
908,Oberrickenbach,,,Oberrickenbach,Switzerland,Hydro,,8.7,46.88773,8.417277,Switzerland Power Plant.csv
909,Kaiserstuhl,,,Kaiserstuhl,Switzerland,Hydro,,10.3,46.813809,8.17205,Switzerland Power Plant.csv
910,Lungererseewerk (Unteraa),,,Unteraa Lungerersee,Switzerland,Hydro,,54.5,46.833327,8.180646,Switzerland Power Plant.csv
911,Potsdam Sud,,,Potsdam SüD,Germany,Natural Gas,,81.8,52.3998943606,13.062401042,Germany Power Plants (conventional).csv
912,Letten,,,Letten,Switzerland,Hydro,,5.0,47.3666667,8.55,Switzerland Power Plant.csv
913,Wettingen,,,Wettingen Dotierzentrale,Switzerland,Hydro,,27.45,47.470495,8.31636,Switzerland Power Plant.csv
914,Tinizong,,,Tinizong,Switzerland,Hydro,,76.5,46.582406,9.61732,Switzerland Power Plant.csv
915,Castasegna,,,Castasegna,Switzerland,Hydro,,100.0,46.2556335562,7.75692778793,Switzerland Power Plant.csv
916,Miro,,,Miro,Germany,Oil,,70.0,49.00939505,8.39513495,Germany Power Plants (conventional).csv
