id,Carma,Fias,Geo,WRI,Country,Fueltype,Classification,Capacity,lat,lon,File
0,Waldeck,Waldeck,Waldeck,Waldeck Bringhausen,Germany,Hydro,Pumped Storage / Pumped Storage Power Plant,620.0,51.1772281101,9.05575413208,energy_storage_exchange / Germany Power Plants (conventional).csv
1,Cheylas,Le cheylas,Cheylas Le,Cheylas,France,Hydro,Pumped Storage / Pumped Storage Power Plant,480.0,45.3794293333,5.995288,energy_storage_exchange / France Power Plant.csv
2,Pouget,Le pouget,Pouget Le,Pouget,France,Hydro,Pumped Storage / Dam on a lake,572.5,44.056468,2.76475866667,energy_storage_exchange / France Power Plant.csv
3,Anapo,Anapo solarino,Anapo,Anapo C.Le,Italy,Hydro,Pumped Storage / Pumped Storage Power Plant,500.0,37.133784975,15.156584,energy_storage_exchange / Italy Power Plant.csv
4,Akkats,Akkats,Akkats,Akkats,Sweden,Hydro,reservoir / Dam on river with reservoir,150.0,66.5643886115,20.0879879882,Sweden Power Plant.csv
5,Olidan,Olidan,Olidan,Olidan,Sweden,Hydro,reservoir / Dam with run-of-river generation,77.0,58.1949120004,12.2286306403,Sweden Power Plant.csv
6,Revin,Revin,Revin,Revin,France,Hydro,Pumped Storage / Pumped Storage Power Plant,1600.0,49.9253597425,4.6181762797,energy_storage_exchange / France Power Plant.csv
7,Montezic,Montézic,Montezic Pump,Montezic,France,Hydro,Pumped Storage / Pumped Storage Power Plant,910.0,44.717845,2.64014933333,energy_storage_exchange / France Power Plant.csv
8,Coche,Coche,Coche,Coche,France,Hydro,Pumped Storage / Pumped Storage Power Plant,300.0,45.4817777667,6.53277776667,energy_storage_exchange / France Power Plant.csv
9,Turlough Hill,Turlough hill,Turlough Hill Tomaneena,Turlough,Ireland,Hydro,Pumped Storage / Pumped Storage Power Plant,292.0,53.0504740667,-6.32667036667,energy_storage_exchange / Ireland and Northern Ireland.csv
10,Entracque Rovina,Rovina entracque,Entracque Rovina Piastra,Entracque Rovina,Italy,Hydro,Pumped Storage / Pumped Storage Power Plant,134.0,44.2371125,7.3950905,energy_storage_exchange / Italy Power Plant.csv
11,Roncovalgrande (Delio),Roncovalgrande lago delio,Roncovalgrande,Roncovalgrande,Italy,Hydro,Pumped Storage / Pumped Storage Power Plant,1016.0,46.0468636187,8.73360983211,energy_storage_exchange / Italy Power Plant.csv
12,Fiorano,San fiorano,San Fiorano,S.Fiorano,Italy,Hydro,Pumped Storage / Pumped Storage Power Plant,568.0,45.824139225,10.192063775,energy_storage_exchange / Italy Power Plant.csv
13,Presenzano,Domenico cimarosa presenzano,Presenzano Domenico Cimarosa,Presenzano,Italy,Hydro,Pumped Storage / Pumped Storage Power Plant,1000.0,41.3787045,14.083295,energy_storage_exchange / Italy Power Plant.csv
14,Edolo,Edolo,Edolo,Edolo,Italy,Hydro,Pumped Storage / Pumped Storage Power Plant,1000.0,46.1768495,10.3340795,energy_storage_exchange / Italy Power Plant.csv
15,Markersbach,Markersbach,Markersbach,Markersbach,Germany,Hydro,Pumped Storage,1045.0,50.6511902,12.868301975,energy_storage_exchange / Germany Power Plants (conventional).csv
16,Goldisthal,Goldisthal,Goldisthal,Goldisthal,Germany,Hydro,Pumped Storage / Pumped Storage Power Plant,1060.0,50.510727125,11.044853875,energy_storage_exchange / Germany Power Plants (conventional).csv
17,Porjus Nya,Porjus,Porjus,Porjus,Sweden,Hydro,run-of-river/reservoir / Dam on river with reservoir,465.0,66.9600713201,19.8090654095,Sweden Power Plant.csv
18,Boden,Boden,Boden,Boden,Sweden,Hydro,reservoir / Barrage with run-of-river Generation,78.0,65.8199766043,21.6848721673,Sweden Power Plant.csv
19,Cruachan,Cruachan,Cruachan Scotland,Cruachan,United Kingdom,Hydro,Pumped Storage / Pumped Storage Power Plant,400.0,56.498084054,-4.8292122649,energy_storage_exchange / UK Power Plant.csv
20,Villarino,Villarino almendra reversible,Almendra Villarino,Villarino,Spain,Hydro,Pumped Storage / Dam on river with reservoir,842.0,41.826492,-6.370078,energy_storage_exchange / Spain Power Plants Over 10 MW.csv
21,Ffestiniog,Ffestiniog,Ffestiniog Wales,Ffestiniog,United Kingdom,Hydro,Pumped Storage / Pumped Storage Power Plant,360.0,52.8070379769,-3.89362443743,energy_storage_exchange / UK Power Plant.csv
22,Dinorwig,Dinorwig,Dinorwig,Dinorwig,United Kingdom,Hydro,Pumped Storage / Pumped Storage Power Plant,1728.0,52.9205433462,-4.0555681206,energy_storage_exchange / UK Power Plant.csv
23,Koepchenwerk,Herdecke,Koepchenwerk Herdecke,Koepchenwerk,Germany,Hydro,Pumped Storage / Pumped Storage Power Plant,154.0,51.43174465,7.44140155,energy_storage_exchange / Germany Power Plants (conventional).csv
24,Ronkhausen,Rönkhausen,Rönkhausen,Pumpspeicherwerk RöNkhausen,Germany,Hydro,Pumped Storage / Pumped Storage Power Plant,140.0,51.19606455,7.975633975,energy_storage_exchange / Germany Power Plants (conventional).csv
25,Vittjarv,Vittjärv,Vittjarv,Vittjarv,Sweden,Hydro,reservoir / Dam with run-of-river generation,30.0,65.8473516667,21.5581045667,Sweden Power Plant.csv
26,Erzhausen,Erzhausen,Erzhausen,Erzhausen,Germany,Hydro,Pumped Storage / Pumped Storage Power Plant,220.0,51.8808075875,9.94534689415,energy_storage_exchange / Germany Power Plants (conventional).csv
27,Harspranget,Harspranget,Harspranget,Harspranget,Sweden,Hydro,run-of-river/reservoir / Dam with run-of-river generation,977.0,66.9102683201,19.8183824095,Sweden Power Plant.csv
28,Messaure,Messaure,Messaure,Messaure,Sweden,Hydro,run-of-river/reservoir / Dam with run-of-river generation,442.0,66.6584938871,20.1641580779,Sweden Power Plant.csv
29,Wendefurth,Wendefurth,Wendefurth,Wendefurth,Germany,Hydro,Pumped Storage / Pumped Storage Power Plant,80.0,51.7374444333,10.9145222333,energy_storage_exchange / Germany Power Plants (conventional).csv
30,Stornorrfors,Storrnorfors,Stornorrfors,Stornorrfors,Sweden,Hydro,run-of-river / Dam on river with reservoir,591.0,63.8537415049,20.1099298237,Sweden Power Plant.csv
31,Ligga,Ligga,Ligga,Ligga,Sweden,Hydro,run-of-river/reservoir / Dam with run-of-river generation,324.0,66.4518076534,20.5864554095,Sweden Power Plant.csv
32,Hojum,Hojum,Hojum,Hojum,Sweden,Hydro,run-of-river/reservoir / Dam with run-of-river generation,170.0,58.2814204672,12.2819483871,Sweden Power Plant.csv
33,Alvkarleby,Älvkarleby,Alvkarleby,Alvkarleby,Sweden,Hydro,reservoir / Dam on river with reservoir,125.0,60.527312775,17.3871762,Sweden Power Plant.csv
34,Laxede,Laxede,Laxede,Laxede,Sweden,Hydro,reservoir / Dam with run-of-river generation,207.0,66.2536250104,20.8396873275,Sweden Power Plant.csv
35,Hausling,Häusling,Haeusling,HäUsling,Austria,Hydro,Pumped Storage / Pumped Storage Power Plant,360.0,47.14871,11.9680619,energy_storage_exchange / Verbund Power Plant.csv
36,Rosshag,Roßhag,Rosshag,RoßHag,Austria,Hydro,Pumped Storage / Pumped Storage Power Plant,231.0,47.0866407667,11.7701975667,energy_storage_exchange / Verbund Power Plant.csv
37,Wehr,Wehr,Wehr,Wehr,Germany,Hydro,Pumped Storage / Pumped Storage Power Plant,992.0,47.6407087061,7.9134779775,energy_storage_exchange / Germany Power Plants (conventional).csv
38,Foyers,Foyers,Foyers Scotland,Foyers Falls,United Kingdom,Hydro,Pumped Storage / Pumped Storage Power Plant,300.0,57.1552292057,-4.37720353398,energy_storage_exchange / UK Power Plant.csv
39,Plate Taille,Plate taille,Plate Taille Project Belgeium,Plate Taille T,Belgium,Hydro,Pumped Storage / Pumped Storage Power Plant,144.0,50.2022949528,4.38121225789,energy_storage_exchange / Belgium Power Plant.csv
40,Letsi,Letsi,Letsi,Letsi,Sweden,Hydro,reservoir / Dam on river with reservoir,456.0,66.502013,20.3789075,Sweden Power Plant.csv
41,Aldeadavila,Aldeadávila,Aldeadavila,Aldeadavila,Spain,Hydro,Pumped Storage / Dam on river with reservoir,1230.0,41.075835,-6.17778,energy_storage_exchange / Spain Power Plants Over 10 MW.csv
42,,Chiotas entracque,Entracque Chiotas Piastra,Entracque_Chro,Italy,Hydro,Pumped Storage / Pumped Storage Power Plant,1184.0,44.215675,7.401167,energy_storage_exchange / Italy Power Plant.csv
43,,Limberg,Kaprun Limberg,Kaprun Limberg,Austria,Hydro,Pumped Storage / Pumped Storage Power Plant,593.0,47.178825,12.71538,energy_storage_exchange / Verbund Power Plant.csv
44,,Malta main stage,Malta Haupstufe Rottau,Malta Main Stage,Austria,Hydro,Pumped Storage / Pumped Storage Power Plant,730.0,46.87035,13.3297,energy_storage_exchange / Verbund Power Plant.csv
45,Marchwood Power,,Marchwood,Marchwood,United Kingdom,Natural Gas,Combined Cycle Gas Turbine,842.0,50.7995063968,-1.59829355177,UK Power Plant.csv
46,Porcari Kartocell,,Edison Porcari,Porcari,Italy,Natural Gas,Power and Heat Combined Cycle Gas Turbine,100.0,43.8361822,10.6121094667,Italy Power Plant.csv
47,Almaraz,,Almaraz,Almaraz,Spain,Nuclear,,2090.0,39.8075527778,-5.6977722222,EU Nuclear Power.csv
48,Trillo,,Trillo,Trillo,Spain,Nuclear,,1066.0,40.7013555556,-2.6222972222,EU Nuclear Power.csv
49,Langage,,Langage,Langage,United Kingdom,Natural Gas,Combined Cycle Gas Turbine,885.0,50.4579094626,-3.34139262809,UK Power Plant.csv
50,South Humber Bank,,South Humber Bank,South Humber Bank,United Kingdom,Natural Gas,Combined Cycle Gas Turbine,1260.0,53.7110744563,-0.485377053898,UK Power Plant.csv
51,Barry Centrica,,Barry,Barry,United Kingdom,Natural Gas,Combined Cycle Gas Turbine,230.0,51.7029156678,-3.39664694654,UK Power Plant.csv
52,Sutton Bridge,,"Sutton Bridge ,",Sutton Bridge,United Kingdom,Natural Gas,Combined Cycle Gas Turbine,819.0,52.5832983667,-0.0262438792327,UK Power Plant.csv
53,Roque,,San Roque Endesa,Roque,Spain,Natural Gas,Combined Cycle Gas Turbine,402.0,36.2030835,-5.398625,Spain Power Plants Over 10 MW.csv
54,Palos Frontera Fenosa,,Palos Frontera,Palos Frontera,Spain,Natural Gas,Combined Cycle Gas Turbine,1200.0,37.185222,-6.8859165,Spain Power Plants Over 10 MW.csv
55,Besos,,Besos Sant Adria,Besos,Spain,Natural Gas,Combined Cycle Gas Turbine,1678.0,41.4232134401,2.22583887858,Spain Power Plants Over 10 MW.csv
56,Aceca Fenosa,,Aceca Fenosa,Aceca,Spain,Natural Gas,Combined Cycle Gas Turbine,400.0,39.94635,-3.8524,Spain Power Plants Over 10 MW.csv
57,Campo  Gibraltar,,Campo Gibraltar,Campo Gibraltar,Spain,Natural Gas,Combined Cycle Gas Turbine,800.0,36.1970335,-5.388725,Spain Power Plants Over 10 MW.csv
58,Sagunto,,Sagunto,Ccc Sagunto,Spain,Natural Gas,Combined Cycle Gas Turbine,1212.6,39.6427665,-0.2335775,Spain Power Plants Over 10 MW.csv
59,Seabank,,Seabank And,Seabank,United Kingdom,Natural Gas,Combined Cycle Gas Turbine,1145.0,51.2209829,-2.42520353333,UK Power Plant.csv
60,Genissiat Seyssel,,Genissiat,Genissiat,France,Hydro,Dam on river with reservoir,420.0,45.9765,5.96483335,France Power Plant.csv
61,Saint Ghislain,,Saint Ghislain,Saint Ghislain Steg,Belgium,Natural Gas,Combined Cycle Gas Turbine,350.0,50.47155,3.82525,Belgium Power Plant.csv
62,Beauchastel,,Beauchastel,Beauchastel,France,Hydro,Dam with run-of-river generation,204.0,44.87866665,4.8555,France Power Plant.csv
63,Niehl,,Niehl,Niehl,Germany,Natural Gas,Combined Cycle Gas Turbine,406.0,50.9488314667,6.96625793333,Germany Power Plants (conventional).csv
64,Arrubal,,Arrubal,Arrubal,Spain,Natural Gas,Combined Cycle Gas Turbine,800.0,42.42844,-2.250715,Spain Power Plants Over 10 MW.csv
65,Wilhelmshaven,,Wilhelmshaven,Wilhelmshaven Coal,Germany,Coal,Sub-critical Thermal,757.0,53.564817035,8.146897104,Germany Power Plants (conventional).csv
66,Franken,,Franken,Franken,Germany,Natural Gas,Sub-critical Thermal,843.0,49.4408501,11.0512436,Germany Power Plants (conventional).csv
67,Brokdorf,,Brokdorf,Brokdorf,Germany,Nuclear,,1440.0,53.8507166667,9.3448611111,EU Nuclear Power.csv
68,Puente Nuevo,,Puente Nuevo,Puente Nuevo,Spain,Coal,Sub-critical Thermal,324.0,38.111827,-4.934408,Spain Power Plants Over 10 MW.csv
69,Heyden,,Heyden,Heyden,Germany,Coal,Sub-critical Thermal,875.0,52.3801179933,8.98705797133,Germany Power Plants (conventional).csv
70,Livorno Ferraris,,E.On Livorno Ferraris,On C.Te Livorno Ferraris,Italy,Natural Gas,Combined Cycle Gas Turbine,800.0,45.2684473333,8.11601733333,Italy Power Plant.csv
71,Ostiglia,,E.On Ostiglia,Ostiglia,Italy,Natural Gas,Combined Cycle Gas Turbine,1482.0,45.0613410333,11.1375663333,Italy Power Plant.csv
72,Los Barrios,,Los Barrios,Barrios,Spain,Coal,Sub-critical Thermal,568.0,36.183248,-5.419207,Spain Power Plants Over 10 MW.csv
73,Buschhaus,,Buschhaus,Buschhaus,Germany,Coal,Sub-critical Thermal,390.0,52.0163645667,11.1624700667,Germany Power Plants (conventional).csv
74,Den Haag,,Den Hague Repower,Edh,Netherlands,Natural Gas,Power and Heat Combined Cycle Gas Turbine,120.0,52.0764378333,4.2932716,Netherlands Power Plant.csv
75,Tavazzano,,E.On Tavazzano,Tavazzano,Italy,Natural Gas,Combined Cycle Gas Turbine,1740.0,45.334516,9.44418533333,Italy Power Plant.csv
76,Staudinger,,Großkrotzenburg Staudinger,Staudinger,Germany,Coal,Sub-critical Thermal,1823.0,50.0865266667,8.96313744067,Germany Power Plants (conventional).csv
77,Escatron Combi,,E.On Escatron,Escatron,Spain,Natural Gas,Combined Cycle Gas Turbine,804.0,41.29574775,-0.33397025,Spain Power Plants Over 10 MW.csv
78,Grohnde,,Grohnde,Grohnde,Germany,Nuclear,,1430.0,52.0350388889,9.41216666665,EU Nuclear Power.csv
79,Schkopau ,,Schkopau,Schkopau,Germany,Coal,Cogeneration Power and Heat Steam Turbine,916.0,51.3957317433,11.9620582667,Germany Power Plants (conventional).csv
80,Killingholme B,,Killingholme,Killingholme,United Kingdom,Natural Gas,Combined Cycle Gas Turbine,1565.0,53.7468482058,-0.559257115584,UK Power Plant.csv
81,Maasvlakte,,Maasvlakte,Maasvlakte,Netherlands,Coal,Sub-critical Thermal/Ultra-Super-Critical Thermal,1880.0,51.9553379333,4.03167296667,Netherlands Power Plant.csv
82,Oskarshamn,,Oskarshamn,Oskarshamn,Sweden,Nuclear,,2307.0,57.4142627778,16.6697155555,EU Nuclear Power.csv
83,Rostock,,Rostock,Kng Rostock,Germany,Coal,Sub-critical Thermal,553.0,54.1255554233,12.1311291967,Germany Power Plants (conventional).csv
84,Chooz B,,Chooz,Chooz,France,Nuclear,,3120.0,50.09,4.7894444442,EU Nuclear Power.csv
85,Lixhe,,Lixhe,Hu Lixhe,Belgium,Hydro,Barrage with run-of-river Generation,20.0,50.7446479347,5.69268594208,Belgium Power Plant.csv
86,Ottmarsheim,,Ottmarsheim,Ottmarsheim,France,Hydro,Dam with run-of-river generation,156.0,47.7802755,7.516176,France Power Plant.csv
87,Bugey,,Bugey,Bugey,France,Nuclear,,3724.0,45.5612979523,5.2707226117,EU Nuclear Power.csv
88,Sisteron,,Sisteron,Sisteron,France,Hydro,Dam on river with reservoir,256.0,44.19879,5.933614,France Power Plant.csv
89,Quirico,,Edison San Quirco,Quirico,Italy,Natural Gas,Power and Heat Combined Cycle Gas Turbine,133.0,44.8822299667,10.2946694667,Italy Power Plant.csv
90,Altbach,,Altbach,Altbach Deizisau Coal,Germany,Coal,Sub-critical Thermal,1200.0,48.7203403033,9.37571201233,Germany Power Plants (conventional).csv
91,Verzuolo Gever,,Edison Verzuolo Gever,Verzuolo,Italy,Natural Gas,Power and Heat Combined Cycle Gas Turbine,120.0,44.5944335,7.485261,Italy Power Plant.csv
92,Pied  Borne,,Pied Borne,Pied Borne,France,Hydro,Dam on a lake,110.0,44.477342992,3.98517319489,France Power Plant.csv
93,Aston,,Aston,Aston,France,Hydro,Dam on a lake,116.0,42.7757035,1.675212,France Power Plant.csv
94,Brennilis,,"Brennilis Combustion ,",Brennilis,France,Oil,Open Cycle Gas Turbine,295.0,48.357403,-3.860744,France Power Plant.csv
95,Kembs,,Kembs,Kembs,France,Hydro,Dam with run-of-river generation,156.0,47.6722415,7.511617,France Power Plant.csv
96,Gerstheim,,Gerstheim,Gerstheim,France,Hydro,Dam with run-of-river generation,141.0,48.392712,7.7155415,France Power Plant.csv
97,Brommat,,Brommat,Brommat,France,Hydro,Dam on river with reservoir,444.0,44.4183145,1.792959,France Power Plant.csv
98,Cruas,,Cruas,Cruas,France,Nuclear,,3824.0,44.6327733441,4.75562893384,EU Nuclear Power.csv
99,Chinon B,,Chinon,Chinon,France,Nuclear,,3816.0,47.2279559439,0.168056662787,EU Nuclear Power.csv
100,Gissi,,A2A Gissi,Gissi,Italy,Natural Gas,Combined Cycle Gas Turbine,840.0,42.0404663667,14.5575495,Italy Power Plant.csv
101,Cassano D'Adda,,A2A Cassano D'Adda,Cassano D’Adda,Italy,Natural Gas,Combined Cycle Gas Turbine,1000.0,45.5008675603,9.4066654257,Italy Power Plant.csv
102,Monfalcone,,A2A Monfalcone,Monfalcone,Italy,Coal,Sub-critical Thermal,336.0,45.8009795,13.5407122,Italy Power Plant.csv
103,Scandale,,Scandale,Di Scandale,Italy,Natural Gas,Combined Cycle Gas Turbine,814.0,39.1162026,16.9858110333,Italy Power Plant.csv
104,Pragneres,,Pragneres,Pragneres,France,Hydro,Pumped Storage Power Plant,292.0,42.804081,0.014442,France Power Plant.csv
105,Leini,,Leini,Leini,Italy,Natural Gas,Combined Cycle Gas Turbine,385.0,45.1761666667,7.726304,Italy Power Plant.csv
106,Elsta,,Elsta,Elsta,Netherlands,Natural Gas,Power and Heat Combined Cycle Gas Turbine,460.0,51.3250846333,3.77885843333,Netherlands Power Plant.csv
107,Piacenza,,Edipower Piacenza,Piacenza,Italy,Natural Gas,Combined Cycle Gas Turbine,855.0,45.0525917,9.70110203333,Italy Power Plant.csv
108,Kilroot,,Kilroot,Kilroot,United Kingdom,Coal,Sub-critical Thermal,520.0,54.7027276167,-6.03161173656,UK Power Plant.csv
109,Akzo Delesto,,Delesto,Delesto,Netherlands,Natural Gas,Power and Heat Combined Cycle Gas Turbine,525.0,53.3195523333,6.9512805,Netherlands Power Plant.csv
110,St Leonard,,St Leonard,St LéOnard,Switzerland,Hydro,Water discharged from another project,34.0,46.6023929667,8.02924676667,Switzerland Power Plant.csv
111,Batiaz,,Batiaz,BâTiaz,Switzerland,Hydro,Dam on river with reservoir,162.0,46.3929749667,7.8266835,Switzerland Power Plant.csv
112,Plana  Vent,,Plana Del Vent,Ctcc Plana Vent,Spain,Natural Gas,Combined Cycle Gas Turbine,800.0,41.4331743295,1.55640709839,Spain Power Plants Over 10 MW.csv
113,Moneypoint,,Moneypoint,Moneypoint Fgd Scr,Ireland,Coal,Sub-critical Thermal,915.0,52.60745,-9.42316,Ireland and Northern Ireland.csv
114,North Wall,,North Wall,Northwall,Ireland,Natural Gas,OCGT and CCGT,262.0,53.3470964411,-6.23914260559,Ireland and Northern Ireland.csv
115,Falconara,,Api Energia Falconara Igcc,Api Energia Igcc,Italy,Natural Gas,Power and Heat Combined Cycle Gas Turbine,280.0,43.6312533,13.3931161,Italy Power Plant.csv
116,Rizziconi,,Rizziconi,Rizziconi,Italy,Natural Gas,Combined Cycle Gas Turbine,760.0,38.4222833333,15.968798,Italy Power Plant.csv
117,Stalden,,Stalden,Stalden Kwm,Switzerland,Hydro,Dam on a lake,185.0,46.609212024,8.02825955661,Switzerland Power Plant.csv
118,Zermeiggern,,Zermeiggern,Zermeiggern,Switzerland,Hydro,Pumped Storage Power Plant,74.0,46.083228,7.957305,Switzerland Power Plant.csv
119,Sparanise,,Sparanise,Sparanise,Italy,Natural Gas,Combined Cycle Gas Turbine,760.0,41.1806863333,14.102763,Italy Power Plant.csv
120,Ludwigshafen Mitte,,Ludwigshafen Mitte,Mitte,Germany,Natural Gas,Power and Heat Combined Cycle Gas Turbine,390.0,49.4863822,8.43616503333,Germany Power Plants (conventional).csv
121,Bergkamen,,Bergkamen,Bergkamen,Germany,Coal,Sub-critical Thermal,747.0,51.62964163,7.62761109667,Germany Power Plants (conventional).csv
122,Brindisi Sud,,Enel Brindisi Sud Federico,Brindisi Sud Ce,Italy,Coal,Sub-critical Thermal,2640.0,40.5893987667,18.0042508667,Italy Power Plant.csv
123,Archimede/P Gargallo,,Enel Priolo Gargallo Archimede,Priolo C.Le,Italy,Natural Gas,Combined Cycle Gas Turbine,750.0,37.1522799667,15.1942786667,Italy Power Plant.csv
124,Montalto Di Castro,,Montalto Di Castro Alessandro Volta,Montalto Alessandro Volta,Italy,Natural Gas,Combined Cycle Gas Turbine,3600.0,42.3536935,11.5835212333,Italy Power Plant.csv
125,Aarberg,,Aarberg,Aarberg,Switzerland,Hydro,Weir on a River,15.5,47.0410967139,7.27389081573,Switzerland Power Plant.csv
126,Castellon,,Castellon,Ctcc Castellon,Spain,Natural Gas,Combined Cycle Gas Turbine,1649.0,39.9661242666,-0.0118861,Spain Power Plants Over 10 MW.csv
127,Ravenna Enichem,,Eni Ravenna,Enipower Ravenna,Italy,Natural Gas,Combined Cycle Gas Turbine,972.0,44.4378174667,12.2256352333,Italy Power Plant.csv
128,Kozloduy,,Kozloduy,Kozloduy,Bulgaria,Nuclear,,2000.0,43.7444555556,23.7730777778,EU Nuclear Power.csv
129,Amorebieta,,Amorebieta Boroa,Amorebieta,Spain,Natural Gas,Combined Cycle Gas Turbine,755.0,43.22569435,-2.74152765,Spain Power Plants Over 10 MW.csv
130,Ottenstein,,Ottenheim Wilhering,Ottensheim Wilhering,Austria,Hydro,Dam with run-of-river generation,179.0,48.4575193443,14.7446149308,Verbund Power Plant.csv
131,Lunen,,Lünen Trianel,LüNen,Germany,Coal,Sub-critical Thermal/Ultra-Super-Critical Thermal,1257.0,51.6149705,7.5038965,Germany Power Plants (conventional).csv
132,Herne,,Herne,Herne,Germany,Coal,Sub-critical Thermal,950.0,51.5460798,7.2079739,Germany Power Plants (conventional).csv
133,Weiher,,Weiher Quierschied,Weiher,Germany,Coal,Sub-critical Thermal,724.0,49.32568335,7.0424,Germany Power Plants (conventional).csv
134,Loviisa,,Loviisa Finland,Loviisa,Finland,Nuclear,,976.0,60.3715111111,26.3470111111,EU Nuclear Power.csv
135,Anllares,,Anllares,Anllares,Spain,Coal,Sub-critical Thermal,365.2,42.692569,-6.5646935,Spain Power Plants Over 10 MW.csv
136,Narcea,,Narcea,Narcea,Spain,Coal,Sub-critical Thermal,595.0,43.3150255,-6.404108,Spain Power Plants Over 10 MW.csv
137,Robla Fenosa,,Robla,Robla,Spain,Coal,Sub-critical Thermal,655.0,42.79771,-5.63152,Spain Power Plants Over 10 MW.csv
138,Meirama,,Meirama,Meirama,Spain,Coal,Sub-critical Thermal,563.0,43.1225184806,-8.41005210571,Spain Power Plants Over 10 MW.csv
139,Heid  Goreux,,Heid Goreux,Heid Goreux,Belgium,Hydro,Dam with run-of-river generation,8.1,50.4500564608,5.70482086792,Belgium Power Plant.csv
140,Castelnou,,Castelnou,Ciclo Combinado Castelnou,Spain,Natural Gas,Combined Cycle Gas Turbine,760.0,41.216243,-0.2937575,Spain Power Plants Over 10 MW.csv
141,Caderousse,,Caderousse,Caderousse,France,Hydro,Dam with run-of-river generation,156.0,44.1175975,4.765953,France Power Plant.csv
142,Dk (Sollac),,Dk6 Dunkerque,Dk,France,Natural Gas,Combined Cycle Gas Engine (CCGE),800.0,51.03908,2.342735,France Power Plant.csv
143,Eems,,Eems,Eemscentrale,Netherlands,Natural Gas,Combined Cycle Gas Turbine,2400.0,53.4316231667,6.87438313333,Netherlands Power Plant.csv
144,Avignon,,Avignon,Avignon,France,Hydro,Dam with run-of-river generation,176.0,43.9621693172,4.81296090698,France Power Plant.csv
145,Drogenbos,,Drogenbos,Drogenbos,Belgium,Natural Gas,Combined Cycle Gas Turbine,538.0,50.803366,4.298409,Belgium Power Plant.csv
146,Baix  Logis Neuf,,Logis Neuf,Baix Logis Neuf,France,Hydro,Dam with run-of-river generation,215.0,44.80466665,4.8435,France Power Plant.csv
147,Bourg  Valence,,Bourg Les Valence,Bourg Les Valence,France,Hydro,Dam with run-of-river generation,180.0,44.9835045,4.8746135,France Power Plant.csv
148,Tihange,,Tihange,Tihange,Belgium,Nuclear,,3129.0,50.5344576733,5.27377605267,EU Nuclear Power.csv
149,Amercoeur,,Amercoeur,Amercoeur R Tgv,Belgium,Natural Gas,Combined Cycle Gas Turbine,420.0,50.4357539691,4.39359941864,Belgium Power Plant.csv
150,Mareges,,Mareges,Mareges,France,Hydro,Dam on a lake,301.8,45.396,2.357,France Power Plant.csv
151,Torrevaldaliga Sud,,Tirrenopower Torrevaldaliga South,Torrevaldaliga South,Italy,Natural Gas,Combined Cycle Gas Turbine,1520.0,42.1262165,11.760089,Italy Power Plant.csv
152,Napoli Levante,,Tirrenopower Napoli Levante,Napoli L,Italy,Natural Gas,Combined Cycle Gas Turbine,400.0,40.8347592,14.2837755333,Italy Power Plant.csv
153,Krsko,,Krsko Reactor,Krsko,Slovenia,Nuclear,,730.0,45.9386166666,15.5157777778,EU Nuclear Power.csv
154,Sloecentrale,,Sloe Netherland,Sloecentrale,Netherlands,Natural Gas,Combined Cycle Gas Turbine,870.0,51.4493419,3.67064236667,Netherlands Power Plant.csv
155,Soto  Ribera,,Soto Ribera,Ctcc Soto Ribera,Spain,Natural Gas,Combined Cycle Gas Turbine,865.5,43.3381967845,-5.86123205672,Spain Power Plants Over 10 MW.csv
156,Abono,,Abono,Abono,Spain,Coal,Sub-critical Thermal,921.7,43.555791,-5.722986,Spain Power Plants Over 10 MW.csv
157,Castejon Hc,,Castejon Hce,Castejon,Spain,Natural Gas,Combined Cycle Gas Turbine,855.3,42.17321,-1.691904,Spain Power Plants Over 10 MW.csv
158,Lippendorf,,Lippendorf,Braunkohlekraftwerk Lippendorf,Germany,Coal,Super-critical Thermal,1866.0,51.18930694,12.37695618,Germany Power Plants (conventional).csv
159,Ijmuiden Una,,Ijmond,Ijmond,Netherlands,Natural Gas,Power and Heat Combined Cycle Gas Turbine,144.0,52.4693076339,4.6240535437,Netherlands Power Plant.csv
160,Guardo,,Velilla Guarda,Ct Guardo,Spain,Coal,Cogeneration Power and Heat Steam Turbine,516.0,42.8221045,-4.850081,Spain Power Plants Over 10 MW.csv
161,Castro,,Castro,Castro,Spain,Hydro,Dam on river with reservoir,190.0,41.697448,-5.8267305,Spain Power Plants Over 10 MW.csv
162,Belleville,,Belleville,Belleville,France,Nuclear,,2726.0,47.5100086111,2.875025,EU Nuclear Power.csv
163,Sainte Croix,,Sainte Croix,Sainte Croix,France,Hydro,Dam on river with reservoir,158.0,43.7435,6.142,France Power Plant.csv
164,Porcheville,,"Porcheville ,",Porcheville,France,Oil,Sub-critical Steam Turbine,2400.0,48.9708563098,1.76928473413,France Power Plant.csv
165,Couesque,,Couesque,Couesque,France,Hydro,Dam on river with reservoir,124.0,44.6710315715,2.5762266922,France Power Plant.csv
166,Oraison,,Oraison,Oraison,France,Hydro,Dam with run-of-river generation,195.0,43.94383335,5.85416665,France Power Plant.csv
167,Heilbronn,,Heilbronn,Heilbronn,Germany,Coal,Sub-critical Thermal,1066.0,49.1649540667,9.21140539967,Germany Power Plants (conventional).csv
