None,Name,Name,Name,Name,Fueltype,Fueltype,Fueltype,Fueltype,Classification,Classification,Classification,Classification,Country,Country,Country,Country,Capacity,Capacity,Capacity,Capacity,lat,lat,lat,lat,lon,lon,lon,lon,File,File,File,File
613,Barry centrica,Barry,,Barry,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,United Kingdom,United Kingdom,,United Kingdom,230.0,230.0,,235.0,51.4069982644,51.4089371389,,52.2928116,-3.2208588095,-3.23015213013,,-3.7389299,,,,UK Power Plant.csv
614,Sutton bridge,"Sutton bridge station,",,Sutton bridge,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,United Kingdom,United Kingdom,,United Kingdom,756.1,819.0,,819.0,52.757352,52.7579,,52.2345714,0.191671,0.1923,,-0.4626500837,,,,UK Power Plant.csv
615,Roque endesa,San roque endesa,,Roque,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Spain,Spain,,Spain,400.0,402.0,,791.68,36.210667,36.1955,,,-5.38415,-5.4131,,,,,,Spain Power Plants Over 10 MW.csv
616,Palos frontera fenosa,Palos frontera,,Palos frontera,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Spain,Spain,,Spain,1200.0,1200.0,,1167.0,37.186144,37.1843,,,-6.886133,-6.8857,,,,,,Spain Power Plants Over 10 MW.csv
617,Campo gibraltar,Campo gibraltar,,Campo gibraltar,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Spain,Spain,,Spain,800.0,800.0,,780.66,36.210667,36.1834,,,-5.38415,-5.3933,,,,,,Spain Power Plants Over 10 MW.csv
618,Sagunto,Sagunto,,"Ccc sagunto,",Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Spain,Spain,,Spain,1212.6,1212.6,,1232.19,39.642933,39.6426,,,-0.232755,-0.2344,,,,,,Spain Power Plants Over 10 MW.csv
619,Seabank,Seabank and,,Seabank,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,United Kingdom,United Kingdom,,United Kingdom,1146.0,1145.0,,1222.0,51.528976,51.5392,,50.5947727,-2.653412,-2.67,,-1.9521986,,,,UK Power Plant.csv
620,Coo trois ponts,Coo and,,Coo,Hydro,Hydro,,Hydro,,Pumped Storage,,,Belgium,Belgium,,Belgium,1065.0,1164.0,,1164.0,50.3712790769,50.3849,,,5.87146282196,5.8618,,,,,,Belgium Power Plant.csv
621,Ghislain,Saint ghislain,,Saint ghislain steg,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Belgium,Belgium,,Belgium,360.0,350.0,,350.0,50.4712,50.4719,,,3.8257,3.8248,,,,,,Belgium Power Plant.csv
622,Niehl,Niehl,,Niehl,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Germany,Germany,,Germany,412.6,406.0,,413.0,50.9333333,50.9748,,50.938361,6.95,6.9888,,6.959974,,,,Germany Power Plants (conventional).csv
623,Arrubal,Arrubal,,Arrubal,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Spain,Spain,,Spain,800.0,800.0,,784.7,42.43748,42.4194,,,-2.25033,-2.2511,,,,,,Spain Power Plants Over 10 MW.csv
624,Wilhelmshaven,Wilhelmshaven,,Wilhelmshaven coal,Coal,Coal,,Coal,,Thermal,,,Germany,Germany,,Germany,826.0,757.0,,757.0,53.56493407,53.5647,,53.5278793,8.146894208,8.1469,,8.106301,,,,Germany Power Plants (conventional).csv
625,Franken,Franken,,Franken,Natural Gas,Natural Gas,,Natural Gas,,Thermal,,,Germany,Germany,,Germany,493.0,843.0,,823.0,49.447778,49.4209,,49.4538723,11.068333,11.0081,,11.0772978,,,,Germany Power Plants (conventional).csv
626,Brokdorf,Brokdorf,,Brokdorf,Nuclear,Nuclear,,Nuclear,,,,,Germany,Germany,,Germany,1480.0,1440.0,,1480.0,53.8508333333,53.8506,,,9.3447222222,9.345,,,,,,EU Nuclear Power.csv
627,Puente nuevo,Puente nuevo,,Puente nuevo,Coal,Coal,,Coal,,Thermal,,,Spain,Spain,,Spain,324.0,324.0,,299.76,38.112854,38.1108,,,-4.933416,-4.9354,,,,,,Spain Power Plants Over 10 MW.csv
628,Heyden,Heyden,,Heyden,Coal,Coal,,Coal,,"Coal Hard, Thermal",,,Germany,Germany,,Germany,911.0,875.0,,875.0,52.38279238,52.3819,,52.3756616,8.996004114,8.998333,,8.9668368,,,,Germany Power Plants (conventional).csv
629,Livorno ferraris,E.on livorno ferraris,,E.on c.te livorno ferraris,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Italy,Italy,,Italy,772.0,800.0,,804.0,45.284056,45.23723,,45.284056,8.077426,8.1932,,8.077426,,,,Italy Power Plant.csv
630,Ostiglia,E.on ostiglia,,Ostiglia,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Italy,Italy,,Italy,1890.0,1482.0,,1137.0,45.053333,45.0603,,45.0703901,11.138889,11.1374,,11.13641,,,,Italy Power Plant.csv
631,Barrios,Los barrios,,Barrios,Coal,Coal,,Coal,,Thermal,,,Spain,Spain,,Spain,567.5,568.0,,570.05,36.183696,36.1828,,,-5.418414,-5.42,,,,,,Spain Power Plants Over 10 MW.csv
632,Buschhaus,Buschhaus,,Buschhaus,Coal,Coal,,Coal,,"Lignite, Thermal",,,Germany,Germany,,Germany,380.0,390.0,,352.0,51.65,52.17139,,52.2277037,11.5,10.97694,,11.0104702,,,,Germany Power Plants (conventional).csv
633,Tavazzano,E.on tavazzano,,Tavazzano,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Italy,Italy,,Italy,1810.0,1740.0,,1520.0,45.335278,45.3325,,45.33577,9.4275,9.4364,,9.468656,,,,Italy Power Plant.csv
634,Waldeck,Waldeck,,Waldeck bringhausen,Hydro,Hydro,,Hydro,,Pumped Storage,,,Germany,Germany,,Germany,694.0,620.0,,623.0,51.2061843302,51.1655,,51.17801685,9.06286239624,9.0444,,9.0470185061,,,,Germany Power Plants (conventional).csv
635,Escatron combi,E.on escatron,,Escatron,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Spain,Spain,,Spain,1160.0,804.0,,1078.995,41.2937955,41.2977,,,-0.3303405,-0.3376,,,,,,Spain Power Plants Over 10 MW.csv
636,Grohnde,Grohnde,,Grohnde,Nuclear,Nuclear,,Nuclear,,,,,Germany,Germany,,Germany,1430.0,1430.0,,1430.0,52.0352777778,52.0348,,,9.4133333333,9.411,,,,,,EU Nuclear Power.csv
637,Schkopau,Schkopau,,Schkopau,Coal,Coal,,Coal,,"CHP, Lignite",,,Germany,Germany,,Germany,960.0,916.0,,900.0,51.39845463,51.39845,,51.3902906,11.9504201,11.95032,,11.9854347,,,,Germany Power Plants (conventional).csv
638,Killingholme,Killingholme,,Killingholme,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,United Kingdom,United Kingdom,,United Kingdom,912.0,1565.0,,1565.0,53.653342,53.6563704174,,53.93092085,-0.255285,-0.255801895142,,-1.1668220316,,,,UK Power Plant.csv
639,Irsching,Irsching,,Gemeinschaftskraftwerk irsching,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Germany,Germany,,Germany,1615.0,850.0,,846.0,48.766851675,48.7677,,48.332822,11.59796405,11.5854,,12.3101096,,,,Germany Power Plants (conventional).csv
640,Oskarshamn,Oskarshamn,,Oskarshamn,Nuclear,Nuclear,,Nuclear,,,,,Sweden,Sweden,,Sweden,2637.075,2307.0,,2603.0,57.4155555556,57.41297,,,16.6711111111,16.66832,,,,,,EU Nuclear Power.csv
641,Rostock,Rostock,,Kng rostock,Coal,Coal,,Coal,,Thermal,,,Germany,Germany,,Germany,550.0,553.0,,514.0,54.14282177,54.1414,,54.0924445,12.13287489,12.1319,,12.1286127,,,,Germany Power Plants (conventional).csv
642,Lixhe,Lixhe,,Hu lixhe,Hydro,Hydro,,Hydro,,Barrage With Run-Of-River Generation,,,Belgium,Belgium,,Belgium,20.0,20.0,,20.0,50.7375958693,50.7517,,,5.69907188416,5.6863,,,,,,Belgium Power Plant.csv
643,Quirico,Edison san quirco,,Quirico,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Italy,Italy,,Italy,133.0,133.0,,137.0,44.9166667,44.9289,,44.8013678,10.25,10.3055,,10.3280833,,,,Italy Power Plant.csv
644,Altbach,Altbach,,Altbach deizisau coal,Coal,Coal,,Coal,,Thermal,,,Germany,Germany,,Germany,1294.3,1200.0,,769.0,48.71908371,48.7175,,48.7244372,9.371351237,9.375,,9.3807848,,,,Germany Power Plants (conventional).csv
645,Verzuolo gever,Edison verzuolo gever,,Verzuolo,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Italy,Italy,,Italy,120.0,120.0,,140.0,44.594167,44.5947,,44.6026925,7.484722,7.4858,,7.474754,,,,Italy Power Plant.csv
646,Gissi,Gissi,,Gissi,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Italy,Italy,,Italy,800.0,840.0,,840.0,42.049972,42.0502,,42.0212271,14.563,14.5639,,14.5457485,,,,Italy Power Plant.csv
647,Cassano d'adda,Cassano d'adda,,Cassano d’adda,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Italy,Italy,,Italy,995.0,1000.0,,1000.0,45.464269381,45.512,,45.5263333,9.18950557709,9.509,,9.5214907,,,,Italy Power Plant.csv
648,Monfalcone,Monfalcone,,Monfalcone,Coal,Coal,,Coal,,Thermal,,,Italy,Italy,,Italy,976.0,336.0,,336.0,45.796944,45.7979,,45.8080945,13.545556,13.5455,,13.5310806,,,,Italy Power Plant.csv
649,Scandale,Scandale,,Centrale di scandale,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Italy,Italy,,Italy,800.0,814.0,,826.0,39.124195,39.1022,,39.1222128,16.96081,17.0325,,16.9641231,,,,Italy Power Plant.csv
650,Leini,Leini,,Leini,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Italy,Italy,,Italy,385.0,385.0,,379.5,45.18275,45.163,,45.18275,7.714221,7.75047,,7.714221,,,,Italy Power Plant.csv
651,Piacenza,Edipower piacenza,,Piacenza,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Italy,Italy,,Italy,1200.0,855.0,,855.0,45.05,45.0543,,45.0534751,9.7,9.70856,,9.6947461,,,,Italy Power Plant.csv
652,Kilroot,Kilroot,,Kilroot,Coal,Coal,,Coal,,Thermal,,,United Kingdom,United Kingdom,,United Kingdom,658.0,520.0,,520.0,54.7258,54.7255,,54.65688285,-5.7661,-5.7653,,-6.5634352097,,,,UK Power Plant.csv
653,Batiaz,Batiaz,,Bâtiaz,Hydro,Hydro,,Hydro,,Dam On River With Reservoir,,,Switzerland,Switzerland,,Switzerland,180.0,162.0,,170.0,46.0666667,46.10973,,47.0025282,6.9166667,7.06174,,9.5016438,,,,Switzerland Power Plant.csv
654,Plana vent,Plana del vent,,Ctcc plana vent,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Spain,Spain,,Spain,800.0,800.0,,819.03,41.906748659,40.9596,,,2.24361419678,0.8692,,,,,,Spain Power Plants Over 10 MW.csv
655,Moneypoint,Moneypoint,,Moneypoint fgd scr,Coal,Coal,,Coal,,Thermal,,,Ireland,Ireland,,Ireland,915.0,915.0,,855.0,52.6075,52.6074,,,-9.42267,-9.42365,,,,,,Ireland and Northern Ireland.csv
656,North wall,North wall,,Northwall,Natural Gas,Natural Gas,,Natural Gas,,"CCGT, OCGT",,,Ireland,Ireland,,Ireland,270.0,262.0,,267.0,53.3439928822,53.3502,,,-6.26718521118,-6.2111,,,,,,Ireland and Northern Ireland.csv
657,Rizziconi,Rizziconi,,Rizziconi,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Italy,Italy,,Italy,800.0,760.0,,760.0,38.410775,38.4453,,38.410775,15.958197,15.99,,15.958197,,,,Italy Power Plant.csv
658,Sparanise,Sparanise,,Sparanise,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Italy,Italy,,Italy,800.0,760.0,,760.0,41.176944,41.1783,,41.186815,14.101667,14.1129,,14.093722,,,,Italy Power Plant.csv
659,Ludwigshafen mitte,Ludwigshafen mitte,,Mitte,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Germany,Germany,,Germany,440.0,390.0,,490.0,49.4811111,49.4988,,49.479236,8.4352778,8.4341,,8.439117,,,,Germany Power Plants (conventional).csv
660,Bergkamen,Bergkamen,,Bergkamen,Coal,Coal,,Coal,,"Coal Hard, Thermal",,,Germany,Germany,,Germany,819.0,747.0,,717.0,51.63718599,51.6368,,51.6149389,7.62746569,7.61908,,7.6362876,,,,Germany Power Plants (conventional).csv
661,Brindisi,Enel brindisi sud federico,,Brindisi sud ce,Coal,Coal,,Coal,,Thermal,,,Italy,Italy,,Italy,2640.0,2640.0,,2640.0,40.563889,40.56324,,40.6395295,18.032222,18.03182,,17.945526,,,,Italy Power Plant.csv
662,Montalto castro,Montalto di castro alessandro volta,,Montalto alessandro volta,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Italy,Italy,,Italy,3600.0,3600.0,,3600.0,42.35042,42.3572,,42.3534605,11.606952,11.5373,,11.6063117,,,,Italy Power Plant.csv
663,Anapo,Anapo,,Anapo c.le,Hydro,Hydro,,Hydro,,Pumped Storage,,,Italy,Italy,,Italy,500.0,500.0,,500.0,37.157247,37.1183,,37.1544411,15.180194,15.1394,,15.1877451,,,,Italy Power Plant.csv
664,Castellon,Castellon,,"Ctcc castellon,",Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Spain,Spain,,Spain,1651.4,1649.0,,1621.35,39.9747735333,39.957475,,,-0.0241322,0.00036,,,,,,Spain Power Plants Over 10 MW.csv
665,Ravenna enichem,Eni ravenna,,Enipower ravenna,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Italy,Italy,,Italy,1021.75,972.0,,972.0,44.448611,44.4487,,44.4161414,12.236944,12.2382,,12.2017617,,,,Italy Power Plant.csv
666,Kozloduy,Kozloduy,,Kozloduy,Nuclear,Nuclear,,Nuclear,,,,,Bulgaria,Bulgaria,,Bulgaria,2000.0,2000.0,,2000.0,43.7461111111,43.7428,,,23.7705555556,23.7756,,,,,,EU Nuclear Power.csv
667,Amorebieta,Amorebieta boroa,,Amorebieta,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Spain,Spain,,Spain,755.0,755.0,,786.42,43.2166667,43.234722,,,-2.7333333,-2.749722,,,,,,Spain Power Plants Over 10 MW.csv
668,Lunen,Lünen,,Lünen,Coal,Coal,,Coal,,Thermal,,,Germany,Germany,,Germany,500.0,507.0,,1219.0,51.6166667,51.6142,,51.6140848,7.5166667,7.4805,,7.5239978,,,,Germany Power Plants (conventional).csv
669,Herne,Herne,,Herne,Coal,Coal,,Coal,,"Coal Hard, Thermal",,,Germany,Germany,,Germany,950.0,950.0,,729.0,51.55,51.5502,,51.5380394,7.2166667,7.18727,,7.219985,,,,Germany Power Plants (conventional).csv
670,Weiher,Weiher quierschied,,Weiher,Coal,Coal,,Coal,,Thermal,,,Germany,Germany,,Germany,707.0,724.0,,655.6,49.3166667,49.3347,,49.3258972,7.05,7.0348,,7.051464,,,,Germany Power Plants (conventional).csv
671,Loviisa,Loviisa finland,,Loviisa,Nuclear,Nuclear,,Nuclear,,,,,Finland,Finland,,Finland,1020.0,976.0,,1040.0,60.3722222222,60.3708,,,26.3472222222,26.3468,,,,,,EU Nuclear Power.csv
672,Anllares,Anllares,,Anllares,Coal,Coal,,Coal,,Thermal,,,Spain,Spain,,Spain,350.0,365.2,,346.84,42.546638,42.8385,,,-6.596187,-6.5332,,,,,,Spain Power Plants Over 10 MW.csv
673,Narcea,Narcea,,Narcea,Coal,Coal,,Coal,,Thermal,,,Spain,Spain,,Spain,595.0,595.0,,553.64,43.337651,43.2924,,,-6.414516,-6.3937,,,,,,Spain Power Plants Over 10 MW.csv
674,Robla fenosa,Robla,,Robla,Coal,Coal,,Coal,,Thermal,,,Spain,Spain,,Spain,620.0,655.0,,619.06,42.80302,42.7924,,,-5.62904,-5.634,,,,,,Spain Power Plants Over 10 MW.csv
675,Meirama,Meirama,,Meirama,Coal,Coal,,Coal,,"Thermal, Lignite",,,Spain,Spain,,Spain,553.0,563.0,,557.2,43.0765369612,43.1685,,,-8.40900421143,-8.4111,,,,,,Spain Power Plants Over 10 MW.csv
676,Heid goreux,Heid goreux,,Heid goreux,Hydro,Hydro,,Hydro,,Dam With Run-Of-River Generation,,,Belgium,Belgium,,Belgium,8.044,8.1,,8.0,50.4741129217,50.426,,,5.67684173584,5.7328,,,,,,Belgium Power Plant.csv
677,Castelnou,Castelnou,,Ciclo combinado castelnou,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Spain,Spain,,Spain,773.0,760.0,,790.68,41.215786,41.2167,,,-0.294715,-0.2928,,,,,,Spain Power Plants Over 10 MW.csv
678,Drogenbos,Drogenbos,,Drogenbos,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Belgium,Belgium,,Belgium,604.0,538.0,,513.0,50.804432,50.8023,,,4.297818,4.299,,,,,,Belgium Power Plant.csv
679,Tihange,Tihange,,Tihange,Nuclear,Nuclear,,Nuclear,,,,,Belgium,Belgium,,Belgium,3119.0,3129.0,,3153.0,50.5347222222,50.5341931244,,,5.2725,5.27505210534,,,,,,EU Nuclear Power.csv
680,Amercoeur,Amercoeur,,Amercoeur tgv,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Belgium,Belgium,,Belgium,553.8,420.0,,451.0,50.4411079382,50.4304,,,4.39169883728,4.3955,,,,,,Belgium Power Plant.csv
681,Torrevaldaliga,Tirrenopower torrevaldaliga south,,Torrevaldaliga south,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Italy,Italy,,Italy,1947.0,1520.0,,1520.0,42.128333,42.1241,,42.0937524,11.757778,11.7624,,11.7922462,,,,Italy Power Plant.csv
682,Vado ligure,Tirrenopower vado ligure,,Vado ligure coal,Coal,Coal,,Coal,,Thermal,,,Italy,Italy,,Italy,1740.0,660.0,,660.0,44.276667,44.2755,,44.292536,8.430833,8.4305,,8.412652,,,,Italy Power Plant.csv
683,Napoli levante,Tirrenopower napoli levante,,Napoli,Oil,Natural Gas,,Natural Gas,,CCGT,,,Italy,Italy,,Italy,438.0,400.0,,400.0,40.834444,40.8339,,40.8359336,14.301944,14.3006,,14.2487826,,,,Italy Power Plant.csv
684,Krsko,Krsko reactor,,Krsko,Nuclear,Nuclear,,Nuclear,,,,,Slovenia,Slovenia,,Slovenia,727.0,730.0,,727.0,45.9383333333,45.9389,,,15.5155555556,15.516,,,,,,EU Nuclear Power.csv
685,Soto ribera,Soto ribera,,"Ctcc soto ribera,",Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Spain,Spain,,Spain,1033.1,865.5,,854.17,43.3602935689,43.3161,,,-5.84476411343,-5.8777,,,,,,Spain Power Plants Over 10 MW.csv
686,Abono,Abono,,Abono,Coal,Coal,,Coal,,Thermal,,,Spain,Spain,,Spain,921.7,921.7,,877.66,43.558782,43.5528,,,-5.722872,-5.7231,,,,,,Spain Power Plants Over 10 MW.csv
687,Akkats,Akkats,,Akkats,Hydro,Hydro,,Hydro,,Dam On River With Reservoir,,,Sweden,Sweden,,Sweden,145.0,150.0,,150.0,66.4303768346,66.6314,,,20.6243419647,19.8199,,,,,,Sweden Power Plant.csv
688,Lippendorf,Lippendorf,,Braunkohlekraftwerk lippendorf,Coal,Coal,,Coal,,"Lignite, Thermal",,,Germany,Germany,,Germany,1866.0,1866.0,,1750.0,51.18323022,51.1822,,51.2024906,12.37172834,12.3733,,12.3858402,,,,Germany Power Plants (conventional).csv
689,Olidan,Olidan,,Olidan,Hydro,Hydro,,Hydro,,Dam With Run-Of-River Generation,,,Sweden,Sweden,,Sweden,94.8,77.0,,104.0,58.2836544017,58.275,,57.9459936,12.2886371613,12.2727,,12.0806854,,,,Sweden Power Plant.csv
690,Guardo,Velilla guarda,,Ct guardo,Coal,Coal,,Coal,,CHP,,,Spain,Spain,,Spain,498.0,516.0,,485.85,42.826109,42.8181,,,-4.846262,-4.8539,,,,,,Spain Power Plants Over 10 MW.csv
691,Castro,Castro,,Castro,Hydro,Hydro,,Hydro,,Dam On River With Reservoir,,,Spain,Spain,,Spain,189.8,190.0,,195.29,41.819496,41.5754,,,-5.464391,-6.18907,,,,,,Spain Power Plants Over 10 MW.csv
692,Heilbronn,Heilbronn,,Heilbronn,Coal,Coal,,Coal,,Thermal,,,Germany,Germany,,Germany,1010.0,1066.0,,778.0,49.1765714,49.176,,49.142291,9.208261299,9.2073,,9.218655,,,,Germany Power Plants (conventional).csv
693,Ringvaart,Ringvaart,,Ringvaart steg,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Belgium,Belgium,,Belgium,359.0,359.0,,357.0,51.099273,51.1049,,,3.712048,3.7257,,,,,,Belgium Power Plant.csv
694,Gent ham,Ham ghent ocgt and heat,,Ham,Natural Gas,Natural Gas,,Natural Gas,,OCGT,,,Belgium,Belgium,,Belgium,171.5,156.0,,168.0,51.05,51.0596,,,3.7166667,3.7364,,,,,,Belgium Power Plant.csv
695,Simeri crichi,Edison simeri crichi,,Simeri crichi,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Italy,Italy,,Italy,805.4,857.0,,760.0,38.876389,38.8759,,38.954989,16.6575,16.6569,,16.641105,,,,Italy Power Plant.csv
696,Altomonte,Edison altomonte,,Altomonte,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Italy,Italy,,Italy,775.8,757.0,,808.0,39.6989983002,39.7118,,39.3099931,16.129989624,16.215,,16.2501929,,,,Italy Power Plant.csv
697,Grands malades,Grand malades,,Hu grand malades,Hydro,Hydro,,Hydro,,Barrage With Run-Of-River Generation,,,Belgium,Belgium,,Belgium,4.92,5.0,,5.0,50.4563564796,50.4665,,,4.87166404724,4.8992,,,,,,Belgium Power Plant.csv
698,Ampsin neuville,Ampsin neuville,,Hu ampsin neuville,Hydro,Hydro,,Hydro,,Barrage With Run-Of-River Generation,,,Belgium,Belgium,,Belgium,10.0,9.9,,9.9,50.5415266066,50.5335,,,5.2779006958,5.2962,,,,,,Belgium Power Plant.csv
699,Angleur,Angleur,,Angleur tg,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Belgium,Belgium,,Belgium,198.4,238.0,,128.0,50.6112951125,50.6177,,,5.59942245483,5.5837,,,,,,Belgium Power Plant.csv
700,Bussi,Edison bussi sul tirino,,Bussi,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Italy,Italy,,Italy,133.0,133.0,,125.0,42.2,42.2002,,42.213035,13.839722,13.8398,,13.826202,,,,Italy Power Plant.csv
701,Torviscosa,Edison torviscosa,,Torviscosa,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Italy,Italy,,Italy,790.0,785.0,,785.0,45.816944,45.817,,45.822216,13.289722,13.2891,,13.276933,,,,Italy Power Plant.csv
702,Jesi,Edison jesi,,Jesi,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Italy,Italy,,Italy,125.0,125.0,,140.0,43.550278,43.5537,,43.5219801,13.285556,13.285,,13.2443764,,,,Italy Power Plant.csv
703,Sarmato,Edison sarmato,,Sarmato,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Italy,Italy,,Italy,182.0,180.0,,180.0,45.056964,45.0522,,45.0598143,9.492361,9.5072,,9.4913871,,,,Italy Power Plant.csv
704,Candela,Edison candela,,Candela,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Italy,Italy,,Italy,385.0,360.0,,400.0,41.201667,41.2014,,41.137925,15.475833,15.4762,,15.514654,,,,Italy Power Plant.csv
705,Andenne,Andenne seilles,,Hu andenne,Hydro,Hydro,,Hydro,,Barrage With Run-Of-River Generation,,,Belgium,Belgium,,Belgium,9.15,9.0,,9.0,50.489408,50.4928,,,5.095127,5.07,,,,,,Belgium Power Plant.csv
706,Filippo mela,Edipower san filippo del mela,,Filippo mela,Oil,Oil,,Oil,,CHP,,,Italy,Italy,,Italy,1280.0,1280.0,,1280.0,38.184171,38.2049,,38.169727,15.277686,15.2818,,15.2725271,,,,Italy Power Plant.csv
707,Chivasso,Edipower chivasso,,Chivasso,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Italy,Italy,,Italy,1150.0,1179.0,,1123.0,45.183333,45.1856,,45.189352,7.883333,7.9016,,7.887224,,,,Italy Power Plant.csv
708,Sermide,Edipower sermide,,Sermide,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Italy,Italy,,Italy,1520.0,1140.0,,1154.0,44.983056,45.02652,,45.0064835,11.268611,11.2522,,11.2988715,,,,Italy Power Plant.csv
709,Marina,Marina ocgt,,Marina no st,Natural Gas,Natural Gas,,Natural Gas,,OCGT,,,Ireland,Ireland,,Ireland,145.0,96.0,,88.0,51.8979692918,51.9,,,-8.47060918808,-8.4458,,,,,,Ireland and Northern Ireland.csv
710,Ardnacrusha,Ardnacrusha,,Ardnacrusha,Hydro,Hydro,,Hydro,,Weir On A Canal,,,Ireland,Ireland,,Ireland,85.5,86.0,,86.0,51.9263889,52.7056,,,-9.0091667,-8.6128,,,,,,Ireland and Northern Ireland.csv
711,Turlough,Turlough hill tomaneena,,Turlough,Hydro,Hydro,,Hydro,,Pumped Storage,,,Ireland,Ireland,,Ireland,292.0,292.0,,292.0,53.0972222,53.0242,,,-6.1736111,-6.4164,,,,,,Ireland and Northern Ireland.csv
712,Poolbeg,Poolbeg,,Poolbeg combined cycle,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Ireland,Ireland,,Ireland,978.2,470.0,,480.0,53.3391,53.3396,,,-6.1865,-6.1867,,,,,,Ireland and Northern Ireland.csv
713,West offaly,West offaly,,West offaly,Waste,Coal,,Coal,,Thermal,,,Ireland,Ireland,,Ireland,150.0,150.0,,137.0,53.277778,53.2735,,,-8.037222,-8.0403,,,,,,Ireland and Northern Ireland.csv
714,Aghada,Aghada,,Aghada,Natural Gas,Natural Gas,,Natural Gas,,"CCGT, OCGT",,CCGT,Ireland,Ireland,,Ireland,960.0,963.0,,963.0,51.8351,51.8346862247,,,-8.23287,-8.23619230423,,,,,,Ireland and Northern Ireland.csv
715,Great island,Great island,,Great island,Oil,Oil,,Oil,,CHP,,,Ireland,Ireland,,Ireland,240.0,240.0,,216.0,52.289167,52.2793,,,-6.941389,-6.9935,,,,,,Ireland and Northern Ireland.csv
716,Tarbert,Tarbert,,Tarbert,Oil,Oil,,Oil,,CHP,,,Ireland,Ireland,,Ireland,500.0,620.0,,488.0,52.5727778,52.5893,,,-9.3752778,-9.3632,,,,,,Ireland and Northern Ireland.csv
717,Vandellos,Vandellos,,Vandellos,Nuclear,Nuclear,,Nuclear,,,,,Spain,Spain,,Spain,1087.1,1087.0,,1087.0,40.9513888889,40.9508,,,0.8666666667,0.8656,,,,,,EU Nuclear Power.csv
718,Asco,Asco,,Asco,Nuclear,Nuclear,,Nuclear,,,,,Spain,Spain,,Spain,2055.2,2060.0,,2068.0,41.2,41.2008,,,0.5694444444,0.5679,,,,,,EU Nuclear Power.csv
719,Einaudi chiotas,Entracque chiotas piastra,,Entracque_chro,Hydro,Hydro,,Hydro,,Pumped Storage,,,Italy,Italy,,Italy,1000.0,1184.0,,1064.0,44.241425,44.2256,,44.241425,7.399331,7.38417,,7.399331,,,,Italy Power Plant.csv
720,Compostilla,Compostilla,,Compostilla,Coal,Coal,,Coal,,Thermal,,,Spain,Spain,,Spain,1194.0,1199.6,,1005.14,42.62746,42.6125,,,-6.56333,-6.5647,,,,,,Spain Power Plants Over 10 MW.csv
