id,Name,Country,Fueltype,location,File,Technology,Capacity,lat,lon
2197,Karlstraße,Germany,Natural Gas,Bonn,Germany Power Plants (conventional).csv,,95.0,50.735851,7.10066
2198,Karlstraße,Germany,Waste,Bonn,Germany Power Plants (conventional).csv,,12.0,50.735851,7.10066
2199,Karnap,Germany,Waste,Essen,Germany Power Plants (conventional).csv,,38.0,51.457087,7.011429
2200,Karsefors,Sweden,Hydro,"Laholm Municipality, Halland County",Sweden Power Plant.csv,,31.4,,
2201,Karsto,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,44.0,,
2202,Kassdalen,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,2.0,,
2203,Kats,Netherlands,Wind,North Beveland,Netherlands Power Plant.csv,,9.0,51.56520675,3.80090957338
2204,Kattenberg reedijk,Netherlands,Wind,oirschot,Netherlands Power Plant.csv,,9.6,51.5032385,5.3155486
2205,Kaufering,Germany,Hydro,Kaufering,Germany Power Plants (conventional).csv,,16.7,48.0871324,10.8605317
2206,Kaunertal,Germany,Hydro,Prutz,Germany Power Plants (conventional).csv,,392.0,49.4593043,11.1426582
2207,Kaupanger,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,6.0,,
2208,Kaven,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,5.0,,
2209,Keadby,United Kingdom,Natural Gas,Yorkshire and the Humber,UK Power Plant.csv,,25.0,53.93188775,-1.16644892949
2210,Keadby,United Kingdom,Wind,Yorkshire and the Humber,UK Power Plant.csv,,68.0,53.93188775,-1.16644892949
2211,Kelburn,United Kingdom,Wind,Scotland,UK Power Plant.csv,,28.0,56.7861112,-4.1140517
2212,Kelchbach,Switzerland,Hydro,,Switzerland Power Plant.csv,,0.44,,
2213,Kellerberg,Austria,Hydro,,Verbund Power Plant.csv,,25.0,,
2214,Kembs,France,Hydro,,France Power Plant.csv,,153.7,,
2215,Kembs,Switzerland,Hydro,Landquart-Fabriken,Switzerland Power Plant.csv,,155.0,46.953831,9.565742
2216,Kembs centrale dotation,Switzerland,Hydro,,Switzerland Power Plant.csv,,11.25,,
2217,Kendoon,United Kingdom,Hydro,Scotland,UK Power Plant.csv,,24.0,56.7861112,-4.1140517
2218,Kennemerwind,Netherlands,Wind,Schagen,Netherlands Power Plant.csv,,0.71,52.7842945,4.78912563753
2219,Kentish flats,United Kingdom,Wind,South East,UK Power Plant.csv,,90.0,51.4510191,-0.993491340498
2220,Kerkmeerweg,Netherlands,Wind,langedijk,Netherlands Power Plant.csv,,2.55,52.6899114,4.77873215808
2221,Kerry falls,United Kingdom,Hydro,Scotland,UK Power Plant.csv,,1.0,56.7861112,-4.1140517
2222,Kessel,Germany,Coal,Düren,Germany Power Plants (conventional).csv,,9.3,50.8031684,6.4820806
2223,Kessel,Germany,Natural Gas,Düren,Germany Power Plants (conventional).csv,,2.9,50.8031684,6.4820806
2224,Kesselhaus zuckerfabrik,Germany,Natural Gas,Anklam,Germany Power Plants (conventional).csv,,15.1,53.8560526,13.688091
2225,Kielder,United Kingdom,Hydro,North East,UK Power Plant.csv,,6.0,50.5949824,-1.9518955
2226,Kilbotn,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,1.0,,
2227,Kilbraur,United Kingdom,Wind,Scotland,UK Power Plant.csv,,68.0,56.7861112,-4.1140517
2228,Kildalen,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,9.0,,
2229,Kildrummy,United Kingdom,Wind,Scotland,UK Power Plant.csv,,18.0,56.7861112,-4.1140517
2230,Kilforsem,Sweden,Hydro,Ångermanälven,Sweden Power Plant.csv,,296.0,63.7044719,17.0175829
2231,Killingholme,United Kingdom,Natural Gas,Yorkshire and the Humber,UK Power Plant.csv,,1565.0,53.93188775,-1.16644892949
2232,Kilmelfort,United Kingdom,Hydro,Scotland,UK Power Plant.csv,,2.0,56.7861112,-4.1140517
2233,Kilmorack,United Kingdom,Hydro,Scotland,UK Power Plant.csv,,20.0,56.7861112,-4.1140517
2234,Kiln pit,United Kingdom,Wind,North East,UK Power Plant.csv,,14.0,50.5949824,-1.9518955
2235,Kilroot,Ireland,Oil,,Ireland and Northern Ireland.csv,,154.0,,
2236,Kilroot,United Kingdom,Coal,Northern Ireland,UK Power Plant.csv,,520.0,54.6294982,-6.7654415
2237,Kilroot fgd,Ireland,Coal,,Ireland and Northern Ireland.csv,,476.0,,
2238,Kilroot ocgt,United Kingdom,Natural Gas,Northern Ireland,UK Power Plant.csv,OCGT,142.0,54.6294982,-6.7654415
2239,Kingairloch,United Kingdom,Hydro,Scotland,UK Power Plant.csv,,4.0,56.7861112,-4.1140517
