id,Name,Country,Fueltype,location,File,Technology,Capacity,lat,lon
2404,Le châtelot centr. dotation,Switzerland,Hydro,,Switzerland Power Plant.csv,,1.0,,
2405,Le furcil,Switzerland,Hydro,,Switzerland Power Plant.csv,,0.68,,
2406,Leboreiro,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,21.12,,
2407,Lebring,Austria,Hydro,,Verbund Power Plant.csv,,20.0,,
2408,Lecrin,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,12.0,,
2409,Lednock,United Kingdom,Hydro,Scotland,UK Power Plant.csv,,3.0,56.7861112,-4.1140517
2410,Lee,Ireland,Hydro,,Ireland and Northern Ireland.csv,,27.0,,
2411,Leeuwarden,Netherlands,Wind,Leeuwarden,Netherlands Power Plant.csv,,1.8,53.1997344,5.80065308992
2412,Lehmen,Germany,Hydro,Lehmen,Germany Power Plants (conventional).csv,,20.0,50.2839386,7.454023
2413,Leinafoss,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,5.0,,
2414,Leini,Italy,Natural Gas,LEINI',Italy Power Plant.csv,,379.5,45.18275,7.714221
2415,Leipzig nord,Germany,Natural Gas,Leipzig,Germany Power Plants (conventional).csv,,167.0,51.3391827,12.3810549
2416,Leirdola,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,130.0,,
2417,Leirfossene,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,53.0,,
