id,CARMA,ENTSOE,GEO,OPSD,Fueltype,Technology,Country,Set,Capacity,YearCommissioned,lat,lon,File,projectID
0,Adamow,Adamów,Adamow,Adamów,Lignite,Steam Turbine,Poland,PP,600.0,,52.012186,18.5460555,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, GPI","{u'GEO': u'G160', u'ENTSOE': u'[19W000000000005K]', u'CARMA': u'[242]', u'OPSD': u'[OEU241, OEU240, OEU239, OEU238, OEU237]'}"
1,Alban,St alban,Saint alban,St alban,Nuclear,Steam Turbine,France,PP,2782.0,,45.4043915092,4.75531515473,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, RTE","{u'GEO': u'G1274', u'ENTSOE': u'[17W100P100P0227H, 17W100P100P0228F]', u'CARMA': u'[38657]', u'OPSD': u'[OEU230, OEU229]'}"
2,Altbach,Hkw altbach deizisau,Altbach,Altbach deizisau,Hard Coal,Steam Turbine,Germany,CHP,1294.3,1985.0,48.7175555,9.3749585,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G51', u'ENTSOE': u'[11WD4AL1KU1-S--E]', u'CARMA': u'[1146]', u'OPSD': u'[BNA0020, BNA0019]'}"
3,Amer,Amer,Amer,Amercentrale,Hard Coal,Steam Turbine,Netherlands,PP,1305.0,,51.70824,4.843805,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, Tennet_Q12015","{u'GEO': u'G123', u'ENTSOE': u'[49W000000000070Z]', u'CARMA': u'[1339]', u'OPSD': u'[OEU3, OEU2]'}"
4,Aramon,Aramon,Aramon oil,Aramon,Oil,Steam Turbine,France,PP,1400.0,,43.880928811,4.65663994873,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, RTE","{u'GEO': u'G645', u'ENTSOE': u'[17W100P100P0247B, 17W100P100P02489]', u'CARMA': u'[1887]', u'OPSD': u'[OEU86, OEU87]'}"
5,Aston,Aston,Aston,Aston,Hydro,"Reservoir, Run-Of-River",France,PP,116.0,,42.77684,1.676855,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, RTE","{u'GEO': u'G844', u'ENTSOE': u'[17W100P100P0315K]', u'CARMA': u'[2382]', u'OPSD': u'[OEU129]'}"
6,Avignon,Avignon,Avignon,Avignon,Hydro,Run-Of-River,France,PP,176.0,1973.0,43.97603,4.817105,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, RTE","{u'GEO': u'G953', u'ENTSOE': u'[17W100P100P0326F]', u'CARMA': u'[2638]', u'OPSD': u'[OEU130]'}"
7,Baix logis neuf,Baix logis neuf,Logis neuf,Baix logis neuf,Hydro,Run-Of-River,France,PP,215.0,1960.0,44.676025,4.787635,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, RTE","{u'GEO': u'G892', u'ENTSOE': u'[17W100P100P0322N]', u'CARMA': u'[2927]', u'OPSD': u'[OEU131]'}"
8,Bathie,Bathie,Bathie,Bathie,Hydro,Reservoir,France,PP,575.0,,45.6364005,6.4496125,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, RTE","{u'GEO': u'G949', u'ENTSOE': u'[17W100P100P0280D]', u'CARMA': u'[23601]', u'OPSD': u'[OEU157]'}"
9,Beauchastel,Beauchastel,Beauchastel,Beauchastel,Hydro,Run-Of-River,France,PP,204.0,1963.0,44.823985,4.810745,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, RTE","{u'GEO': u'G889', u'ENTSOE': u'[17W100P100P0321P]', u'CARMA': u'[3721]', u'OPSD': u'[OEU132]'}"
10,Belchatow,Bełchatów,Belchatow,Bełchatów,Lignite,Steam Turbine,Poland,PP,5460.0,,51.2667894444,19.3277777778,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, GPI","{u'GEO': u'G131', u'ENTSOE': u'[19W000000000016F]', u'CARMA': u'[3873]', u'OPSD': u'[OEU249, OEU252, OEU253, OEU254, OEU248, OEU245, OEU246, OEU250, OEU244, OEU243, OEU242, OEU247, OEU251]'}"
11,Belleville,Belleville,Belleville,Belleville,Nuclear,Steam Turbine,France,PP,2726.0,,47.5100086111,2.875025,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, RTE","{u'GEO': u'G1270', u'ENTSOE': u'[17W100P100P01865, 17W100P100P01857]', u'CARMA': u'[3945]', u'OPSD': u'[OEU180, OEU179]'}"
12,Bergkamen,Bergkamen,Bergkamen,Bergkamen,Hard Coal,Steam Turbine,Germany,PP,819.0,1981.0,51.637102995,7.61909,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G73', u'ENTSOE': u'[11WD7BERG1S--KWB]', u'CARMA': u'[4133, 4135]', u'OPSD': u'[BNA0067]'}"
13,Bexbach,Bexbach,Bexbach,Bexbach,Hard Coal,Steam Turbine,Germany,PP,773.0,1983.0,49.3632905,7.237458,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G89', u'ENTSOE': u'[11WD7MITB1S--KWK]', u'CARMA': u'[4305]', u'OPSD': u'[BNA0093]'}"
14,Beznau,Kkb kernkw beznau,Beznau,Beznau,Nuclear,Steam Turbine,Switzerland,PP,760.0,1969.0,47.55199,8.228175,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, Schweizerische Eidgenossenschaft","{u'GEO': u'G1302', u'ENTSOE': u'[12W-0000000017-E]', u'CARMA': u'[4311]', u'OPSD': u'[OEU1036, OEU1035]'}"
15,Bissorte,Super bissorte,Bissorte,Super bissorte,Hydro,"Pumped Storage, Reservoir",France,PP,883.0,,45.19115,6.58235,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, RTE","{u'GEO': u'G916', u'ENTSOE': u'[17W100P100P02764]', u'CARMA': u'[4763]', u'OPSD': u'[OEU128]'}"
16,Blayais,Blayais,Blayais,Blayais,Nuclear,Steam Turbine,France,PP,3804.0,,45.2559166666,-0.691925,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, RTE","{u'GEO': u'G1272', u'ENTSOE': u'[17W100P100P01784, 17W100P100P01776, 17W100P100P0180H, 17W100P100P01792]', u'CARMA': u'[4899]', u'OPSD': u'[OEU184, OEU183, OEU182, OEU181]'}"
17,Bort,Bort,Bort les orgues,Bort,Hydro,Reservoir,France,PP,240.0,,45.412845,2.49881,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, RTE","{u'GEO': u'G882', u'ENTSOE': u'[17W100P100P0281B]', u'CARMA': u'[5351]', u'OPSD': u'[OEU158]'}"
18,Bourg valence,Bourg les valence,Bourg les valence,Bourg les valence,Hydro,Run-Of-River,France,PP,186.0,1968.0,44.9586445,4.855605,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, RTE","{u'GEO': u'G894', u'ENTSOE': u'[17W100P100P0320R]', u'CARMA': u'[5436]', u'OPSD': u'[OEU133]'}"
19,Brennilis,Brennilis,"Brennilis combustion plant,",Brennilis,Oil,OCGT,France,PP,304.0,,48.35686,-3.870565,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, RTE","{u'GEO': u'G322', u'ENTSOE': u'[17W100P100P02586, 17W100P100P0260J, 17W100P100P0261H]', u'CARMA': u'[5720]', u'OPSD': u'[OEU91, OEU90, OEU92]'}"
20,Brokdorf,Brokdorf,Brokdorf,Brokdorf,Nuclear,Steam Turbine,Germany,PP,1480.0,1986.0,53.8507166667,9.3448611111,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G1288', u'ENTSOE': u'[11WD2BRKW000294C]', u'CARMA': u'[5873]', u'OPSD': u'[BNA0157]'}"
21,Brommat,Brommat,Brommat,Brommat,Hydro,Reservoir,France,PP,444.0,,44.767965,2.684075,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, RTE","{u'GEO': u'G848', u'ENTSOE': u'[17W100P100P02829]', u'CARMA': u'[5884]', u'OPSD': u'[OEU159]'}"
22,Brunsbuttel,Brunsbüttel,Brunsbüttel ocgt,Brunsbüttel,Oil,OCGT,Germany,PP,256.0,1973.0,53.89250962,9.2010178175,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G350', u'ENTSOE': u'[11WD8BRUN1O----D]', u'CARMA': u'[6003]', u'OPSD': u'[BNA0163, BNA0161, BNA0164, BNA0162]'}"
23,Bugey,Bugey,Bugey,Bugey,Nuclear,Steam Turbine,France,PP,3724.0,,45.7993640634,5.2707226117,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, RTE","{u'GEO': u'G1266', u'ENTSOE': u'[17W100P100P0181F, 17W100P100P0182D, 17W100P100P0183B, 17W100P100P01849]', u'CARMA': u'[6158]', u'OPSD': u'[OEU185, OEU187, OEU188, OEU186]'}"
24,Caderousse,Caderousse,Caderousse,Caderousse,Hydro,Run-Of-River,France,PP,195.18,1975.0,44.09603,4.723645,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, RTE","{u'GEO': u'G955', u'ENTSOE': u'[17W100P100P0325H]', u'CARMA': u'[6579]', u'OPSD': u'[OEU134]'}"
25,Cattenom,Cattenom,Cattenom,Cattenom,Nuclear,Steam Turbine,France,PP,5448.0,,49.4158116667,6.2180777778,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, RTE","{u'GEO': u'G1278', u'ENTSOE': u'[17W100B100P0189S, 17W100P100P01881, 17W100P100P0190E, 17W100P100P01873]', u'CARMA': u'[7452]', u'OPSD': u'[OEU191, OEU192, OEU190, OEU189]'}"
26,Chamas,Saint chamas,Saint chamas,Saint chamas,Hydro,"Reservoir, Run-Of-River",France,PP,165.0,,43.527205,5.07321,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, RTE","{u'GEO': u'G868', u'ENTSOE': u'[17W100P100P0296Z]', u'CARMA': u'[38667]', u'OPSD': u'[OEU169]'}"
27,Charlottenburg,Charlottenburg,Charlottenburg,Charlottenburg,Natural Gas,OCGT,Germany,PP,214.0,1975.0,52.52202812,13.31019762,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G333', u'ENTSOE': u'[11WD8CHAR5X----K]', u'CARMA': u'[7998]', u'OPSD': u'[BNA0074]'}"
28,Chastang,Chastang,Chastang,Chastang,Hydro,"Reservoir, Run-Of-River",France,PP,300.0,,45.151425,2.009925,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, RTE","{u'GEO': u'G879', u'ENTSOE': u'[17W100P100P0302T]', u'CARMA': u'[8019]', u'OPSD': u'[OEU135]'}"
29,Cheylas,Cheylas,Cheylas le,Cheylas,Hydro,Pumped Storage,France,PP,497.12,,45.3846,6.002085,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, RTE","{u'GEO': u'G927', u'ENTSOE': u'[17W100P100P0273A]', u'CARMA': u'[24736, 8236]', u'OPSD': u'[OEU123]'}"
30,Chinon,Chinon,Chinon,Chinon,Nuclear,Steam Turbine,France,PP,3816.0,,47.2295577778,0.1693977778,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, RTE","{u'GEO': u'G1275', u'ENTSOE': u'[17W100P100P01946, 17W100P100P0192A, 17W100P100P0191C, 17W100P100P01938]', u'CARMA': u'[8412]', u'OPSD': u'[OEU193, OEU194, OEU195, OEU196]'}"
31,Chooz,Chooz,Chooz,Chooz,Nuclear,Steam Turbine,France,PP,3120.0,,50.09,4.7894444442,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, RTE","{u'GEO': u'G1268', u'ENTSOE': u'[17W100P100P01962, 17W100P100P01954]', u'CARMA': u'[8542]', u'OPSD': u'[OEU198, OEU197]'}"
32,Civaux,Civaux,Civaux,Civaux,Nuclear,Steam Turbine,France,PP,3122.0,,46.4562390152,0.6525888889,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, RTE","{u'GEO': u'G1283', u'ENTSOE': u'[17W100P100P0198Z, 17W100P100P01970]', u'CARMA': u'[8758]', u'OPSD': u'[OEU199, OEU200]'}"
33,Claus,Claus,Claus,Clauscentrale,Natural Gas,CCGT,Netherlands,PP,1914.0,,51.154045,5.909315,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, Tennet_Q32015","{u'GEO': u'G471', u'ENTSOE': u'[49W000000000069K]', u'CARMA': u'[8816]', u'OPSD': u'[OEU28, OEU29, OEU30, OEU31]'}"
34,Coche,Coche,Coche,Coche,Hydro,Pumped Storage,France,PP,320.0,,45.48266665,6.53416665,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, RTE","{u'GEO': u'G948', u'ENTSOE': u'[17W100P100P02748]', u'CARMA': u'[23659]', u'OPSD': u'[OEU124]'}"
35,Couesque,Couesque,Couesque,Couesque,Hydro,"Reservoir, Run-Of-River",France,PP,124.5,,44.696045,2.585275,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, RTE","{u'GEO': u'G849', u'ENTSOE': u'[17W100P100P0313O]', u'CARMA': u'[9538]', u'OPSD': u'[OEU136]'}"
36,Cruas,Cruas,Cruas,Cruas,Nuclear,Steam Turbine,France,PP,3824.0,,44.6325005663,4.75562893384,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, RTE","{u'GEO': u'G1267', u'ENTSOE': u'[17W100P100P02000, 17W100P100P0199X, 17W100P100P0201Z, 17W100P100P0202X]', u'CARMA': u'[9740]', u'OPSD': u'[OEU201, OEU203, OEU204, OEU202]'}"
37,Curbans,Curbans,Curbans,Curbans,Hydro,Reservoir,France,PP,165.0,,44.4245895,6.0293695,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, RTE","{u'GEO': u'G839', u'ENTSOE': u'[17W100P100P02845]', u'CARMA': u'[9857]', u'OPSD': u'[OEU161]'}"
38,Dampierre,Dampierre,Dampierre,Dampierre,Nuclear,Steam Turbine,France,PP,3864.0,,47.7323162567,2.51811787672,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, RTE","{u'GEO': u'G1276', u'ENTSOE': u'[17W100P100P0203V, 17W100P100P0205R, 17W100P100P0206P, 17W100P100P0204T]', u'CARMA': u'[10152]', u'OPSD': u'[OEU208, OEU207, OEU206, OEU205]'}"
39,Diemen,Diemen,Diemen,Diemen dm,Natural Gas,CCGT,Netherlands,PP,684.0,,52.33869,5.02157,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, Tennet_Q42015","{u'GEO': u'G478', u'ENTSOE': u'[49W0000000000431]', u'CARMA': u'[10793]', u'OPSD': u'[OEU10, OEU11]'}"
40,Dk sollac,Dk,Dk dunkerque,Dk,Natural Gas,CCGT,France,PP,810.0,2005.0,51.04722,2.32191,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, RTE","{u'GEO': u'G325', u'ENTSOE': u'[17W100P100P0350I]', u'CARMA': u'[10943]', u'OPSD': u'[OEU113]'}"
41,Dolna odra,Dolna odra,Dolna odra,Dolna odra,Hard Coal,Steam Turbine,Poland,PP,1772.0,,53.206388,14.4666465,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, GPI","{u'GEO': u'G164', u'ENTSOE': u'[19W000000000043C]', u'CARMA': u'[11034]', u'OPSD': u'[OEU260, OEU256, OEU257, OEU258, OEU259, OEU255]'}"
42,Donzere,Donzere mondragon,Bollene,Donzere mondragon,Hydro,Run-Of-River,France,PP,354.0,1952.0,44.30384,4.742085,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, RTE","{u'GEO': u'G890', u'ENTSOE': u'[17W100P100P0324J]', u'CARMA': u'[11135]', u'OPSD': u'[OEU137]'}"
43,Dormagen rwe,Gud dormagen,Dormagen,Dormagen,Natural Gas,CCGT,Germany,PP,586.8,2000.0,51.07904,6.828755,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G339', u'ENTSOE': u'[11WD7BRAU5G-KW-N]', u'CARMA': u'[11163]', u'OPSD': u'[BNA0199]'}"
44,Dychow,Dychów,Dychow,Dychów,Hydro,Pumped Storage,Poland,PP,90.0,,51.9873829634,15.0571077842,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, GPI","{u'GEO': u'G1010', u'ENTSOE': u'[19W000000000272Y]', u'CARMA': u'[11576]', u'OPSD': u'[OEU261, OEU262, OEU263]'}"
45,Eems,Eem ec,Eems,Eemscentrale ec,Natural Gas,CCGT,Netherlands,PP,3134.7,,53.43455,6.87601,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, Tennet_Q42015","{u'GEO': u'G468', u'ENTSOE': u'[49W000000000086K, 49W000000000080W, 49W000000000082S, 49W000000000084O, 49W000000000088G]', u'CARMA': u'[11839]', u'OPSD': u'[OEU42, OEU46, OEU41, OEU45, OEU43, OEU44]'}"
46,Elsta,Tnz elsta,Elsta,Elsta,Natural Gas,CCGT,Netherlands,PP,475.0,,51.333145,3.778239,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, Tennet_Q42015","{u'GEO': u'G486', u'ENTSOE': u'[49W000000000048S]', u'CARMA': u'[12352]', u'OPSD': u'[OEU38]'}"
47,Emsland lingen,Emsland,Lingen emsland,Emsland,Natural Gas,Steam Turbine,Germany,PP,3173.0,1973.0,52.482339,7.305279,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G336', u'ENTSOE': u'[11WD7EMSL-G-KW-T]', u'CARMA': u'[12440, 12439]', u'OPSD': u'[BNA0605, BNA0604, BNA0603, BNA0602, BNA0606, BNA0607]'}"
48,Erzhausen,Psw erzhausen,Erzhausen,Erzhausen,Hydro,Pumped Storage,Germany,PP,246.0,1964.0,51.89906,9.92441,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G957', u'ENTSOE': u'[11WD2ERZH0002682]', u'CARMA': u'[12680]', u'OPSD': u'[BNA0558]'}"
49,Esteve,Saint esteve,Saint esteve janson,Saint esteve,Hydro,"Reservoir, Run-Of-River",France,PP,156.0,,43.691245,5.384945,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, RTE","{u'GEO': u'G869', u'ENTSOE': u'[17W100P100P0298V]', u'CARMA': u'[38682]', u'OPSD': u'[OEU170]'}"
50,Etienne cantales,St etienne cantales,Saint etienne cantales,St etienne cantales,Hydro,Reservoir,France,PP,106.5,,44.94508,2.21903,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, RTE","{u'GEO': u'G873', u'ENTSOE': u'[17W100P100P02950]', u'CARMA': u'[38683]', u'OPSD': u'[OEU176]'}"
51,Fessenheim,Fessenheim,Fessenheim,Fessenheim,Nuclear,Steam Turbine,France,PP,1840.0,,47.9030907882,7.563099882,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, RTE","{u'GEO': u'G1273', u'ENTSOE': u'[17W100P100P0208L, 17W100P100P0207N]', u'CARMA': u'[13363]', u'OPSD': u'[OEU209, OEU210]'}"
52,Fessenheim hydro,Fessenheim,Fessenheim,Fessenheim,Hydro,Run-Of-River,France,PP,175.0,,47.91483,7.570835,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, RTE","{u'GEO': u'G896', u'ENTSOE': u'[17W100P100P0303R]', u'CARMA': u'[13364]', u'OPSD': u'[OEU138]'}"
53,Flamanville,Flamanville,Flamanville,Flamanville,Nuclear,Steam Turbine,France,PP,2764.0,,49.53664195,-1.88231505302,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, RTE","{u'GEO': u'G1277', u'ENTSOE': u'[17W100P100P0209J, 17W100P100P0210Y]', u'CARMA': u'[13539]', u'OPSD': u'[OEU212, OEU211]'}"
54,Franken,Franken,Franken,Franken,Natural Gas,Steam Turbine,Germany,PP,843.0,1973.0,49.420868,11.0079185,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G331', u'ENTSOE': u'[11WD2GEBE000177K]', u'CARMA': u'[13964]', u'OPSD': u'[BNA0745, BNA0744]'}"
55,Gelderland,Gelderland kv,Gelderland,Gelderland cg,Hard Coal,Steam Turbine,Netherlands,PP,635.0,,51.856085,5.829915,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, Tennet_Q12015","{u'GEO': u'G122', u'ENTSOE': u'[49W000000000076N]', u'CARMA': u'[14847]', u'OPSD': u'[OEU13]'}"
56,Genissiat seyssel,Genissiat,Genissiat,Genissiat,Hydro,"Reservoir, Run-Of-River",France,PP,420.0,1948.0,46.052855,5.812925,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, RTE","{u'GEO': u'G825', u'ENTSOE': u'[17W100P100P0319C]', u'CARMA': u'[14903]', u'OPSD': u'[OEU139]'}"
57,Gersteinwerk,Gersteinwerk,Gersteinwerk,Gersteinwerk,Natural Gas,Steam Turbine,Germany,PP,2004.5,1973.0,51.67329078,7.708962406,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G345', u'ENTSOE': u'[11WD7GERS-X-KW-C]', u'CARMA': u'[14984]', u'OPSD': u'[BNA1041, BNA1042, BNA1043, BNA1046b, BNA1044, BNA1039, BNA1040, BNA1045]'}"
58,Gerstheim,Gerstheim,Gerstheim,Gerstheim,Hydro,Run-Of-River,France,PP,141.0,,48.403925,7.727875,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, RTE","{u'GEO': u'G861', u'ENTSOE': u'[17W100P100P0310U]', u'CARMA': u'[14985]', u'OPSD': u'[OEU140]'}"
59,Goesgen,Kernkraftwerk gösgen,Goesgen,Gösgen,Nuclear,Steam Turbine,Switzerland,PP,1035.0,1979.0,47.36556,7.96688333335,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, Schweizerische Eidgenossenschaft","{u'GEO': u'G1305', u'ENTSOE': u'[12W-0000000056-1]', u'CARMA': u'[15364]', u'OPSD': u'[OEU1034]'}"
60,Golfech,Golfech,Golfech,Golfech,Nuclear,Steam Turbine,France,PP,2726.0,,44.1063474143,0.8456688889,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, RTE","{u'GEO': u'G1282', u'ENTSOE': u'[17W100P100P0211W, 17W100P100P0212U]', u'CARMA': u'[15419]', u'OPSD': u'[OEU214, OEU213]'}"
61,Grand maison,Grand maison,Grand maison,Grand maison,Hydro,Pumped Storage,France,PP,1804.24,,45.152617,6.065418,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, RTE","{u'GEO': u'G925', u'ENTSOE': u'[17W100P100P02756]', u'CARMA': u'[15708]', u'OPSD': u'[OEU125]'}"
62,Gravelines,Gravelines,Gravelines,Gravelines,Nuclear,Steam Turbine,France,PP,5706.0,,51.0146941662,2.13466022353,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, RTE","{u'GEO': u'G1279', u'ENTSOE': u'[17W100P100P0218I, 17W100P100P0216M, 17W100P100P0217K, 17W100P100P0214Q, 17W100P100P0213S, 17W100P100P0215O]', u'CARMA': u'[15774]', u'OPSD': u'[OEU220, OEU219, OEU218, OEU216, OEU215, OEU217]'}"
63,Guillerme,Saint guillerme,St. guillerme,Saint guillerme,Hydro,Reservoir,France,PP,116.0,,45.03074,6.07907,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, RTE","{u'GEO': u'G918', u'ENTSOE': u'[17W100P100P0299T]', u'CARMA': u'[38692]', u'OPSD': u'[OEU171]'}"
64,Gundremmingen,Gundremmingen,Gundremmingen,Kernkraft gundremmingen,Nuclear,Steam Turbine,Germany,PP,2688.0,1984.0,48.5148011111,10.4017111111,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G1285', u'ENTSOE': u'[11WD7KRBG1K-KW-V]', u'CARMA': u'[16304]', u'OPSD': u'[BNA0381, BNA0382]'}"
65,Heilbronn,Hkw heilbronn,Heilbronn,Heilbronn,Hard Coal,Steam Turbine,Germany,CHP,1066.0,1965.0,49.1762857,9.2077806495,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G53', u'ENTSOE': u'[11WD4HLBR1CS---A]', u'CARMA': u'[17333]', u'OPSD': u'[BNA0432, BNA0434, BNA0433]'}"
66,Hemweg,Hemweg,Hemweg,Hemweg hw,Hard Coal,Steam Turbine,Netherlands,PP,1321.0,,52.40536,4.84657,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, Tennet_Q32015","{u'GEO': u'G124', u'ENTSOE': u'[49W000000000045Y]', u'CARMA': u'[17454]', u'OPSD': u'[OEU16]'}"
67,Herdecke cuno,Herdecke,Herdecke,Cuno herdecke,Natural Gas,CCGT,Germany,PP,424.0,2007.0,51.403065,7.41495,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G341', u'ENTSOE': u'[11WD7GARE5XHEKWQ]', u'CARMA': u'[17529]', u'OPSD': u'[BNA0442]'}"
68,Herne,Herne,Herne,Herne,Hard Coal,Steam Turbine,Germany,CHP,950.0,1963.0,51.5501,7.1873755,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G74', u'ENTSOE': u'[11WD7HERN2S--KWU]', u'CARMA': u'[17557]', u'OPSD': u'[BNA0447, BNA0450, BNA0449]'}"
69,Heyden,Heyden,Heyden,Heyden,Hard Coal,Steam Turbine,Germany,PP,911.0,1987.0,52.38279238,8.996004114,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G68', u'ENTSOE': u'[11WD2HEKW000297X]', u'CARMA': u'[17614]', u'OPSD': u'[BNA0793]'}"
70,Ibbenburen,Ibbenbüren,Ibbenburen,Ibbenbüren,Hard Coal,Steam Turbine,Germany,PP,838.0,1985.0,52.28881179,7.747906179,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G82', u'ENTSOE': u'[11WD7IBBE2S--KW6]', u'CARMA': u'[19019]', u'OPSD': u'[BNA0493]'}"
71,Ingolstadt,Ingolstadt,Ingolstadt,Ingolstadt,Oil,Steam Turbine,Germany,PP,840.0,1973.0,48.761406,11.50299801,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G647', u'ENTSOE': u'[11WD2INGO0001783]', u'CARMA': u'[19389]', u'OPSD': u'[BNA0378, BNA0379]'}"
