id,CARMA,ENTSOE,GEO,OPSD,Fueltype,Technology,Country,Set,Capacity,YearCommissioned,lat,lon,File,projectID
672,Besos,Besos,Besos,,Natural Gas,CCGT,Spain,PP,1670.6,,41.41958,2.2294,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G557', u'ENTSOE': u'[18WBES4-12345-0L, 18WBES5-123456-T, 18WBES3-12345-0V]', u'CARMA': u'[4242, 4240, 4241]'}"
673,Borssele,Borselle,Borssele netherland,,Hard Coal,Steam Turbine,Netherlands,PP,939.32,,51.4331,3.7169,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G125', u'ENTSOE': u'[49W0000000000520]', u'CARMA': u'[5346]'}"
674,Bradisor,Hpp bradisoru,Bradisor,,Hydro,Reservoir,Romania,PP,115.0,,45.3549,24.1053,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G1074', u'ENTSOE': u'[30W-CHE-BRAD---V]', u'CARMA': u'[5533]'}"
675,Brestanica,Teb,Brestanica teb,,Natural Gas,OCGT,Slovenia,PP,323.0,,45.9975,15.4796,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G531', u'ENTSOE': u'[28W-G-000000122W]', u'CARMA': u'[5735]'}"
676,Bydgoszcz,Bydgoszcz,Bydgoszcz ec,,Hard Coal,Steam Turbine,Poland,CHP,227.0,,53.099,18.0882,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G0', u'ENTSOE': u'[19W000000000035B]', u'CARMA': u'[6467]'}"
677,Cabril,Cabril,Cabril,,Hydro,Reservoir,Portugal,PP,108.0,,39.91727,-8.13244,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G1030', u'ENTSOE': u'[16WCABRIL------U]', u'CARMA': u'[6535]'}"
678,Candela,Candela,Edison candela,,Natural Gas,CCGT,Italy,PP,401.0,,41.2014,15.4762,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G408', u'ENTSOE': u'[26WIMPI-S16CNDLL]', u'CARMA': u'[6924]'}"
679,Carrapatelo,Carrapatelo,Carrapatelo,,Hydro,Run-Of-River,Portugal,PP,201.0,,41.0849,-8.1306,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G1038', u'ENTSOE': u'[16WCARRAPA-----2]', u'CARMA': u'[7199]'}"
680,Cassano d'adda,Cassano,Cassano d'adda,,Natural Gas,CCGT,Italy,PP,1000.0,,45.512,9.509,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G421', u'ENTSOE': u'[26WIMPI-S03ACMNW]', u'CARMA': u'[7324]'}"
681,Castejon hc,Castejo,Castejon hce,,Natural Gas,CCGT,Spain,PP,1222.2,,42.1773,-1.6943,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G565', u'ENTSOE': u'[18WCTJON3--1234S, 18WCTJON2-123-0Z, 18WCTJON1-123-06]', u'CARMA': u'[7342]'}"
