id,Name,Fueltype,Classification,Country,Capacity,lat,lon,File
22,Witznau,Hydro,Pumped storage,Germany,220.0,47.68774,8.2516,energy_storage_exchange
23,Wehr,Hydro,Pumped storage,Germany,910.0,47.6363693,7.9114875,energy_storage_exchange
24,Säckingen,Hydro,Pumped storage,Germany,360.0,47.5656,7.95418,energy_storage_exchange
25,Waldshut,Hydro,Pumped storage,Germany,150.0,47.6184,8.19367,energy_storage_exchange
26,Häusern,Hydro,Pumped storage,Germany,100.0,47.75523,8.1879,energy_storage_exchange
27,Kirchentellinsfurt,Hydro,Pumped storage,Germany,1.3,48.601961,9.1009866,energy_storage_exchange
28,Erzhausen,Hydro,Pumped storage,Germany,220.0,51.8989299,9.9261805,energy_storage_exchange
29,Glems,Hydro,Pumped storage,Germany,90.0,48.5071632,9.2854502,energy_storage_exchange
30,Happurg,Hydro,Pumped storage,Germany,160.0,49.48711,11.47441,energy_storage_exchange
31,Herdecke,Hydro,Pumped storage,Germany,153.0,51.4031667,7.4328376,energy_storage_exchange
32,Langenprozelten,Hydro,Pumped storage,Germany,164.0,50.059739,9.6269733,energy_storage_exchange
33,Leitzachwerk,Hydro,Pumped storage,Germany,98.2,47.8483283,11.857491,energy_storage_exchange
34,Ruselkraftwerke,Hydro,Pumped storage,Germany,3.5,48.8555897,12.9970816,energy_storage_exchange
35,Reisach,Hydro,Pumped storage,Germany,99.0,49.529869,12.2858418,energy_storage_exchange
36,Rönkhausen,Hydro,Pumped storage,Germany,140.0,51.1736091,7.9739149,energy_storage_exchange
37,Schwarzenbach,Hydro,Pumped storage,Germany,44.0,48.6559308,8.3262275,energy_storage_exchange
38,Sorpesee,Hydro,Pumped storage,Germany,7.42,51.3510404,7.9680569,energy_storage_exchange
39,Tanzmühle,Hydro,Pumped storage,Germany,35.0,49.552216,12.281256,energy_storage_exchange
40,Waldeck,Hydro,Pumped storage,Germany,620.0,51.1624468,9.064572,energy_storage_exchange
41,Alrance,Hydro,Pumped storage,France,11.0,44.1035517,2.6946591,energy_storage_exchange
42,Le pouget,Hydro,Pumped storage,France,445.0,44.059565,2.768856,energy_storage_exchange
43,Argentat,Hydro,Pumped storage,France,48.0,45.10418,1.953746,energy_storage_exchange
44,Montézic,Hydro,Pumped storage,France,910.0,44.709426,2.640329,energy_storage_exchange
45,Revin,Hydro,Pumped storage,France,800.0,49.9218041,4.6036679,energy_storage_exchange
46,Super bissorte,Hydro,Pumped storage,France,748.0,45.183414,6.478624,energy_storage_exchange
47,Le cheylas,Hydro,Pumped storage,France,480.0,45.3815081,5.9869144,energy_storage_exchange
48,Coche,Hydro,Pumped storage,France,310.0,45.4824436,6.5338786,energy_storage_exchange
49,Rance tidal,Hydro,Pumped storage,France,240.0,48.6180022,-2.0238876,energy_storage_exchange
50,Lac noir,Hydro,Pumped storage,France,82.0,48.109765,7.103163,energy_storage_exchange
51,Plate taille,Hydro,Pumped storage,Belgium,143.0,50.1857528,4.3823302,energy_storage_exchange
52,Feldsee,Hydro,Pumped storage,Austria,140.0,46.9985746,13.0418733,energy_storage_exchange
53,Koralpe,Hydro,Pumped storage,Austria,50.0,46.6407766,14.9488018,energy_storage_exchange
54,Kops,Hydro,Pumped storage,Austria,525.0,46.9858102,10.0265864,energy_storage_exchange
55,Rodundwerk,Hydro,Pumped storage,Austria,493.0,47.08513265,9.88276775,energy_storage_exchange
56,Limberg,Hydro,Pumped storage,Austria,480.0,47.1592991,12.7125707,energy_storage_exchange
57,Oschenik innerfragant,Hydro,Pumped storage,Austria,108.0,47.1374819,12.3273397,energy_storage_exchange
58,Čierny váh,Hydro,Pumped storage,Slovakia,735.16,49.011138,19.9273911,energy_storage_exchange
59,Dobšiná,Hydro,Pumped storage,Slovakia,24.0,48.8207511,20.3656619,energy_storage_exchange
60,Liptovská mara,Hydro,Pumped storage,Slovakia,198.0,49.0986111,19.4888889,energy_storage_exchange
61,Ružín,Hydro,Pumped storage,Slovakia,60.0,48.86311,21.0926599,energy_storage_exchange
62,Solina,Hydro,Pumped storage,Poland,200.0,49.3958323,22.4606916,energy_storage_exchange
63,Żarnowiec,Hydro,Pumped storage,Poland,716.0,54.7697655,18.0466655,energy_storage_exchange
64,Żydowo,Hydro,Pumped storage,Poland,156.0,54.0216713,16.7385445,energy_storage_exchange
