None,Name,Name,Name,Name,Name,Fueltype,Fueltype,Fueltype,Fueltype,Fueltype,Technology,Technology,Technology,Technology,Technology,Set,Set,Set,Set,Set,Country,Country,Country,Country,Country,Capacity,Capacity,Capacity,Capacity,Capacity,YearCommissioned,YearCommissioned,YearCommissioned,YearCommissioned,YearCommissioned,lat,lat,lat,lat,lat,lon,lon,lon,lon,lon,File,File,File,File,File,projectID,projectID,projectID,projectID,projectID
None,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI
8,Sloecentrale,Sloecentrale,Sloe netherland,Sloecentrale unit,Sloecentrale,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,CCGT,,,PP,,CHP,PP,PP,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,870.0,864.0,870.0,900.0,864.0,,,,,,51.4525,,51.4481,51.44796,51.4477488,3.626389,,3.6926,3.69252,3.6903648,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,Tennet_Q42015,Netherlands Power Plant.csv,[42011],49W0000000000512,G485,"[OEU72, OEU71]",[3965]
9,Swentibold,Swentibold,Swentibold,Swentibold,Centrale swentibold,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,,,,PP,,CHP,PP,PP,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,246.0,209.0,231.0,225.0,225.0,,,,,,50.974167,,50.9721,50.97971,50.9812496,5.829167,,5.7911,5.80891,5.8066118,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,Tennet_Q12015,Netherlands Power Plant.csv,[44001],49W000000000061-,G473,[OEU25],[838]
10,,Borssele,Borssele,Borssele,Borssele,,Nuclear,Nuclear,Nuclear,Nuclear,,,,Steam Turbine,,,PP,PP,PP,PP,,Netherlands,Netherlands,Netherlands,Netherlands,,492.0,515.0,512.0,515.0,,,,,,,,51.4311,51.43148,,,,3.7175,3.71871,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,Tennet_Q42015,EU Nuclear Power.csv,,49W000000000054X,G1289,[OEU6],[539]
11,,Lage weide,Langeweide,Lage weide,Centrale lage wide,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,CCGT,,,,,CHP,PP,PP,,Netherlands,Netherlands,Netherlands,Netherlands,,247.0,266.0,247.0,247.0,,,,,,,,52.1026,52.10292,52.1163935,,,5.0713,5.07137,5.0481529,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,Tennet_Q42015,Netherlands Power Plant.csv,,49W000000000047U,G483,[OEU19],[832]
12,,Maasvlakte,Maasvlakte electrabel,Mvl rotterdam,Mvl centrale rotterdam,,Coal,Hard Coal,Hard Coal,Coal,,,Steam Turbine,Steam Turbine,,,,PP,PP,PP,,Netherlands,Netherlands,Netherlands,Netherlands,,535.0,800.0,736.0,731.0,,,,,,,,51.9443,51.94496,51.9448191,,,4.0723,4.06767,4.0720474,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,Tennet_Q22015,Netherlands Power Plant.csv,,49W000000000100F,G126,[OEU54],[2908]
13,,Moerdijk,Moerdijk,Moerdijk,Moerdijk,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,CCGT,,,,,PP,PP,PP,,Netherlands,Netherlands,Netherlands,Netherlands,,774.0,430.0,774.0,1574.0,,,,,,,,51.6861,51.68506,51.6850996,,,4.580278,4.58094,4.5811681,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,Tennet_Q42015,Netherlands Power Plant.csv,,49W000000000063W,G475,"[OEU62, OEU61]","[835, 2773]"
14,Akzo delesto,,Delesto,Delesto del,Delesto,Natural Gas,,Natural Gas,Natural Gas,Natural Gas,,,CCGT,,,PP,,PP,PP,PP,Netherlands,,Netherlands,Netherlands,Netherlands,549.78,,360.0,530.0,530.0,,,,,,53.32045,,53.3185,53.31953,53.319607,6.95605,,6.9544,6.94811,6.9434915,,,,Tennet_Q12015,Netherlands Power Plant.csv,[665],,G467,"[OEU34, OEU33]",[1107]
15,Eems,,Eems,Eemscentrale ec,Eemscentrale,Natural Gas,,Natural Gas,Natural Gas,Natural Gas,,,CCGT,,,CHP,,PP,PP,PP,Netherlands,,Netherlands,Netherlands,Netherlands,3134.7,,2400.0,1929.0,1929.0,,,,,,53.4343,,53.4348,53.43949,53.4353814,6.87292,,6.8791,6.86165,6.8601214,,,,Tennet_Q42015,Netherlands Power Plant.csv,[11839],,G468,"[OEU42, OEU46, OEU41, OEU45, OEU43, OEU44]",[1235]
16,Merwedekanaal,,Merwedekanaal,Merwedekanaal,Centrale merwedekanaal,Natural Gas,,Natural Gas,Natural Gas,Natural Gas,,,CCGT,,,PP,,CHP,PP,PP,Netherlands,,Netherlands,Netherlands,Netherlands,428.04,,425.0,227.0,227.0,,,,,,52.090833,,52.1017,52.10156,52.100972,5.122222,,5.0794,5.07981,5.0784226,,,,Tennet_Q42015,Netherlands Power Plant.csv,[28144],,G484,[OEU23],[834]
17,,,Flevo maxima centrale,Maxima fl,Maxima centrale,,,Natural Gas,Natural Gas,Natural Gas,,,CCGT,,,,,PP,PP,PP,,,Netherlands,Netherlands,Netherlands,,,860.0,996.0,872.0,,,,,,,,52.5772,52.57753,52.5758512,,,5.53,5.52959,5.5291275,,,,Tennet_Q22015,Netherlands Power Plant.csv,,,G465,"[OEU58, OEU59, OEU60]",[2681]
18,,,Hemweg,Hemweg hw,Centrale hemweg,,,Natural Gas,Natural Gas,Natural Gas,,,CCGT,,,,,CHP,PP,PP,,,Netherlands,Netherlands,Netherlands,,,435.0,1017.0,432.0,,,,,,,,52.4063,52.40537,52.4164011,,,4.8418,4.84482,4.8261775,,,,Tennet_Q42015,Netherlands Power Plant.csv,,,G479,"[OEU15, OEU17]",[830]
19,,,Ijmond,Ijmond,Centrale ijmond,,,Natural Gas,Other,Other,,,CCGT,,,,,CHP,PP,PP,,,Netherlands,Netherlands,Netherlands,,,144.0,144.0,144.0,,,,,,,,52.4758,52.47155,52.4713175,,,4.6048,4.63473,4.6280361,,,,Tennet_Q32015,Netherlands Power Plant.csv,,,G481,[OEU18],[831]
20,,,Magnum netherland,Magnum,Magnum centrale,,,Natural Gas,Natural Gas,Natural Gas,,,CCGT,,,,,PP,PP,PP,,,Netherlands,Netherlands,Netherlands,,,1290.0,1311.0,1326.0,,,,,,,,53.448,53.45149,53.4363883,,,6.8527,6.85268,6.8612103,,,,Tennet_Q42015,Netherlands Power Plant.csv,,,G469,"[OEU55, OEU57, OEU56]",[2602]
21,Lee hydro,Lee production,,Les clées,Lee,Hydro,Hydro,,Hydro,Hydro,,Run-of-river,,Run-Of-River,,PP,PP,,PP,PP,Ireland,Ireland,,Switzerland,Ireland,19.0,27.0,,30.0,27.0,,,,1955.0,,51.8833333,,,46.7311268769,,-8.6333333,,,6.4449925209,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,BFE,Ireland and Northern Ireland.csv,[24830],47W000000000234O,,[OEU610],[2410]
22,Dukovany,,,Dukovany,Dukovany,Nuclear,,,Nuclear,Nuclear,,,,Steam Turbine,,PP,,,PP,PP,Czech Republic,,,Czech Republic,Czech Republic,1910.4,,,2010.0,2000.0,,,,,,49.085,,,49.08495,,16.1488888889,,,16.15006,,,,,CEPS,EU Nuclear Power.csv,[11427],,,"[OEU360, OEU361, OEU362, OEU359]",[1192]
23,Scharding neuhaus,,,Schärding neuhaus,Schärding neuhaus,Hydro,,,Hydro,Hydro,,,,Run-Of-River,,PP,,,PP,PP,Austria,,,Austria,Austria,100.0,,,48.0,96.0,,,,1963.0,,,,,48.4356192,,,,,13.4415027,,,,,,Verbund Power Plant.csv,[40070],,,[BNA0917],[3831]
24,Temelin,,,Temelín,Temelin,Nuclear,,,Nuclear,Nuclear,,,,Steam Turbine,,PP,,,PP,PP,Czech Republic,,,Czech Republic,Czech Republic,2000.0,,,2157.0,2160.0,,,,,,49.18,,,49.18109,,14.3761111111,,,14.38641,,,,,CEPS,EU Nuclear Power.csv,[44944],,,"[OEU395, OEU394]",[4230]
25,Velsen,,,Velsen vn,Centrale velsen,Natural Gas,,,Natural Gas,Natural Gas,,,,,,CHP,,,PP,PP,Netherlands,,,Netherlands,Netherlands,885.258,,,834.0,725.0,,,,,,52.466695,,,52.47155,52.4713175,4.640525,,,4.63473,4.6280361,,,,Tennet_Q22015,Netherlands Power Plant.csv,"[47915, 47916]",,,"[OEU27, OEU26]",[839]
26,,,,Clauscentrale,Clauscentrale,,,,Other,Other,,,,,,,,,PP,PP,,,,Netherlands,Netherlands,,,,510.0,510.0,,,,,,,,,51.15409,51.1496099,,,,5.90803,5.9081338,,,,Tennet_Q12015,Netherlands Power Plant.csv,,,,[OEU32],[926]
27,,,,Edh,Edh,,,,Natural Gas,Natural Gas,,,,,,,,,PP,PP,,,,Netherlands,Netherlands,,,,112.0,112.0,,,,,,,,,52.07659,52.0766465,,,,4.29065,4.2907038,,,,Tennet_Q12015,Netherlands Power Plant.csv,,,,[OEU36],[1227]
