None,Name,Name,Name,Name,Name,Fueltype,Fueltype,Fueltype,Fueltype,Fueltype,Technology,Technology,Technology,Technology,Technology,Set,Set,Set,Set,Set,Country,Country,Country,Country,Country,Capacity,Capacity,Capacity,Capacity,Capacity,YearCommissioned,YearCommissioned,YearCommissioned,YearCommissioned,YearCommissioned,lat,lat,lat,lat,lat,lon,lon,lon,lon,lon,File,File,File,File,File,projectID,projectID,projectID,projectID,projectID
None,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI
215,,,Cas tresorer,,Cas tresorer tg,,,Natural Gas,,Natural Gas,,,CCGT,,,,,PP,,PP,,,Spain,,Spain,,,460.0,,284.0,,,,,,,,39.5672,,,,,2.6895,,,,,,,Spain Power Plants Over 10 MW.csv,,,G544,,[757]
216,,,Floriffoux,,Hu floriffoux,,,Hydro,,Hydro,,,Run-Of-River,,,,,PP,,PP,,,Belgium,,Belgium,,,0.8,,0.8,,,,,,,,50.4468,,,,,4.7767,,,,,,,Belgium Power Plant.csv,,,G760,,[2010]
217,,,Hydro vierre,,Vierre,,,Hydro,,Hydro,,,Reservoir,,,,,PP,,PP,,,Belgium,,Belgium,,,1.9,,1.9,,,,,,,,49.733,,,,,5.377,,,,,,,Belgium Power Plant.csv,,,G757,,[4581]
218,,,Jochenstein,,Jochenstein,,,Hydro,,Hydro,,,Run-Of-River,,,,,PP,,PP,,,Austria,,Austria,,,132.0,,132.0,,,,,,,,48.5184,,,,,13.7076,,,,,,,Verbund Power Plant.csv,,,G738,,[2149]
219,,,Kaprun klammsee,,Klammsee,,,Hydro,,Hydro,,,Run-Of-River,,,,,PP,,PP,,,Austria,,Austria,,,1.0,,1.0,,,,,,,,47.2591,,,,,12.7389,,,,,,,Verbund Power Plant.csv,,,G721,,[2253]
220,,,Kaprun limberg,,Kaprun limberg,,,Hydro,,Hydro,,,Pumped Storage,,,,,PP,,PP,,,Austria,,Austria,,,480.0,,480.0,,,,,,,,47.1985,,,,,12.7223,,,,,,,Verbund Power Plant.csv,,,G715,,[2192]
221,,,Kilroot ocgt,,Kilroot ocgt,,,Natural Gas,,Natural Gas,,,OCGT,,OCGT,,,PP,,PP,,,United Kingdom,,United Kingdom,,,142.0,,142.0,,,,,,,,54.7251,,54.6294982,,,-5.7643,,-6.7654415,,,,,UK Power Plant.csv,,,G633,,[2238]
222,,,Lough ree,,Lough rea,,,Hard Coal,,Coal,,,Steam Turbine,,,,,PP,,PP,,,Ireland,,Ireland,,,100.0,,91.0,,,,,,,,53.6747,,,,,-7.984,,,,,,,Ireland and Northern Ireland.csv,,,G105,,[2545]
223,,,Monsin,,Hu monsin,,,Hydro,,Hydro,,,Run-Of-River,,,,,PP,,PP,,,Belgium,,Belgium,,,19.7,,19.7,,,,,,,,50.6517,,,,,5.6308,,,,,,,Belgium Power Plant.csv,,,G754,,[2014]
224,,,Puerto barcelona,,"Puerto barcelona,",,,Natural Gas,,Natural Gas,,,CCGT,,,,,PP,,PP,,,Spain,,Spain,,,850.0,,866.3,,,,,,,,41.3366,,,,,2.1594,,,,,,,Spain Power Plants Over 10 MW.csv,,,G552,,[3430]
225,,,Sarlux cagliari igcc,,Sarlux,,,Natural Gas,,Natural Gas,,,CCGT,,,,,PP,,PP,,,Italy,,Italy,,,550.0,,548.0,,,,,,,,39.1037,,40.0912813,,,9.0063,,9.0305773,,,,,Italy Power Plant.csv,,,G396,,[3777]
226,,,Severn,,Severn,,,Natural Gas,,Natural Gas,,,CCGT,,,,,PP,,PP,,,United Kingdom,,United Kingdom,,,848.0,,850.0,,,,,,,,51.5475,,52.2928116,,,-2.975,,-3.7389299,,,,,UK Power Plant.csv,,,G624,,[3893]
227,,,Soto ribera,,Soto ribera,,,Hard Coal,,Coal,,,Steam Turbine,,,,,PP,,PP,,,Spain,,Spain,,,615.0,,346.25,,,,,,,,43.3122,,,,,-5.87423,,,,,,,Spain Power Plants Over 10 MW.csv,,,G204,,[4031]
228,,,Tirrenopower vado ligure,,Vado ligure,,,Natural Gas,,Natural Gas,,,CCGT,,,,,PP,,PP,,,Italy,,Italy,,,800.0,,800.0,,,,,,,,44.2755,,44.292536,,,8.4305,,8.412652,,,,,Italy Power Plant.csv,,,G438,,[4476]
229,,,Wallnerau salzach,,Wallnerau salzach,,,Hydro,,Hydro,,,Run-Of-River,,,,,PP,,PP,,,Austria,,Austria,,,13.0,,13.0,,,,,,,,47.316,,,,,13.14095,,,,,,,Verbund Power Plant.csv,,,G719,,[4657]
230,,,Wallnerau unterwasser,,Wallnerau underwater,,,Hydro,,Hydro,,,Run-Of-River,,,,,PP,,PP,,,Austria,,Austria,,,5.0,,5.0,,,,,,,,47.31554,,,,,13.140946,,,,,,,Verbund Power Plant.csv,,,G720,,[4658]
231,,,Werfen pfarrwerfen,,Werfen pfarrwerfen,,,Hydro,,Hydro,,,Run-Of-River,,,,,PP,,PP,,,Austria,,Austria,,,16.0,,16.0,,,,,,,,47.4698,,,,,13.1945,,,,,,,Verbund Power Plant.csv,,,G727,,[4680]
232,,,West burton,,West burton,,,Natural Gas,,Natural Gas,,,,,CCGT,,,PP,,PP,,,United Kingdom,,United Kingdom,,,1305.0,,1372.0,,,,,,,,53.3631,,52.79657515,,,-0.7976,,-0.671822206834,,,,,UK Power Plant.csv,,,G634,,"[4696, 4697]"
233,Aguayo,Aguayo,,,Aguayo,Hydro,Hydro,,,Hydro,,,,,,PP,PP,,,PP,Spain,Spain,,,Spain,339.2,360.0,,,360.6,,,,,,43.053833,,,,,-4.025495,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Spain Power Plants Over 10 MW.csv,[446],18WAGUB-12345-0T,,,[47]
234,Augusta,Augusta c.le,,,Augusta c.le,Oil,Oil,,,Oil,,,,,,PP,,,,PP,Italy,Italy,,,Italy,140.0,144.0,,,210.0,,,,,,37.208333,,,,37.2369363,15.177778,,,,15.2196575,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Italy Power Plant.csv,[2532],26WIMPI-S19ACGSY,,,[264]
235,Avise,Avise,,,Avise,Hydro,Hydro,,,Hydro,,Run-of-river,,,,PP,PP,,,PP,Italy,Italy,,,Italy,146.7,127.0,,,126.5,,,,,,45.708858,,,,45.7085893,7.139898,,,,7.1397458,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Italy Power Plant.csv,[2644],26WIMPI-S02AVSIS,,,[275]
236,Bargi psp,Bargi,,,Bargi centrale,Hydro,Hydro,,,Hydro,,,,,,PP,PP,,,PP,Italy,Italy,,,Italy,330.0,281.0,,,281.0,,,,,,44.170457,,,,44.170457,11.088812,,,,11.088812,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Italy Power Plant.csv,[3332],26WIMPI-S08BCRGX,,,[329]
237,Bastusel,Bastusel,,,Bastusel,Hydro,Hydro,,,Hydro,,,,,,PP,PP,,,PP,Sweden,Sweden,,,Sweden,114.0,100.0,,,107.0,,,,,,65.35,,,,,18.6166667,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Sweden Power Plant.csv,[3521],46WPU0000000038K,,,[352]
238,Bergeforsen,Bergeforsen,,,Bergeforsen,Hydro,Hydro,,,Hydro,,,,,,PP,PP,,,PP,Sweden,Sweden,,,Sweden,155.0,160.0,,,166.0,,,,,,62.5333333,,,,,17.3833333,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Sweden Power Plant.csv,[4114],46WPU0000000051S,,,[394]
239,Bolarque,Bolarque,,,Bolarque,Hydro,Hydro,,,Hydro,,,,,,PP,PP,,,PP,Spain,Spain,,,Spain,236.0,215.0,,,242.94,,,,,,40.419023,,,,,-2.922556,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Spain Power Plants Over 10 MW.csv,[5153],18WUFBG-12345-0E,,,[526]
240,Capriati lete sava,Capriati,,,Capriati,Hydro,Hydro,,,Hydro,,,,,,PP,PP,,,PP,Italy,Italy,,,Italy,115.0,113.0,,,113.0,,,,,,41.468622,,,,41.468622,14.14542,,,,14.14542,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Italy Power Plant.csv,[7059],26WIMPI-S15CPRTZ,,,[729]
241,Cardano,Cardano,,,Cardano,Hydro,Hydro,,,Hydro,,Run-of-river,,,,PP,PP,,,PP,Italy,Italy,,,Italy,121.0,121.0,,,121.0,,,,,,46.492716,,,,46.4898543,11.333576,,,,11.4080724,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Italy Power Plant.csv,[7097],26WIMPI-S04CRDA9,,,[736]
242,Cedegolo edison,Cedegolo,,,Cedegolo,Hydro,Hydro,,,Hydro,,Run-of-river,,,,PP,PP,,,PP,Italy,Italy,,,Italy,74.05,130.0,,,130.0,,,,,,46.076697,,,,,10.349562,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Italy Power Plant.csv,[7545],26WIMPIMONICA-1D,,,[804]
243,Celano sadam,Celano,,,Celano,Natural Gas,Natural Gas,,,Natural Gas,,,,,,CHP,,,,PP,Italy,Italy,,,Italy,180.0,175.0,,,180.0,,,,,,42.045833,,,,42.08553,13.5475,,,,13.539798,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Italy Power Plant.csv,[7561],26WIMPI-S13SCNDQ,,,[808]
244,Cernavoda,Npp cernavoda,,,Cernavoda,Nuclear,Nuclear,,,Nuclear,,,,,,PP,PP,,,PP,Romania,Romania,,,Romania,1440.0,1298.0,,,1411.0,,,,,,44.3222222222,,,,,28.0572222222,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,EU Nuclear Power.csv,[7712],30W-CERNAVODA--E,,,[845]
245,Cimego,Cimego,,,Cimego,Hydro,Hydro,,,Hydro,,,,,,PP,PP,,,PP,Italy,Italy,,,Italy,229.1,230.0,,,229.9,,,,,,45.942196,,,,45.911895,10.640271,,,,10.6128545,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Italy Power Plant.csv,"[65822, 8707]",26WIMPI-S04CMGI4,,,[916]
246,Cortes muela,Muela,,,Muela,Hydro,Hydro,,,Hydro,,,,,,PP,PP,,,PP,Spain,Spain,,,Spain,920.0,633.9,,,1511.95,,,,,,39.25,,,,,-0.9333333,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Spain Power Plants Over 10 MW.csv,[9449],18WMUEL-12345-03,,,"[2873, 2876]"
247,Estany gento sallente,Sallent,,,Estany gento sallente,Hydro,Hydro,,,Hydro,,,,,,PP,PP,,,PP,Spain,Spain,,,Spain,451.0,439.2,,,439.84,,,,,,,,,,,,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Spain Power Plants Over 10 MW.csv,[12815],18WSLTG-12345-0T,,,[1384]
248,Fadalto,Fadalto,,,Fadalto,Hydro,Hydro,,,Hydro,,,,,,PP,PP,,,PP,Italy,Italy,,,Italy,210.0,210.0,,,210.0,,,,,,45.9766667,,,,45.9897133,12.3033333,,,,12.296477,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Italy Power Plant.csv,[12994],26WIMPI-S05FDLTJ,,,[1414]
249,Floriano egna,S.floriano,,,S.floriano,Hydro,Hydro,,,Hydro,,Run-of-river,,,,PP,PP,,,PP,Italy,Italy,,,Italy,135.0,180.0,,,180.0,,,,,,46.316911,,,,46.3169161,11.272578,,,,11.2725698,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Italy Power Plant.csv,[65846],26WIMPI-S04SFLVM,,,[3699]
250,Forsmo,Forsmo,,,Forsmo,Hydro,Hydro,,,Hydro,,,,,,PP,PP,,,PP,Sweden,Sweden,,,Sweden,142.66,155.0,,,158.0,,,,,,63.1666667,,,,,17.2666667,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Sweden Power Plant.csv,[13777],46WPU0000000047J,,,[1523]
251,Gallejaur,Gallejaur,,,Gallejuar,Hydro,Hydro,,,Hydro,,,,,,PP,PP,,,PP,Sweden,Sweden,,,Sweden,209.0,214.0,,,220.0,,,,,,64.9120576707,,,,,19.4815278053,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Sweden Power Plant.csv,[14493],46WPU0000000039I,,,[1591]
252,Galleto,Galleto,,,Galleto,Hydro,Hydro,,,Hydro,,Run-of-river,,,,PP,PP,,,PP,Italy,Italy,,,Italy,147.2,166.0,,,166.0,,,,,,,,,,42.5641417,,,,,12.6405466,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Italy Power Plant.csv,[14495],26WIMPI-S10GLLT5,,,[1592]
253,Glorenza,Seled glorenza,,,Seled glorenza,Hydro,Hydro,,,Hydro,,,,,,PP,PP,,,PP,Italy,Italy,,,Italy,96.0,102.0,,,101.6,,,,,,46.687914,,,,46.6879187,10.546554,,,,10.5465492,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Italy Power Plant.csv,[15315],26WIMPI-S04GLRNJ,,,[3854]
254,Grosio,Grosio,,,Grosio,Hydro,Hydro,,,Hydro,,Run-of-river,,,,PP,PP,,,PP,Italy,Italy,,,Italy,431.0,655.0,,,655.0,,,,,,46.489007,,,,,10.294052,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Italy Power Plant.csv,[16010],26WIMPIGROSIO-11,,,[1753]
255,Guillena,Guillena,,,Guillena,Hydro,Hydro,,,Hydro,,,,,,PP,PP,,,PP,Spain,Spain,,,Spain,210.0,206.7,,,207.99,,,,,,37.5426207602,,,,,-6.05625629425,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Spain Power Plants Over 10 MW.csv,[16238],18WGUIG-12345-0D,,,[1797]
256,Harrsele,Harrsele,,,Harrsele,Hydro,Hydro,,,Hydro,,Run-of-river,,,,PP,PP,,,PP,Sweden,Sweden,,,Sweden,198.0,210.0,,,223.0,,,,,,64.0,,,,,19.5666667,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Sweden Power Plant.csv,[16989],46WPU0000000080L,,,[1859]
257,Holleforsen,Hölleforsen,,,Holleforsen,Hydro,Hydro,,,Hydro,,,,,,PP,PP,,,PP,Sweden,Sweden,,,Sweden,140.1,140.0,,,151.0,,,,,,63.0333333,,,,,16.6166667,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Sweden Power Plant.csv,[18149],46WPU0000000050U,,,[1964]
258,Inesco,Inesco wkk,,,Inesco wkk,Natural Gas,Natural Gas,,,Natural Gas,,,,,,PP,,,,PP,Belgium,Belgium,,,Belgium,130.0,138.0,,,138.0,,,,,,51.2197872987,,,,,4.32663917542,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Belgium Power Plant.csv,[1741],22WINESCO000149P,,,[2081]
259,Jarnvagsforsen,Järnvägsforsen,,,Jarnvagesforsen,Hydro,Hydro,,,Hydro,,Run-of-river,,,,PP,PP,,,PP,Sweden,Sweden,,,Sweden,105.0,100.0,,,100.0,,,,,,62.3833333,,,,,17.3166667,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Sweden Power Plant.csv,[20099],46WPU0000000105V,,,[2134]
260,Kvistforsen,Kvistforsen,,,Kvistforsen,Hydro,Hydro,,,Hydro,,Run-of-river,,,,PP,PP,,,PP,Sweden,Sweden,,,Sweden,140.0,140.0,,,140.0,,,,,,64.7506673478,,,,,20.9527945518,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Sweden Power Plant.csv,[23475],46WPU0000000103Z,,,[2321]
261,Lana,Lana,,,Lana,Hydro,Hydro,,,Hydro,,Run-of-river,,,,PP,PP,,,PP,Italy,Italy,,,Italy,121.8,120.0,,,120.0,,,,,,46.612418,,,,46.6073775,11.15587,,,,11.1613274,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Italy Power Plant.csv,[24321],26WIMPI-S04LNAAQ,,,[2355]
262,Lanzada,Lanzada,,,Lanzada,Hydro,Hydro,,,Hydro,,,,,,PP,PP,,,PP,Italy,Italy,,,Italy,189.01,188.0,,,188.0,,,,,,46.269297,,,,46.269297,9.869247,,,,9.869247,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Italy Power Plant.csv,[24464],26WIMPI-S03LNZDP,,,[2380]
263,Lasele,Lasele,,,Lasele,Hydro,Hydro,,,Hydro,,,,,,PP,PP,,,PP,Sweden,Sweden,,,Sweden,150.0,140.0,,,165.0,,,,,,63.4333333,,,,63.7044719,16.9,,,,17.0175829,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Sweden Power Plant.csv,[24585],46WPU0000000044P,,,[2386]
264,Lillgrund,Lillgrund,,,Lillgrund,Wind,Wind,,,Wind,,,,,,PP,PP,,,PP,Sweden,Sweden,,,Sweden,110.4,110.0,,,110.0,,,,,,55.6058691373,,,,,13.0007314682,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Sweden Power Plant.csv,[25251],46WPU0000000058E,,,[2452]
265,Marghera azotati,Azotati,,,Azotati,Natural Gas,Natural Gas,,,Natural Gas,,,,,,PP,,,,PP,Italy,Italy,,,Italy,264.2,236.0,,,240.0,,,,,,45.4511111,,,,45.4371908,12.2238889,,,,12.3345899,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Italy Power Plant.csv,[27201],26WIMPI-S05AZTT6,,,[280]
266,Meirama,Meirama,,,Meirama,Hard Coal,Coal,,,Coal,,,,,,PP,,,,PP,Spain,Spain,,,Spain,553.0,557.2,,,557.2,,,,,,43.0765369612,,,,,-8.40900421143,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Spain Power Plants Over 10 MW.csv,[27916],18WMEI1-12345-0I,,,[2695]
267,Mese,Mese,,,Mese,Hydro,Hydro,,,Hydro,,Run-of-river,,,,PP,PP,,,PP,Italy,Italy,,,Italy,151.2,164.0,,,164.34,,,,,,46.306294,,,,46.306294,9.382335,,,,9.382335,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Italy Power Plant.csv,[28163],26WIMPI-S03XMCMK,,,[2721]
268,Midskog,Midskog,,,Midskog,Hydro,Hydro,,,Hydro,,,,,,PP,PP,,,PP,Sweden,Sweden,,,Sweden,144.0,155.0,,,155.0,,,,,,63.1666667,,,,63.3264934,15.6,,,,14.5811578,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Sweden Power Plant.csv,[28366],46WPU0000000048H,,,[2741]
269,Milazzo,Milazzo,,,Milazzo,Natural Gas,Natural Gas,,,Natural Gas,,,,,,PP,,,,PP,Italy,Italy,,,Italy,165.68,152.0,,,162.9,,,,,,38.221166,,,,38.2208049,15.238283,,,,15.2415129,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Italy Power Plant.csv,"[28443, 28444]",26WIMPI-S19TMRC9,,,[2746]
270,Monteferrante,Monteferrante,,,Monteferrante,Wind,Wind,,,Wind,,,,,,PP,PP,,,PP,Italy,Italy,,,Italy,24.6,112.0,,,105.24,,,,,,41.954734,,,,41.954734,14.388419,,,,14.388419,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Italy Power Plant.csv,[57803],26WIMPI-S13MNTFR,,,[2813]
271,Montorio,Montorio,,,Montorio,Hydro,Hydro,,,Hydro,,Run-of-river,,,,PP,PP,,,PP,Italy,Italy,,,Italy,110.1,110.0,,,110.0,,,,,,42.583142,,,,42.6612893,13.638293,,,,13.6983524,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Italy Power Plant.csv,[29283],26WIMPI-S13MNTR3,,,[2831]
272,Moralets,Moralet,,,Moralets,Hydro,Hydro,,,Hydro,,,,,,PP,PP,,,PP,Spain,Spain,,,Spain,221.4,219.1,,,219.14,,,,,,42.4654490846,,,,,0.694198608398,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Spain Power Plants Over 10 MW.csv,[29341],18WMLTG-12345-0X,,,[2840]
273,Mucone,Mucone,,,Mucone,Hydro,Hydro,,,Hydro,,,,,,PP,PP,,,PP,Italy,Italy,,,Italy,101.44,101.0,,,101.44,,,,,,39.492898,,,,39.493005,16.383794,,,,16.3849498,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Italy Power Plant.csv,[29722],26WIMPI-S18M1CN9,,,[2870]
274,Namforsen,Nämforsen,,,Namforsen,Hydro,Hydro,,,Hydro,,,,,,PP,PP,,,PP,Sweden,Sweden,,,Sweden,113.0,113.0,,,115.0,,,,,,63.4333333,,,,63.7044719,16.9,,,,17.0175829,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Sweden Power Plant.csv,[30345],46WPU0000000046L,,,[2931]
275,Naturno,Naturno,,,Centrale naturno,Hydro,Hydro,,,Hydro,,,,,,PP,PP,,,PP,Italy,Italy,,,Italy,220.58,175.0,,,175.0,,,,,,46.648717,,,,46.6498856,11.005066,,,,11.0041954,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Italy Power Plant.csv,[30636],26WIMPI-S04NATRE,,,[836]
276,Olden korsselbranna,Korsselbränna,,,Olden,Hydro,Hydro,,,Hydro,,Run-of-river,,,,PP,PP,,,PP,Sweden,Sweden,,,Sweden,130.0,130.0,,,112.0,,,,,,,,,,,,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Sweden Power Plant.csv,[22854],46WPU0000000104X,,,[3093]
277,Paks,Paksi atomerőmű,,,Paks,Nuclear,Nuclear,,,Nuclear,,,,,,PP,PP,,,PP,Hungary,Hungary,,,Hungary,2000.0,1886.8,,,2000.0,,,,,,46.5725,,,,,18.8541666667,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,EU Nuclear Power.csv,[33368],15WPAKS------PPL,,,[3184]
278,Porsi,Porsi,,,Porsi,Hydro,Hydro,,,Hydro,,,,,,PP,PP,,,PP,Sweden,Sweden,,,Sweden,253.7,275.0,,,282.0,,,,,,66.4303768346,,,,,20.6243419647,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Sweden Power Plant.csv,[35341],46WPU0000000036O,,,[3367]
279,Princess amalia,Prinses alexia windpark,,,Princess amalia,Wind,Wind,,,Wind,,,,,,PP,PP,,,PP,Netherlands,Netherlands,,,Netherlands,120.0,122.0,,,120.0,,,,,,52.6204026715,,,,51.965328,4.62704658508,,,,4.0081340862,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Netherlands Power Plant.csv,[36162],49W000000000110C,,,[3399]
280,Provvidenza,Provvidenza,,,Provvidenza,Hydro,Hydro,,,Hydro,,,,,,PP,PP,,,PP,Italy,Italy,,,Italy,141.0,139.0,,,139.0,,,,,,44.55,,,,42.3488992,11.1,,,,13.3981375,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Italy Power Plant.csv,[35858],26WIMPI-S13PRVVW,,,[3410]
281,Ritsem,Ritsem,,,Ritsem,Hydro,Hydro,,,Hydro,,,,,,PP,PP,,,PP,Sweden,Sweden,,,Sweden,320.0,320.0,,,304.0,,,,,,66.9592699603,,,,,19.8207092285,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Sweden Power Plant.csv,[37535],46WPU0000000026R,,,[3603]
282,Riva garda,Riva del garda nuovo,,,Riva garda nuovo,Hydro,Hydro,,,Hydro,,,,,,PP,PP,,,PP,Italy,Italy,,,Italy,213.1,117.0,,,117.0,,,,,,45.8857663557,,,,45.8847708,10.8411669731,,,,10.8396942,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Italy Power Plant.csv,[37543],26WIMPI-S04RDGLX,,,[3604]
283,Seitevare,Seitevare,,,Seitevare,Hydro,Hydro,,,Hydro,,,,,,PP,PP,,,PP,Sweden,Sweden,,,Sweden,225.0,225.0,,,214.0,,,,,,68.8666667,,,,,20.35,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Sweden Power Plant.csv,[40432],46WPU0000000033U,,,[3851]
284,Sesto giovanni,Sesto giovanni,,,Sesto giovanni,Natural Gas,Other,,,Other,,,,,,PP,,,,PP,Italy,Italy,,,Italy,113.6,111.0,,,110.6,,,,,,45.541667,,,,45.5357218,9.253889,,,,9.2376549,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Italy Power Plant.csv,[40684],26WIMPI-S03SSSN8,,,[3888]
285,Somplago,Somplago,,,Somplago,Hydro,Hydro,,,Hydro,,Run-of-river,,,,PP,PP,,,PP,Italy,Italy,,,Italy,166.3,220.0,,,220.0,,,,,,46.3705556,,,,,13.0436111,,,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Italy Power Plant.csv,[42329],26WIMPIAMENTO-1T,,,[4010]
286,Sondrio,Sondrio,,,Sondrio,Hydro,Hydro,,,Hydro,,Run-of-river,,,,PP,PP,,,PP,Italy,Italy,,,Italy,144.1,144.0,,,144.0,,,,,,46.168995,,,,46.1709447,9.869149,,,,9.8767107,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Italy Power Plant.csv,[42350],26WIMPI-S03SNDOY,,,[4015]
287,Soverzene,Soverzene,,,Soverzene,Hydro,Hydro,,,Hydro,,,,,,PP,PP,,,PP,Italy,Italy,,,Italy,210.0,161.0,,,213.5,,,,,,46.2083333,,,,46.2034553,12.3030556,,,,12.3033425,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Italy Power Plant.csv,[42606],26WIMPI-S05SVRZ0,,,[4036]
