Name,Country,lat,lon
Rentel Offshore WP,Belgium,50.503887,4.469936
Scheldelaan Exxonmobil,Belgium,51.2999074,4.3074433
Zandvliet Power,Belgium,51.35964999999999,4.30716
TIHANGE 1N,Belgium,50.52969909999999,5.2614551
VILVOORDE GT,Belgium,50.926454,4.4258375
TIHANGE 3,Belgium,50.52969909999999,5.2614551
TIHANGE 2,Belgium,50.52969909999999,5.2614551
TIHANGE 1S,Belgium,50.52969909999999,5.2614551
Northwind,Belgium,50.503887,4.469936
Thorntonbank - C-Power - Area NE,Belgium,51.2359282,2.9268714
Amercoeur 1 R TGV,Belgium,50.6362947,5.5917374
DOEL 3,Belgium,51.31059759999999,4.264974899999999
Thorntonbank - C-Power - Area SW,Belgium,51.2359282,2.9268714
T-power Beringen,Belgium,51.05784550000001,5.104374099999999
PLATE-TAILLE T,Belgium,50.1857528,4.3823302
EDF Luminus Seraing TGV,Belgium,50.6099816,5.5141067
COO I T,Belgium,50.503887,4.469936
TE_TUZLA,Bosnia and Herzegovina,44.5199934,18.6057264
TE_KAKANJ,Bosnia and Herzegovina,44.0872452,18.1141114
TE_STANARI,Bosnia and Herzegovina,44.7381571,17.8240149
TE_UGLJEVIK,Bosnia and Herzegovina,44.6829417,18.9694604
TE_GACKO,Bosnia and Herzegovina,43.915886,17.679076
HE_VISEGRAD,Bosnia and Herzegovina,43.7613716,19.2889595
HE_CAPLJINA,Bosnia and Herzegovina,43.11182669999999,17.7054838
HE_DUBROVNIK,Bosnia and Herzegovina,43.915886,17.679076
CHP_EVN_PLOVDIV,Bulgaria,42.1354079,24.7452904
CHP_REPUBLIKA_PK,Bulgaria,42.733883,25.48583
HPP_KARDZHALI,Bulgaria,41.6338439,25.3777119
TEC_BOBOVDOL_EAD,Bulgaria,42.733883,25.48583
TPP_VARNA_BG,Bulgaria,42.733883,25.48583
TOPLO_RUSE,Bulgaria,43.83557130000001,25.9656554
TEC_MARITSA_3_AD,Bulgaria,42.0531501,25.6195507
HPP_IVAILOVGRAD,Bulgaria,41.52669789999999,26.1242717
NPP_KOZLODUY,Bulgaria,43.7438119,23.7723634
PSHPP_BELMEKEN,Bulgaria,42.1610917,23.8019562
HPP_SESTRIMO,Bulgaria,42.21573799999999,23.9209416
AES_MI1,Bulgaria,42.733883,25.48583
PSHPP_ORFEUS_GEN,Bulgaria,42.733883,25.48583
HPP_PESHTERA,Bulgaria,42.0298857,24.2987265
HPP_MOMINA_KLISU,Bulgaria,42.733883,25.48583
CHP_DEVEN,Bulgaria,42.733883,25.48583
CHP_SVILOZA,Bulgaria,42.733883,25.48583
CHP_RUSE,Bulgaria,43.83557130000001,25.9656554
TPP_MI_2,Bulgaria,42.733883,25.48583
PSHPP_CHAIRA_GEN,Bulgaria,42.733883,25.48583
WPP_SVETI_NIKOLA,Bulgaria,43.4349451,28.4926147
CHP_LUKOIL_NEFTO,Bulgaria,42.733883,25.48583
TPP_MI3,Bulgaria,42.733883,25.48583
CHP_BRIKEL_1,Bulgaria,42.733883,25.48583
EKOM_______,Czech Republic,48.6007657,17.8132386
EDET_______,Czech Republic,65.326728,21.244408
EDAL_______,Czech Republic,41.2510671,-72.88217139999999
EME3_______,Czech Republic,51.45048629999999,0.5887302
ECHV_______,Czech Republic,51.960143,5.2233223
Offshore-Windpark RIFFGAT,Germany,51.165691,10.451526
Windpark Trianel Borkum West,Germany,51.165691,10.451526
OWP Butendiek,Germany,51.165691,10.451526
Global Tech I,Germany,53.5428858,9.9898746
Offshore-Windpark Veja Mate,Germany,51.165691,10.451526
KW Mittelsbueren,Germany,53.12873339999999,8.6877743
KW Kühtai,Germany,51.165691,10.451526
Vorarlberger Illwerke AG,Germany,51.165691,10.451526
PSW Erzhausen,Germany,51.8992869,9.9242787
Amrumbank West,Germany,54.17379099999999,7.891525999999999
DanTysk,Germany,51.165691,10.451526
Windpark Nordsee One,Germany,56.511018,3.515625
GKW Hannover (GKH),Germany,52.3758916,9.732010400000002
KW Silz,Germany,49.1474138,7.949013700000001
HKW Heilbronn,Germany,49.1779394,9.207844399999999
Schluchseewerk AG,Germany,47.5573738,8.0454357
Offshore Windpark,Germany,51.165691,10.451526
KW Rheinfelden DE,Germany,47.5896468,7.768778999999999
Rheinkraftwerk Iffezheim,Germany,48.8324383,8.111501
KW Hafen,Germany,51.165691,10.451526
Borkum Riffgrund II,Germany,51.165691,10.451526
Kraftwerk Plattling,Germany,48.7806071,12.8690362
Kraftwerk Walheim,Germany,49.0176801,9.157119
GKB Mittelsbueren,Germany,53.12873339999999,8.6877743
Ingolstadt,Germany,48.7667395,11.4226498
Kraftwerk Zolling,Germany,48.4561596,11.8000274
Franken I,Germany,50.5008956,7.2337205
KW Mehrum (KWM),Germany,52.3046339,10.0942011
KW Laufenburg,Germany,47.5732675,8.082053
HKW Stuttgart-Münster,Germany,48.81327,9.2194
KW Hastedt,Germany,53.0675418,8.8622721
HKW West,Germany,50.09833949999999,8.653359499999999
GKW Linden (GKL),Germany,50.5268808,8.654294799999999
GKM AG TNG,Germany,49.4445252,8.4995233
Kraftwerk Buschhaus,Germany,52.17086159999999,10.9764261
Grohnde,Germany,52.0192026,9.419517599999999
Brokdorf,Germany,53.8632511,9.3243811
Kiel,Germany,54.3232927,10.1227652
Sued GuD1,Germany,51.165691,10.451526
HKW Altbach/Deizisau,Germany,48.72058999999999,9.37647
Kraftwerk Wilhelmshaven,Germany,53.5584269,8.135497
Huntorf,Germany,53.1960942,8.3880801
Waldeck II,Germany,51.2076269,9.0646516
Burghausen_GT,Germany,48.1725613,12.8310753
Kernkraftwerk Neckarwestheim,Germany,49.0418958,9.1737339
HKW-Nürnberg-Sandreuth,Germany,49.4311763,11.0599027
KKW Philippsburg,Germany,49.2352532,8.458036
Kraftwerk Farge,Germany,53.20226510000001,8.5177715
KW Herrenhausen (KWH),Germany,52.4154089,9.6521261
Gode Wind II,Germany,51.165691,10.451526
Sandbank,Germany,51.165691,10.451526
Nord 2,Germany,51.165691,10.451526
Isar 2,Germany,48.08083670248212,12.09159633066177
Gode Wind I,Germany,51.165691,10.451526
Rheinhafen-Dampfkraftwerk Karlsruhe,Germany,49.0137697,8.3059811
GKM AG DBEnergie,Germany,49.4445252,8.4995233
Wilhelmshaven,Germany,53.53234029999999,8.1068722
Staudinger,Germany,51.165691,10.451526
Irsching,Germany,48.7615731,11.5757299
WP Bard Offshore 1,Germany,51.165691,10.451526
Heyden,Germany,51.165691,10.451526
Sued GuD2,Germany,51.165691,10.451526
Borkum Riffgrund I,Germany,51.165691,10.451526
Nordjyllandsvaerket,Denmark,57.072589,10.042528
Esbjergvaerket,Denmark,55.456335,8.455250999999999
Fynsvaerket,Denmark,55.427832,10.405168
Studstrupvaerket,Denmark,56.2489534,10.3472225
Skaerbaekvaerket,Denmark,55.5111111,9.613333299999999
