,ENTSOE,WEPP
293,375.0,6176.0
294,376.0,6179.0
295,377.0,6172.0
296,378.0,6242.0
297,379.0,6509.0
298,380.0,6243.0
299,381.0,6248.0
300,383.0,6301.0
301,384.0,6302.0
302,385.0,6303.0
303,386.0,6323.0
304,387.0,6347.0
305,388.0,6416.0
306,762.0,11509.0
307,390.0,6446.0
308,391.0,6465.0
309,392.0,6497.0
310,393.0,29934.0
311,394.0,6541.0
312,395.0,6556.0
313,396.0,6574.0
314,400.0,6626.0
315,401.0,6644.0
316,406.0,6681.0
317,407.0,6722.0
318,408.0,6727.0
319,409.0,6735.0
320,410.0,6752.0
321,411.0,6753.0
322,412.0,6760.0
323,413.0,6830.0
324,415.0,6839.0
325,416.0,6860.0
326,417.0,6866.0
327,418.0,6884.0
328,419.0,6913.0
329,420.0,6943.0
330,422.0,17802.0
331,423.0,7685.0
332,425.0,11671.0
333,426.0,7186.0
334,427.0,7261.0
335,429.0,7293.0
336,430.0,7298.0
337,431.0,7302.0
338,432.0,7306.0
339,433.0,7309.0
340,434.0,7355.0
341,435.0,7367.0
342,437.0,7368.0
343,438.0,7384.0
344,439.0,7431.0
345,440.0,7453.0
346,441.0,7475.0
347,442.0,7534.0
348,444.0,7556.0
349,445.0,7578.0
350,446.0,7621.0
351,447.0,7630.0
352,448.0,7637.0
353,449.0,7677.0
354,450.0,14091.0
355,451.0,7699.0
356,452.0,7701.0
357,453.0,7733.0
358,454.0,7814.0
359,455.0,11513.0
360,456.0,7827.0
361,457.0,16904.0
362,460.0,18790.0
363,463.0,2828.0
364,464.0,20498.0
365,465.0,24834.0
366,466.0,26158.0
367,467.0,31984.0
368,470.0,32259.0
369,475.0,7942.0
370,476.0,7947.0
371,479.0,7969.0
372,484.0,7983.0
373,486.0,7984.0
374,487.0,13700.0
375,488.0,7991.0
376,489.0,30488.0
377,490.0,8066.0
378,491.0,8067.0
379,492.0,8069.0
380,494.0,8076.0
381,496.0,10016.0
382,497.0,8106.0
383,498.0,8108.0
384,499.0,8128.0
385,500.0,8137.0
386,502.0,7977.0
387,504.0,8160.0
388,507.0,25987.0
389,510.0,8197.0
390,512.0,31406.0
391,513.0,8261.0
392,514.0,8263.0
393,518.0,8276.0
394,522.0,14896.0
395,523.0,8310.0
396,525.0,8339.0
397,694.0,10621.0
398,532.0,25162.0
399,540.0,8393.0
400,542.0,8423.0
401,544.0,30452.0
402,546.0,28274.0
403,548.0,8837.0
404,553.0,22348.0
405,554.0,8551.0
406,555.0,5004.0
407,558.0,8567.0
408,565.0,8749.0
409,570.0,8832.0
410,573.0,8843.0
411,574.0,8845.0
412,575.0,8868.0
413,576.0,8901.0
414,577.0,8908.0
415,579.0,23412.0
416,580.0,8948.0
417,581.0,8956.0
418,583.0,17956.0
419,584.0,8962.0
420,585.0,8975.0
421,586.0,17288.0
422,587.0,8983.0
423,588.0,8987.0
424,590.0,9011.0
425,591.0,9070.0
426,593.0,1168.0
427,594.0,9426.0
428,595.0,9136.0
429,596.0,9137.0
430,599.0,18443.0
431,600.0,9203.0
432,601.0,9234.0
433,603.0,9242.0
434,604.0,9289.0
435,605.0,9288.0
436,606.0,9303.0
437,607.0,9309.0
438,608.0,9319.0
439,609.0,9324.0
440,611.0,9370.0
441,612.0,9400.0
442,613.0,9401.0
443,615.0,9416.0
444,617.0,9438.0
445,618.0,9447.0
446,620.0,9460.0
447,621.0,9468.0
448,622.0,9510.0
449,623.0,9541.0
450,624.0,9549.0
451,625.0,9552.0
452,626.0,9560.0
453,627.0,9562.0
454,628.0,9563.0
455,629.0,9221.0
456,630.0,9588.0
457,632.0,9978.0
458,633.0,9600.0
459,634.0,9613.0
460,635.0,9616.0
461,636.0,9620.0
462,637.0,9626.0
463,641.0,9670.0
464,642.0,9682.0
465,643.0,9688.0
466,644.0,1106.0
467,645.0,9728.0
468,647.0,9811.0
469,648.0,9863.0
470,649.0,9877.0
471,651.0,9890.0
472,652.0,9919.0
473,653.0,9940.0
474,654.0,9981.0
475,655.0,9982.0
476,656.0,9994.0
477,657.0,9995.0
478,662.0,18094.0
479,665.0,10036.0
480,666.0,10104.0
481,667.0,10108.0
482,668.0,10113.0
483,669.0,10145.0
484,670.0,10167.0
485,725.0,11158.0
486,672.0,24052.0
487,673.0,10216.0
488,674.0,11840.0
489,676.0,10286.0
490,677.0,21469.0
491,678.0,10313.0
492,682.0,10318.0
493,683.0,10376.0
494,685.0,16493.0
495,686.0,10434.0
496,687.0,10438.0
