,CARMA,OPSD
297,2559.0,2179.0
298,14785.0,3540.0
299,2583.0,648.0
300,2591.0,1329.0
301,2602.0,1421.0
302,2600.0,651.0
303,2629.0,654.0
304,2640.0,655.0
305,2644.0,3536.0
306,2647.0,657.0
307,2690.0,665.0
308,2706.0,662.0
309,2733.0,664.0
310,2749.0,668.0
311,2789.0,673.0
312,2790.0,1670.0
313,2797.0,674.0
314,2798.0,675.0
315,2806.0,676.0
316,2808.0,677.0
317,2838.0,682.0
318,2853.0,683.0
319,2855.0,684.0
320,2857.0,703.0
321,2858.0,700.0
322,2859.0,701.0
323,2860.0,702.0
324,2862.0,686.0
325,2864.0,756.0
326,2870.0,687.0
327,2883.0,559.0
328,2888.0,4831.0
329,2904.0,691.0
330,2917.0,1228.0
331,2918.0,4171.0
332,2922.0,704.0
333,2955.0,3332.0
334,2967.0,718.0
335,2969.0,719.0
336,2971.0,720.0
337,2973.0,441.0
338,2978.0,722.0
339,2986.0,725.0
340,3004.0,3269.0
341,3007.0,735.0
342,3009.0,736.0
343,3016.0,740.0
344,3022.0,895.0
345,3041.0,742.0
346,3024.0,4051.0
347,3030.0,741.0
348,3061.0,747.0
349,3062.0,748.0
350,3092.0,753.0
351,3096.0,754.0
352,3097.0,755.0
353,3107.0,757.0
354,3109.0,758.0
355,3116.0,2807.0
356,3117.0,1693.0
357,3118.0,2785.0
358,3121.0,764.0
359,3122.0,767.0
360,3123.0,766.0
361,3125.0,769.0
362,3126.0,770.0
363,3129.0,1897.0
364,3131.0,772.0
365,3136.0,774.0
366,3144.0,775.0
367,3145.0,776.0
368,16320.0,780.0
369,3175.0,781.0
370,3180.0,784.0
371,3181.0,785.0
372,3197.0,786.0
373,3206.0,787.0
374,3210.0,1739.0
375,3216.0,790.0
376,3217.0,796.0
377,3220.0,797.0
378,3224.0,1932.0
379,3254.0,811.0
380,3277.0,814.0
381,3281.0,815.0
382,3282.0,1304.0
383,3290.0,73.0
384,3291.0,3459.0
385,3303.0,822.0
386,3323.0,825.0
387,3325.0,826.0
388,3328.0,827.0
389,3340.0,829.0
390,3347.0,831.0
391,3354.0,833.0
392,3357.0,834.0
393,3378.0,836.0
394,3430.0,851.0
395,3384.0,1131.0
396,3413.0,842.0
397,3393.0,947.0
398,3408.0,840.0
399,3409.0,843.0
400,3419.0,846.0
401,3424.0,847.0
402,3425.0,849.0
403,3429.0,848.0
404,3444.0,854.0
405,3449.0,856.0
406,3456.0,857.0
407,3463.0,860.0
408,3471.0,863.0
409,3473.0,865.0
410,3478.0,866.0
411,3481.0,867.0
412,3493.0,868.0
413,3496.0,870.0
414,3505.0,872.0
415,3516.0,3771.0
416,3521.0,1837.0
417,3528.0,882.0
418,3538.0,2836.0
419,3553.0,888.0
420,3554.0,889.0
421,3560.0,891.0
422,3561.0,893.0
423,3562.0,894.0
424,3581.0,899.0
425,3602.0,1095.0
426,3604.0,940.0
427,3612.0,2538.0
428,3621.0,3920.0
429,3632.0,903.0
430,3642.0,904.0
431,3646.0,908.0
432,3644.0,907.0
433,3647.0,4599.0
434,3651.0,909.0
435,3672.0,911.0
436,3673.0,912.0
437,3677.0,914.0
438,3678.0,915.0
439,3686.0,941.0
440,3690.0,157.0
441,3733.0,918.0
442,3760.0,919.0
443,3770.0,920.0
444,3777.0,921.0
445,3778.0,923.0
446,3781.0,925.0
447,3784.0,927.0
448,3794.0,930.0
449,3802.0,934.0
450,3805.0,935.0
451,3825.0,938.0
452,3838.0,948.0
453,3842.0,949.0
454,3846.0,950.0
455,3849.0,951.0
456,3850.0,952.0
457,3862.0,956.0
458,3882.0,961.0
459,3888.0,962.0
460,3895.0,965.0
461,3907.0,967.0
462,3917.0,2564.0
463,3919.0,968.0
464,3925.0,723.0
465,3931.0,971.0
466,3935.0,972.0
467,3937.0,974.0
468,3940.0,976.0
469,3952.0,980.0
470,3963.0,983.0
471,3998.0,1013.0
472,4009.0,1046.0
473,4010.0,1027.0
474,4012.0,74.0
475,4015.0,1034.0
476,4024.0,1049.0
477,4026.0,1050.0
478,4030.0,1052.0
479,4031.0,1053.0
480,4041.0,1054.0
481,4042.0,1055.0
482,4047.0,1315.0
483,4052.0,1058.0
484,4055.0,1061.0
485,4070.0,1069.0
486,4075.0,1040.0
487,4088.0,1077.0
488,4093.0,1079.0
489,4096.0,1080.0
490,4097.0,1081.0
491,4099.0,1082.0
492,4104.0,1085.0
493,4105.0,1086.0
494,10679.0,1089.0
495,4122.0,1091.0
496,4144.0,3556.0
497,4150.0,3027.0
498,4151.0,1103.0
499,4153.0,1097.0
500,4161.0,1047.0
501,4169.0,1099.0
502,4193.0,1104.0
503,4194.0,1105.0
504,4196.0,1106.0
505,4201.0,1107.0
506,16811.0,4041.0
507,4216.0,3186.0
508,4223.0,1111.0
509,4270.0,1116.0
510,4282.0,1120.0
511,4283.0,1119.0
512,4288.0,1122.0
513,4306.0,1125.0
514,4307.0,1127.0
515,4316.0,1141.0
516,4317.0,1525.0
517,4321.0,1147.0
518,4324.0,1150.0
519,4325.0,1148.0
520,4326.0,191.0
521,4328.0,1151.0
522,4332.0,1153.0
523,4340.0,1157.0
524,4359.0,1121.0
525,4360.0,1160.0
526,4398.0,1169.0
527,4399.0,1170.0
528,4405.0,1171.0
529,4407.0,4353.0
530,4417.0,1172.0
531,4427.0,1174.0
532,14560.0,3479.0
533,4440.0,1177.0
534,4478.0,1181.0
535,4494.0,1182.0
536,4550.0,1203.0
537,4566.0,1207.0
538,4567.0,1208.0
539,4575.0,1209.0
540,4577.0,1210.0
541,4578.0,1211.0
542,4588.0,1212.0
543,4603.0,1217.0
544,4621.0,1226.0
545,4630.0,1227.0
546,4632.0,1230.0
547,4644.0,1231.0
548,4652.0,1232.0
549,4656.0,1233.0
550,4659.0,1234.0
551,4664.0,1236.0
552,4690.0,1239.0
553,4697.0,1242.0
554,4722.0,1247.0
555,4732.0,1248.0
556,4733.0,1249.0
557,4738.0,1250.0
558,4742.0,2014.0
559,4749.0,1253.0
560,4756.0,1255.0
561,4770.0,1257.0
562,4785.0,1258.0
563,4788.0,1254.0
564,4790.0,1260.0
565,4791.0,1261.0
566,4792.0,1262.0
567,4818.0,1263.0
568,4835.0,1264.0
569,4836.0,1265.0
570,4859.0,1267.0
571,4860.0,1270.0
572,4904.0,1272.0
573,4916.0,1274.0
574,4918.0,2295.0
575,4924.0,1276.0
576,4937.0,1280.0
577,4949.0,1281.0
578,4952.0,1282.0
579,4964.0,1283.0
580,4965.0,3024.0
581,4972.0,1287.0
582,4993.0,1285.0
583,5002.0,1294.0
584,5033.0,791.0
585,5035.0,1301.0
586,5078.0,1319.0
587,5080.0,1320.0
588,5083.0,1321.0
589,5094.0,1322.0
590,5110.0,1327.0
591,5111.0,473.0
592,5126.0,1334.0
593,5128.0,4821.0
594,5142.0,1337.0
595,5145.0,1338.0
596,5160.0,2812.0
597,5191.0,1340.0
598,5205.0,1342.0
599,5217.0,3189.0
600,5220.0,132.0
601,5236.0,1351.0
602,5244.0,1353.0
603,5248.0,1357.0
604,5253.0,1358.0
605,5263.0,1359.0
606,5271.0,492.0
607,5272.0,1364.0
608,5273.0,1368.0
609,5275.0,1372.0
610,5279.0,1375.0
611,5280.0,1376.0
612,5283.0,537.0
613,5290.0,1378.0
614,5291.0,1379.0
615,5298.0,1381.0
616,5299.0,3557.0
617,5301.0,1382.0
618,5310.0,1383.0
619,11081.0,1751.0
620,5318.0,1389.0
621,5320.0,1391.0
622,5322.0,1392.0
623,5339.0,1394.0
624,5340.0,1395.0
625,5343.0,1397.0
626,5356.0,1416.0
627,5361.0,1417.0
628,5363.0,1418.0
629,5368.0,1419.0
630,5374.0,1426.0
631,5385.0,1430.0
632,5397.0,1432.0
633,5401.0,1434.0
634,5437.0,2118.0
635,5438.0,1449.0
636,5442.0,1450.0
637,5447.0,1452.0
638,5455.0,1454.0
639,5461.0,1455.0
640,5462.0,1456.0
641,5471.0,1448.0
642,5476.0,1460.0
643,5478.0,1461.0
644,8134.0,2021.0
645,5486.0,1466.0
646,5490.0,1467.0
647,5495.0,1468.0
648,5498.0,1470.0
649,5499.0,1473.0
650,5511.0,1477.0
651,5542.0,1480.0
652,5544.0,1483.0
653,5558.0,1488.0
654,5560.0,1489.0
655,5565.0,1490.0
656,5567.0,3921.0
657,5570.0,1492.0
658,5577.0,4205.0
659,5589.0,1494.0
660,5594.0,1495.0
661,5601.0,1499.0
662,5618.0,1502.0
663,5649.0,1514.0
664,5663.0,1523.0
665,5668.0,1530.0
666,5686.0,1533.0
667,5694.0,1534.0
668,5731.0,1535.0
669,5749.0,1537.0
670,5765.0,1541.0
671,5768.0,1675.0
672,5772.0,1542.0
673,5800.0,1545.0
674,5802.0,1547.0
675,5811.0,1548.0
676,5819.0,1551.0
677,5834.0,1555.0
678,5844.0,880.0
679,5852.0,1422.0
680,5853.0,1561.0
681,5854.0,1560.0
682,5857.0,1562.0
683,5867.0,1567.0
