,CARMA,WRI
284,8139.0,1508.0
285,8140.0,1509.0
286,8343.0,1542.0
287,8369.0,2287.0
288,8379.0,3207.0
289,8462.0,1579.0
290,8506.0,1589.0
291,8511.0,1591.0
292,8592.0,1613.0
293,8639.0,1624.0
294,8654.0,1629.0
295,8703.0,1634.0
296,8775.0,1646.0
297,8778.0,1648.0
298,9034.0,1670.0
299,9099.0,1673.0
300,9103.0,2583.0
301,9424.0,1700.0
302,9486.0,1711.0
303,9497.0,1715.0
304,9499.0,1716.0
305,9511.0,1721.0
306,9519.0,1726.0
307,9547.0,1729.0
308,9549.0,1731.0
309,9705.0,1741.0
310,9879.0,1761.0
311,9970.0,1770.0
312,10236.0,1799.0
313,10259.0,1803.0
314,10276.0,1808.0
315,10278.0,1811.0
316,10381.0,1826.0
317,10413.0,1798.0
318,10500.0,1837.0
319,10558.0,1845.0
320,10605.0,1852.0
321,10660.0,1858.0
322,10754.0,1871.0
323,10762.0,1872.0
324,10838.0,1882.0
325,10841.0,1883.0
326,10892.0,1890.0
327,10902.0,1896.0
328,10921.0,1908.0
329,10945.0,1911.0
330,10948.0,1913.0
331,10954.0,1795.0
332,10959.0,1909.0
333,10961.0,1916.0
334,10972.0,1923.0
335,10973.0,1258.0
336,10974.0,1929.0
337,11024.0,1943.0
338,11038.0,1945.0
339,11057.0,1948.0
340,11111.0,1957.0
341,11121.0,1965.0
342,11139.0,1969.0
343,11163.0,1986.0
344,11181.0,1989.0
345,11211.0,1990.0
346,11247.0,1994.0
347,11273.0,2885.0
348,11293.0,2003.0
349,11321.0,109.0
350,11322.0,1797.0
351,11354.0,2010.0
352,11362.0,2016.0
353,11388.0,2018.0
354,11403.0,2021.0
355,11458.0,2027.0
356,11459.0,2028.0
357,11478.0,3733.0
358,11538.0,2052.0
359,11544.0,3677.0
360,11560.0,2053.0
361,11562.0,87.0
362,11583.0,2058.0
363,11609.0,3245.0
364,11723.0,2091.0
365,11725.0,2083.0
366,11754.0,2086.0
367,11806.0,2092.0
368,11828.0,2098.0
369,11870.0,1854.0
370,11986.0,2116.0
371,11998.0,2118.0
372,12073.0,2124.0
373,12105.0,2138.0
374,12128.0,2139.0
375,12155.0,2146.0
376,12165.0,2152.0
377,12181.0,2160.0
378,12261.0,2170.0
379,12283.0,2172.0
380,12288.0,2174.0
381,12289.0,2175.0
382,12420.0,2184.0
383,12457.0,124.0
384,12482.0,2188.0
385,12531.0,2195.0
386,12561.0,3241.0
387,12573.0,2204.0
388,12579.0,2209.0
389,12595.0,2210.0
390,12613.0,2213.0
391,12614.0,2214.0
392,12641.0,2245.0
393,12645.0,2224.0
394,12666.0,2225.0
395,12703.0,2230.0
396,12770.0,2232.0
397,12791.0,2236.0
398,12792.0,2237.0
399,12795.0,2241.0
400,12881.0,2263.0
401,12924.0,2267.0
402,12948.0,2270.0
403,12956.0,2275.0
404,13075.0,2301.0
405,13236.0,2326.0
406,13260.0,2532.0
407,13261.0,2724.0
408,13291.0,2337.0
409,13330.0,2342.0
410,13428.0,2362.0
411,13443.0,2368.0
412,13525.0,3000.0
413,13586.0,2387.0
414,13656.0,2393.0
415,13743.0,2403.0
416,13750.0,2405.0
417,13777.0,2410.0
418,13895.0,2418.0
419,13901.0,2421.0
420,13929.0,2426.0
421,13965.0,2438.0
422,13968.0,2439.0
423,13996.0,2441.0
424,14029.0,2444.0
425,14074.0,2453.0
426,14080.0,2456.0
427,14120.0,2468.0
428,14152.0,2473.0
429,14154.0,2475.0
430,14157.0,2476.0
431,14159.0,2477.0
432,14197.0,2485.0
433,14209.0,2486.0
434,14214.0,2487.0
435,14242.0,2493.0
436,14243.0,2494.0
437,14248.0,2496.0
438,14254.0,2499.0
439,14256.0,2500.0
440,14257.0,2501.0
441,14273.0,2513.0
442,14278.0,2514.0
443,14286.0,2515.0
444,14289.0,2474.0
445,14293.0,2516.0
446,14420.0,2534.0
447,14424.0,2535.0
448,14425.0,2536.0
449,14430.0,2537.0
450,14500.0,2544.0
451,14501.0,2545.0
452,14502.0,2546.0
453,14555.0,2548.0
454,14570.0,3490.0
455,14657.0,2642.0
456,14666.0,2565.0
457,14775.0,2586.0
458,14811.0,2591.0
459,14823.0,2594.0
460,14885.0,2605.0
461,14886.0,2606.0
462,14976.0,2618.0
463,14996.0,2627.0
464,15154.0,2657.0
465,15159.0,2886.0
466,15172.0,2660.0
467,15231.0,2669.0
468,15235.0,2671.0
469,15252.0,2681.0
470,15278.0,2684.0
471,15361.0,2698.0
472,15376.0,2705.0
473,15381.0,2708.0
474,15548.0,2722.0
475,15584.0,2730.0
476,15586.0,2731.0
477,15589.0,2732.0
478,15597.0,3024.0
479,15599.0,2733.0
480,15600.0,2734.0
481,15633.0,2742.0
482,15642.0,2745.0
483,15720.0,2750.0
484,15745.0,2757.0
485,15781.0,3243.0
486,15861.0,2773.0
487,15917.0,2785.0
488,15932.0,2786.0
489,15953.0,2789.0
490,15963.0,2796.0
491,15967.0,2790.0
492,19926.0,3488.0
493,16011.0,2809.0
494,16022.0,2811.0
495,16039.0,2832.0
496,16148.0,2838.0
497,16186.0,2847.0
498,16203.0,2850.0
499,16209.0,784.0
500,16268.0,2853.0
501,16277.0,2855.0
502,16310.0,2864.0
503,16373.0,3077.0
504,16388.0,2881.0
505,16424.0,2595.0
506,16431.0,3194.0
507,16433.0,3195.0
508,16439.0,3197.0
509,16440.0,3198.0
510,16443.0,3199.0
511,16444.0,3200.0
512,16445.0,3201.0
513,16456.0,2889.0
514,16732.0,2904.0
515,16793.0,2912.0
516,16809.0,645.0
517,16861.0,2932.0
518,16897.0,2941.0
519,16918.0,2948.0
520,16927.0,2949.0
521,16982.0,2961.0
522,16984.0,2963.0
523,16992.0,2973.0
524,17004.0,2980.0
525,17008.0,2981.0
526,17141.0,2989.0
527,17146.0,2990.0
528,17208.0,2998.0
529,17283.0,3011.0
530,17284.0,3014.0
531,17300.0,3015.0
532,17356.0,3022.0
533,17357.0,3023.0
534,17368.0,2942.0
535,17499.0,3049.0
536,17552.0,3059.0
537,17554.0,3062.0
538,17637.0,2943.0
539,17644.0,3079.0
540,17669.0,3095.0
541,17690.0,3101.0
542,17703.0,3105.0
543,17714.0,3108.0
544,17803.0,3113.0
545,17805.0,1790.0
546,17839.0,468.0
547,17845.0,3117.0
548,17916.0,3139.0
549,17918.0,3134.0
550,17940.0,3143.0
551,18041.0,3165.0
552,18068.0,3171.0
553,18131.0,3185.0
554,18172.0,3204.0
555,18203.0,3205.0
556,18233.0,3210.0
557,18247.0,3212.0
558,18250.0,3214.0
559,18338.0,3226.0
560,18346.0,3227.0
561,18347.0,3228.0
562,18364.0,3233.0
563,18401.0,3247.0
564,18403.0,3248.0
565,18405.0,3250.0
566,18421.0,3251.0
567,18459.0,3256.0
568,18464.0,3257.0
569,18483.0,3260.0
570,18560.0,3279.0
571,18600.0,3297.0
572,18660.0,3305.0
573,18678.0,412.0
574,18749.0,3313.0
575,18754.0,3314.0
576,18773.0,3326.0
577,18775.0,3327.0
578,18869.0,3351.0
579,18914.0,3365.0
580,18920.0,3367.0
581,18953.0,3399.0
582,18979.0,3379.0
583,19028.0,3397.0
584,19033.0,3398.0
585,19138.0,3414.0
586,19175.0,3415.0
587,19298.0,3427.0
588,19346.0,3430.0
589,19347.0,3434.0
590,19480.0,3442.0
591,19552.0,3443.0
592,19565.0,3451.0
593,19585.0,3455.0
594,19622.0,3459.0
595,19725.0,3465.0
596,19733.0,3466.0
597,19776.0,3472.0
598,19779.0,3473.0
599,19782.0,3474.0
600,19784.0,3477.0
601,19791.0,3478.0
602,19878.0,3483.0
603,20055.0,1056.0
604,20150.0,3522.0
