,OPSD,WEPP
295,506.0,2842.0
296,2567.0,13493.0
297,511.0,2885.0
298,512.0,2894.0
299,515.0,2914.0
300,516.0,12462.0
301,522.0,2945.0
302,530.0,14923.0
303,582.0,3207.0
304,538.0,17705.0
305,540.0,22257.0
306,542.0,2994.0
307,2807.0,4751.0
308,546.0,11129.0
309,552.0,2984.0
310,554.0,2997.0
311,555.0,3002.0
312,556.0,3023.0
313,557.0,3024.0
314,558.0,3026.0
315,559.0,4372.0
316,560.0,3053.0
317,561.0,3056.0
318,563.0,3079.0
319,564.0,3082.0
320,565.0,3084.0
321,2611.0,3115.0
322,2867.0,9475.0
323,569.0,3125.0
324,570.0,3133.0
325,572.0,3138.0
326,573.0,3143.0
327,574.0,3149.0
328,577.0,3180.0
329,578.0,3099.0
330,583.0,3203.0
331,585.0,9404.0
332,586.0,15217.0
333,587.0,3209.0
334,589.0,3212.0
335,615.0,3425.0
336,593.0,3244.0
337,594.0,3252.0
338,595.0,3257.0
339,596.0,3269.0
340,597.0,3270.0
341,598.0,3314.0
342,599.0,3323.0
343,600.0,3328.0
344,601.0,3332.0
345,602.0,3347.0
346,603.0,3359.0
347,605.0,3378.0
348,606.0,3381.0
349,3779.0,23922.0
350,608.0,3390.0
351,609.0,3396.0
352,610.0,3400.0
353,611.0,18779.0
354,614.0,3423.0
355,617.0,3440.0
356,619.0,3514.0
357,620.0,3527.0
358,621.0,3546.0
359,623.0,3548.0
360,624.0,3577.0
361,625.0,3576.0
362,627.0,3607.0
363,629.0,3630.0
364,630.0,30602.0
365,631.0,3664.0
366,632.0,3667.0
367,634.0,3581.0
368,637.0,3710.0
369,638.0,3761.0
370,640.0,3802.0
371,642.0,16834.0
372,643.0,3882.0
373,644.0,3883.0
374,645.0,3886.0
375,646.0,3905.0
376,647.0,3922.0
377,648.0,3958.0
378,653.0,3998.0
379,654.0,4016.0
380,655.0,4036.0
381,656.0,4038.0
382,657.0,4044.0
383,660.0,13170.0
384,661.0,3881.0
385,663.0,4137.0
386,664.0,4161.0
387,665.0,22981.0
388,667.0,4180.0
389,668.0,4184.0
390,669.0,1811.0
391,670.0,28676.0
392,671.0,30900.0
393,672.0,4238.0
394,673.0,4240.0
395,674.0,4248.0
396,675.0,4249.0
397,676.0,4257.0
398,677.0,4260.0
399,682.0,4302.0
400,683.0,4326.0
401,684.0,4329.0
402,685.0,17420.0
403,686.0,4339.0
404,687.0,4349.0
405,688.0,4369.0
406,691.0,4404.0
407,693.0,1806.0
408,694.0,2106.0
409,695.0,2112.0
410,696.0,2285.0
411,697.0,3254.0
412,698.0,3572.0
413,699.0,3675.0
414,700.0,4334.0
415,703.0,4332.0
416,702.0,4335.0
417,704.0,4432.0
418,708.0,29928.0
419,709.0,20485.0
