,GEO,WEPP
293,363.0,9863.0
294,364.0,9966.0
295,365.0,9983.0
296,367.0,28405.0
297,369.0,10036.0
298,370.0,10040.0
299,371.0,10081.0
300,372.0,10606.0
301,373.0,10104.0
302,374.0,10093.0
303,375.0,10140.0
304,377.0,16493.0
305,378.0,10503.0
306,380.0,10518.0
307,381.0,10525.0
308,382.0,10672.0
309,383.0,3961.0
310,384.0,10801.0
311,385.0,10849.0
312,386.0,10861.0
313,387.0,10877.0
314,388.0,10881.0
315,389.0,10885.0
316,390.0,10895.0
317,391.0,10909.0
318,392.0,10967.0
319,396.0,17655.0
320,397.0,11108.0
321,399.0,11110.0
322,400.0,11122.0
323,401.0,11159.0
324,403.0,11213.0
325,404.0,11287.0
326,405.0,11286.0
327,406.0,11301.0
328,407.0,11312.0
329,408.0,27251.0
330,409.0,11588.0
331,411.0,12147.0
332,413.0,10447.0
333,414.0,29476.0
334,415.0,11915.0
335,417.0,11918.0
336,418.0,11917.0
337,420.0,12034.0
338,421.0,12165.0
339,422.0,12203.0
340,423.0,12264.0
341,424.0,12289.0
342,425.0,12429.0
343,426.0,12428.0
344,427.0,12466.0
345,428.0,12500.0
346,429.0,12503.0
347,430.0,28484.0
348,432.0,12578.0
349,433.0,12772.0
350,434.0,12877.0
351,435.0,12897.0
352,436.0,13023.0
353,437.0,13051.0
354,438.0,15777.0
355,439.0,13135.0
356,440.0,13190.0
357,442.0,13289.0
358,443.0,30493.0
359,444.0,13376.0
360,445.0,13409.0
361,447.0,13470.0
362,448.0,13471.0
363,449.0,13509.0
364,451.0,13590.0
365,452.0,13595.0
366,454.0,13601.0
367,455.0,19135.0
368,459.0,13683.0
369,460.0,13687.0
370,462.0,13702.0
371,463.0,13724.0
372,464.0,13790.0
373,465.0,13884.0
374,466.0,13913.0
375,468.0,13934.0
376,469.0,13981.0
377,471.0,14093.0
378,472.0,14113.0
379,473.0,14308.0
380,474.0,14353.0
381,475.0,14400.0
382,476.0,15058.0
383,477.0,14401.0
384,478.0,14402.0
385,479.0,14414.0
386,480.0,14415.0
387,481.0,14433.0
388,482.0,23634.0
389,483.0,14501.0
390,484.0,14544.0
391,485.0,14547.0
392,486.0,14587.0
393,487.0,14601.0
394,488.0,14606.0
395,489.0,14617.0
396,490.0,14689.0
397,491.0,14726.0
398,492.0,14741.0
399,498.0,14848.0
400,499.0,14851.0
401,500.0,14900.0
402,501.0,14995.0
403,502.0,15038.0
404,503.0,15059.0
405,506.0,15103.0
406,507.0,15125.0
407,508.0,15161.0
408,509.0,15197.0
409,510.0,15199.0
410,511.0,15227.0
411,512.0,15257.0
412,513.0,15256.0
413,514.0,15259.0
414,515.0,15263.0
415,516.0,1116.0
416,517.0,15278.0
417,518.0,15322.0
418,519.0,15353.0
419,520.0,15354.0
420,521.0,15370.0
421,522.0,15372.0
422,523.0,15373.0
423,524.0,15382.0
424,525.0,15423.0
425,526.0,15432.0
426,527.0,15440.0
427,528.0,15451.0
428,529.0,15459.0
429,530.0,15483.0
430,531.0,15514.0
431,532.0,15516.0
432,533.0,15536.0
433,534.0,15563.0
434,535.0,15744.0
435,537.0,15865.0
436,539.0,15955.0
437,540.0,16018.0
438,541.0,16025.0
439,542.0,15860.0
440,544.0,16144.0
441,545.0,16145.0
442,546.0,16148.0
443,547.0,16191.0
444,549.0,16266.0
445,550.0,16269.0
446,551.0,16285.0
447,553.0,18369.0
448,554.0,16289.0
449,555.0,16293.0
450,556.0,16296.0
451,557.0,16341.0
452,558.0,16388.0
453,559.0,16391.0
454,560.0,16401.0
455,561.0,16485.0
456,562.0,16498.0
457,563.0,16530.0
458,564.0,16553.0
459,565.0,16585.0
460,566.0,16648.0
461,567.0,16693.0
462,570.0,8312.0
463,571.0,16802.0
464,573.0,16829.0
465,574.0,16832.0
466,575.0,16834.0
467,576.0,16841.0
468,577.0,16868.0
469,578.0,16875.0
470,579.0,16910.0
471,580.0,28205.0
472,581.0,26592.0
473,582.0,1908.0
474,584.0,2174.0
475,585.0,30638.0
476,586.0,17199.0
477,588.0,17233.0
478,590.0,17383.0
479,591.0,17334.0
480,592.0,17463.0
481,594.0,17381.0
482,595.0,17505.0
483,596.0,17509.0
484,598.0,17511.0
485,599.0,17581.0
486,600.0,17616.0
487,601.0,17647.0
488,602.0,17686.0
489,603.0,18807.0
490,604.0,17731.0
491,605.0,17751.0
492,606.0,17752.0
493,607.0,17753.0
494,608.0,17768.0
495,610.0,17831.0
496,611.0,17914.0
497,612.0,17919.0
498,613.0,17920.0
499,614.0,17922.0
500,615.0,22248.0
501,616.0,17966.0
502,617.0,18000.0
503,618.0,18006.0
504,621.0,18010.0
505,623.0,18016.0
506,625.0,18107.0
507,626.0,18117.0
508,627.0,18219.0
509,628.0,9255.0
510,629.0,18262.0
511,630.0,18283.0
512,633.0,18342.0
513,634.0,18367.0
514,635.0,18382.0
515,636.0,18394.0
516,637.0,18438.0
517,638.0,18439.0
518,640.0,18443.0
519,641.0,18469.0
520,643.0,18543.0
521,644.0,18578.0
522,645.0,18602.0
523,646.0,18727.0
524,647.0,18732.0
525,648.0,18858.0
526,649.0,18877.0
527,650.0,18774.0
528,651.0,18974.0
529,653.0,19017.0
530,654.0,19028.0
531,655.0,19121.0
532,656.0,19141.0
533,657.0,19157.0
534,658.0,19158.0
535,659.0,19192.0
536,660.0,19204.0
537,661.0,19206.0
538,662.0,19291.0
539,663.0,19292.0
540,664.0,19318.0
541,665.0,19505.0
542,666.0,19581.0
543,667.0,19549.0
544,670.0,19696.0
545,671.0,19720.0
546,672.0,19755.0
547,673.0,19791.0
548,674.0,19802.0
549,675.0,19823.0
550,677.0,19959.0
551,678.0,20099.0
552,680.0,20136.0
553,681.0,20192.0
554,682.0,20220.0
555,683.0,20228.0
556,684.0,20230.0
557,685.0,20315.0
558,686.0,13549.0
559,687.0,20378.0
560,688.0,31094.0
561,689.0,20447.0
562,690.0,20451.0
563,691.0,20471.0
564,692.0,20479.0
565,694.0,21095.0
566,695.0,20729.0
567,696.0,20751.0
568,697.0,20932.0
569,698.0,20945.0
570,699.0,21455.0
571,700.0,21042.0
572,701.0,21050.0
573,702.0,21064.0
574,703.0,21072.0
575,704.0,21098.0
576,705.0,21132.0
577,706.0,21133.0
578,707.0,21150.0
579,709.0,21213.0
580,710.0,21307.0
581,711.0,21342.0
582,712.0,21351.0
583,713.0,21458.0
584,714.0,21459.0
585,715.0,21583.0
586,716.0,21592.0
587,718.0,21665.0
588,719.0,21720.0
589,720.0,21785.0
590,721.0,21793.0
591,722.0,21890.0
592,723.0,21949.0
593,724.0,22026.0
594,725.0,22041.0
595,726.0,22053.0
596,728.0,22217.0
597,729.0,22225.0
598,730.0,22240.0
599,732.0,22287.0
