,IWPDCY,WEPP
0,0.0,52.0
1,1.0,70.0
2,2.0,372.0
3,3.0,383.0
4,4.0,570.0
5,6.0,725.0
6,7.0,923.0
7,9.0,1204.0
8,10.0,1349.0
9,11.0,1449.0
10,12.0,1450.0
11,13.0,1473.0
12,14.0,1648.0
13,17.0,1657.0
14,18.0,1656.0
15,20.0,1866.0
16,21.0,1942.0
17,22.0,1962.0
18,23.0,15.0
19,24.0,4107.0
20,25.0,2233.0
21,26.0,2257.0
22,27.0,2268.0
23,28.0,2621.0
24,29.0,2641.0
25,30.0,3052.0
26,31.0,3070.0
27,33.0,3128.0
28,35.0,3187.0
29,36.0,3266.0
30,37.0,3474.0
31,38.0,3487.0
32,39.0,3795.0
33,41.0,3791.0
34,44.0,3845.0
35,46.0,4038.0
36,48.0,4277.0
37,49.0,4475.0
38,51.0,6801.0
39,52.0,6830.0
40,53.0,6839.0
41,54.0,7001.0
42,55.0,7367.0
43,56.0,7621.0
44,57.0,7699.0
45,58.0,7827.0
46,59.0,7445.0
47,60.0,7943.0
48,61.0,7971.0
49,63.0,8741.0
50,66.0,8843.0
51,67.0,9234.0
52,68.0,9285.0
53,69.0,9303.0
54,71.0,9321.0
55,73.0,9401.0
56,77.0,9570.0
57,78.0,9563.0
58,81.0,9588.0
59,83.0,9613.0
60,84.0,9934.0
61,85.0,10104.0
62,87.0,10150.0
63,88.0,10205.0
64,89.0,10574.0
65,90.0,10801.0
66,91.0,11113.0
67,92.0,11124.0
68,93.0,11447.0
69,96.0,11468.0
70,97.0,11473.0
71,98.0,11338.0
72,99.0,11575.0
73,102.0,11727.0
74,103.0,11780.0
75,104.0,11850.0
76,107.0,12019.0
77,108.0,12031.0
78,110.0,12034.0
79,112.0,12184.0
80,113.0,12329.0
81,114.0,12424.0
82,115.0,12488.0
83,116.0,12539.0
84,117.0,12716.0
85,119.0,12726.0
86,120.0,12715.0
87,121.0,12877.0
88,123.0,12879.0
89,124.0,12887.0
90,126.0,13046.0
91,127.0,13141.0
92,129.0,13265.0
93,131.0,13345.0
94,133.0,11804.0
95,135.0,11825.0
96,136.0,12897.0
97,137.0,12906.0
98,145.0,13910.0
99,139.0,14147.0
100,140.0,14148.0
101,141.0,14149.0
102,144.0,13898.0
103,146.0,14086.0
104,147.0,14463.0
105,150.0,14526.0
106,151.0,14741.0
107,154.0,15073.0
108,155.0,14893.0
109,157.0,14943.0
110,159.0,15011.0
111,160.0,15063.0
112,162.0,15103.0
113,166.0,15382.0
114,167.0,15383.0
115,169.0,15483.0
116,170.0,15668.0
117,171.0,15689.0
118,173.0,15695.0
119,175.0,15731.0
120,176.0,15743.0
121,177.0,16010.0
122,179.0,15966.0
123,181.0,26261.0
124,182.0,16025.0
125,183.0,16028.0
126,184.0,16066.0
127,186.0,16092.0
128,187.0,16095.0
129,190.0,16171.0
130,192.0,16289.0
131,193.0,16413.0
132,194.0,16519.0
133,195.0,16553.0
134,196.0,16555.0
135,199.0,16693.0
136,201.0,16733.0
137,202.0,16926.0
138,203.0,17021.0
139,205.0,17083.0
140,206.0,17085.0
141,207.0,17180.0
142,209.0,17188.0
143,210.0,12561.0
144,212.0,17480.0
145,213.0,17235.0
146,219.0,17494.0
147,217.0,18211.0
148,218.0,18222.0
149,220.0,18250.0
150,222.0,18408.0
151,223.0,18596.0
152,224.0,18602.0
153,226.0,18727.0
154,227.0,18927.0
155,230.0,18980.0
156,231.0,19028.0
157,232.0,19154.0
158,233.0,19461.0
159,234.0,20605.0
160,235.0,19421.0
161,236.0,19763.0
162,238.0,19907.0
163,239.0,19925.0
164,240.0,30703.0
165,241.0,19979.0
166,244.0,20287.0
167,245.0,20339.0
168,246.0,20395.0
169,249.0,20408.0
170,251.0,21192.0
171,252.0,20591.0
172,254.0,19891.0
173,256.0,20875.0
174,257.0,20892.0
175,259.0,20932.0
176,260.0,20944.0
177,261.0,21713.0
178,262.0,21728.0
179,263.0,21940.0
180,264.0,22787.0
181,267.0,22794.0
182,268.0,22959.0
183,269.0,23493.0
184,271.0,23502.0
185,272.0,23515.0
186,274.0,1651.0
187,275.0,23651.0
188,277.0,23812.0
189,278.0,23822.0
190,280.0,24147.0
191,283.0,24753.0
192,284.0,23564.0
193,285.0,24516.0
194,287.0,25044.0
195,288.0,24940.0
196,289.0,25264.0
197,290.0,25344.0
198,293.0,25861.0
199,295.0,25893.0
200,296.0,26207.0
201,297.0,26221.0
202,298.0,26210.0
203,299.0,26262.0
204,300.0,26350.0
205,301.0,26378.0
206,302.0,11573.0
207,304.0,26397.0
208,305.0,26509.0
209,306.0,26431.0
210,307.0,26445.0
211,310.0,26471.0
212,311.0,26479.0
213,312.0,26528.0
214,315.0,26784.0
215,316.0,26896.0
216,317.0,27066.0
217,320.0,27159.0
218,321.0,27193.0
219,322.0,27360.0
220,323.0,26938.0
221,324.0,27363.0
222,325.0,27457.0
223,326.0,27481.0
224,327.0,27364.0
225,328.0,2670.0
226,334.0,27515.0
227,340.0,27487.0
228,341.0,27604.0
229,342.0,27620.0
230,344.0,27770.0
231,401.0,30498.0
232,348.0,27840.0
233,349.0,27844.0
234,351.0,27845.0
235,352.0,27860.0
236,353.0,27861.0
237,354.0,27862.0
238,357.0,24893.0
239,358.0,27991.0
240,359.0,28160.0
241,361.0,28406.0
242,362.0,20588.0
243,363.0,28661.0
244,369.0,28702.0
245,370.0,28745.0
246,372.0,28813.0
247,373.0,28814.0
248,375.0,28980.0
249,376.0,28991.0
250,377.0,28981.0
251,379.0,29277.0
252,380.0,29298.0
253,381.0,29319.0
254,382.0,29369.0
255,385.0,20589.0
256,387.0,26466.0
257,388.0,29577.0
258,389.0,29642.0
259,391.0,29989.0
260,392.0,30044.0
261,396.0,30046.0
262,397.0,30080.0
263,403.0,30503.0
264,404.0,30509.0
265,405.0,30694.0
266,409.0,30781.0
267,411.0,30859.0
268,413.0,32099.0
269,414.0,32100.0
270,415.0,815.0
271,416.0,20857.0
