Area / Date,Production Type,Code,Name,Intalled Capacity at the beginning of year [MW],Current Installed Capacity [MW],Location,Voltage Connection Level [kV],Commissioning Date,Decommissioning Date,country
BZN|DE-LU / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,11WD7EMSL-G-KW-T,Emsland,1820,1820,intra_zonal,380,26.10.2009,,ME
BZN|DE-LU / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,11WD2IRSC000179N,Irsching,1822,1407,intra_zonal,380,26.10.2009,,ME
BZN|DE-LU / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,11WD7STUM----KW9,KW Hamm-Uentrop,850,850,intra_zonal,380,02.07.2010,,ME
BZN|DE-LU / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,11WD7NORF5G--KWG,Kraftwerk Lausward,845,845,intra_zonal,110,08.11.2010,,ME
BZN|DE-LU / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,11WD2GEBE000177K,Franken I,823,823,intra_zonal,110,26.10.2009,,ME
BZN|DE-LU / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,11WD7KWKN----KW1,Knapsack 1,784,784,intra_zonal,380,20.01.2010,,ME
BZN|DE-LU / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,11WD7BRAU5G-KW-N,GuD Dormagen,562,562,intra_zonal,110,26.10.2009,,ME
BZN|DE-LU / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,11WD7GERS-X-KW-C,Gersteinwerk,522,522,intra_zonal,380,26.10.2009,,ME
BZN|DE-LU / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,11WD2STAU0001800,Staudinger,1132,510,intra_zonal,380,26.10.2009,,ME
BZN|DE-LU / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,11WD2GKBB000334V,GKB Mittelsbueren,450,450,intra_zonal,110,07.12.2016,,ME
BZN|DE-LU / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,11WD8MITT5G----0,HKW Mitte,444,444,intra_zonal,110,26.10.2009,,ME
BZN|DE-LU / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,11WD7KWKN1GBL203,Knapsack 2,426,426,intra_zonal,380,31.05.2013,,ME
BZN|DE-LU / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,11WD7LUDW2GA800M,GuD Ludwigshafen Mitte,412,412,intra_zonal,220,02.11.2011,,ME
BZN|DE-LU / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,11WD2SUE2000103B,Sued GuD2,400,400,intra_zonal,110,31.12.2014,,ME
BZN|DE-LU / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,11WD7LUDW5GSUEDE,GuD Ludwigshafen Süd,345,345,intra_zonal,110,02.11.2011,,ME
BZN|DE-LU / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,11WD2HUKW000298J,Huntorf,321,321,intra_zonal,220,26.10.2009,,ME
BZN|DE-LU / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,11WD8LICH5G----1,HKW Lichterfelde,300,300,intra_zonal,110,26.10.2009,,ME
