Area / Date,Production Type,Code,Name,Intalled Capacity at the beginning of year [MW],Current Installed Capacity [MW],Location,Voltage Connection Level [kV],Commissioning Date,Decommissioning Date,country
BZN|GB / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,48WSTN00000FELLH,FELL,180,180,GB,400,01.01.2000,,GB
BZN|GB / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,48WSTN00000FAWNX,FAWN,150,150,GB,400,01.01.2000,,GB
BZN|GB / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,48WSTN00000GRMOP,GRMO,144,144,GB,275,29.03.2005,,GB
BZN|GB / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,48WSTN000TAYL-G3,TAYL-G,144,144,GB,275,01.01.2000,,GB
BZN|GB / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,48WSTN00000INDQH,INDQ,140,140,GB,400,01.01.2000,,GB
BZN|GB / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,48WSTN000DRAXXGK,DRAXXG,96,96,GB,400,01.01.2000,,GB
BZN|GB / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,48WSTN000GRAI-GD,GRAI-G,58,58,GB,400,01.01.2000,,GB
BZN|GB / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,48WSTN0000RUGGTU,RUGGT,50,50,GB,400,01.01.2000,,GB
BZN|GB / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,48WSTN0000WBUGT2,WBUGT,40,40,GB,400,01.01.2000,,GB
BZN|GB / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,48WSTN000FIDL-GA,FIDL-G,34,34,GB,275,01.01.2000,,GB
BZN|GB / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,48WSTN000RATSGTB,RATSGT,34,34,GB,400,01.01.2000,,GB
BZN|GB / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,48WSTN000FERR-GE,FERR-G,34,34,GB,275,01.01.2000,,GB
BZN|GB / 01.01.2021 00:00 - 01.01.2022 00:00,Fossil Gas,48WSTN000KEADGT6,KEADGT,30,30,GB,400,01.01.2000,,GB
