Name,Block,Technology,Capacity,DateIn,DateRetrofit,Country,lat,lon,Fueltype,source
Wylfa,2,Magnox-Reaktor,490.0,1971,2012,United Kingdom,52.216666666667,1.6194444444444,Nuclear,
Weißrussisches Kernkraftwerk,1,PWR,1109.0,2021,,Belarus,54.761111,26.089167,Nuclear,
Weißrussisches Kernkraftwerk,2,PWR,1109.0,2022,,Belarus,54.761111,26.089167,Nuclear,
Olkiluoto,3,PWR,1600.0,,,Finland,61.236666666667,21.442222222222,Nuclear,https://www.world-nuclear-news.org/Articles/Turbine-work-delays-Olkiluoto-3-start-up
Flamanville,3,EPR (DWR),1600.0,,,France,47.903611111111,7.5625,Nuclear,https://www.neimagazine.com/news/newsflamanville-3-startup-pushed-back-to-2024-7853088
Kaliningrad,1,WWER-1000/491,1109.0,,,Russian Federation,54.940619,22.166276,Nuclear,
Mochovce,3,PWR,440.0,,,Slovakia,48.263888888889,18.456944444444,Nuclear,https://www.world-nuclear-news.org/Articles/New-nuclear-reactor-will-make-Slovakia-a-power-exp
Mochovce,4,PWR,440.0,,,Slovakia,48.263888888889,18.456944444444,Nuclear,https://www.world-nuclear-news.org/Articles/New-nuclear-reactor-will-make-Slovakia-a-power-exp
Temelín,3 und 4,DWR,892.0,,,Czechia,49.181944444444,14.381388888889,Nuclear,
Chmelnyzkyj,3,PWR,1035.0,,,Ukraine,50.305,26.645,Nuclear,https://www.world-nuclear-news.org/Articles/Construction-work-resumes-on-Khmelnitsky-units
Chmelnyzkyj,4,PWR,1035.0,,,Ukraine,50.305,26.645,Nuclear,https://www.world-nuclear-news.org/Articles/Construction-work-resumes-on-Khmelnitsky-units
Hinkley Point,C1,EPR  ,1630.0,,,United Kingdom,50.913888888889,0.96388888888889,Nuclear,https://www.bbc.com/news/uk-england-somerset-57227918
Hinkley Point,C2,EPR  ,1630.0,,,United Kingdom,50.913888888889,0.96388888888889,Nuclear,https://www.bbc.com/news/uk-england-somerset-57227918
Windscale AGR ,1,AGR,,,1957,United Kingdom,52.216666666667,1.6194444444444,Nuclear,
Windscale AGR ,2,AGR,,,1957,United Kingdom,52.216666666667,1.6194444444444,Nuclear,
