Name,Block,Technology,Capacity,DateIn,DateRetrofit,Country,lat,lon,Fueltype,source
Smolensk,3,RBMK-1000 (2. Gen.),925.0,1990,2034,Russian Federation,54.166666666667,33.233333333333,Nuclear,
Ågesta,1,PHWR,10.0,1964,1974,Sweden,59.206111111111,18.0825,Nuclear,
Barsebäck,1,BWR,600.0,1975,1999,Sweden,55.744444444444,12.920833333333,Nuclear,
Barsebäck,2,BWR,600.0,1977,2005,Sweden,55.744444444444,12.920833333333,Nuclear,
Forsmark,1,BWR,986.0,1980,,Sweden,60.403333333333,18.166666666667,Nuclear,
Forsmark,2,BWR,1116.0,1981,,Sweden,60.403333333333,18.166666666667,Nuclear,
Forsmark,3,BWR,1159.0,1985,,Sweden,60.403333333333,18.166666666667,Nuclear,
Oskarshamn,1,BWR,473.0,1972,2017,Sweden,57.415555555556,16.671111111111,Nuclear,
Oskarshamn,2,BWR,638.0,1975,2016,Sweden,57.415555555556,16.671111111111,Nuclear,
Oskarshamn,3,BWR,1400.0,1985,,Sweden,57.415555555556,16.671111111111,Nuclear,
Ringhals,1,BWR,881.0,1976,2020,Sweden,57.261111111111,12.108333333333,Nuclear,
