+,91,92,0.9954685685666452
+,92,91,0.9954685685666452
+,99,100,0.9958698335443148
+,100,99,0.9958698335443148
+,112,857,0.9957485924790019
+,193,194,0.9957424048683914
+,194,193,0.9957424048683914
+,228,229,0.9957945883612822
+,246,414,0.9958901597506848
+,257,867,0.9957676964925423
+,378,379,0.9953433686484778
+,379,378,0.9953433686484778
+,384,471,0.995886578986586
+,390,391,0.9957810433698562
+,390,392,0.9955278031963553
+,391,390,0.9957810433698562
+,391,392,0.9957745991519443
+,392,390,0.9955278031963553
+,392,391,0.9957745991519443
+,404,405,0.9955129266556347
+,405,404,0.9955129266556347
+,414,246,0.9958901597506848
+,428,429,0.9957577494808572
+,429,428,0.9957577494808572
+,445,446,0.9955167104711329
+,446,445,0.9955167104711329
+,461,462,0.9957308307331926
+,462,461,0.9957308307331926
+,471,384,0.995886578986586
+,474,726,0.9950611952175814
+,478,479,0.9955631331210076
+,479,478,0.9955631331210076
+,501,502,0.9957660581708233
+,502,501,0.9957660581708233
+,514,515,0.9958310123046447
+,514,516,0.9957655069642718
+,515,514,0.9958310123046447
+,515,516,0.9958178004895938
+,516,514,0.9957655069642718
+,516,515,0.9958178004895938
+,554,555,0.9956090878933992
+,555,554,0.9956090878933992
+,557,558,0.9953170296667685
+,558,557,0.9953170296667685
+,601,602,0.9954881161927597
+,602,601,0.9954881161927597
+,611,612,0.9958243832918859
+,612,611,0.9958243832918859
+,633,634,0.9956710774955303
+,634,633,0.9956710774955303
+,699,700,0.9950914805961995
+,700,699,0.9950914805961995
+,726,474,0.9950611952175814
+,728,729,0.9955619630038939
+,729,728,0.9955619630038939
+,746,747,0.9957987920396294
+,747,746,0.9957987920396294
+,846,847,0.995765491918816
+,847,846,0.995765491918816
+,857,112,0.9957485924790019
+,867,257,0.9957676964925423
+,960,961,0.9954863374328234
+,961,960,0.9954863374328234
