CARMA,Name,Name,Name,Name,Name,Name,Fueltype,Fueltype,Fueltype,Fueltype,Fueltype,Fueltype,Technology,Technology,Technology,Technology,Technology,Technology,Set,Set,Set,Set,Set,Set,Country,Country,Country,Country,Country,Country,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Efficiency,Efficiency,Efficiency,Efficiency,Efficiency,Efficiency,Duration,Duration,Duration,Duration,Duration,Duration,Volume_Mm3,Volume_Mm3,Volume_Mm3,Volume_Mm3,Volume_Mm3,Volume_Mm3,DamHeight_m,DamHeight_m,DamHeight_m,DamHeight_m,DamHeight_m,DamHeight_m,YearCommissioned,YearCommissioned,YearCommissioned,YearCommissioned,YearCommissioned,YearCommissioned,Retrofit,Retrofit,Retrofit,Retrofit,Retrofit,Retrofit,lat,lat,lat,lat,lat,lat,lon,lon,lon,lon,lon,lon,projectID,projectID,projectID,projectID,projectID,projectID
,CARMA,ENTSOE,GEO,GPD,JRC,OPSD,CARMA,ENTSOE,GEO,GPD,JRC,OPSD,CARMA,ENTSOE,GEO,GPD,JRC,OPSD,CARMA,ENTSOE,GEO,GPD,JRC,OPSD,CARMA,ENTSOE,GEO,GPD,JRC,OPSD,CARMA,ENTSOE,GEO,GPD,JRC,OPSD,CARMA,ENTSOE,GEO,GPD,JRC,OPSD,CARMA,ENTSOE,GEO,GPD,JRC,OPSD,CARMA,ENTSOE,GEO,GPD,JRC,OPSD,CARMA,ENTSOE,GEO,GPD,JRC,OPSD,CARMA,ENTSOE,GEO,GPD,JRC,OPSD,CARMA,ENTSOE,GEO,GPD,JRC,OPSD,CARMA,ENTSOE,GEO,GPD,JRC,OPSD,CARMA,ENTSOE,GEO,GPD,JRC,OPSD,CARMA,ENTSOE,GEO,GPD,JRC,OPSD
id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
738,Azutan,,,Azutan,Azutan,Azutan,Hydro,,,Hydro,Hydro,Hydro,,,,,Reservoir,,PP,,,,Store,PP,Spain,,,Spain,Spain,Spain,156.63248525150232,,,198.01,180.0,198.01,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,113.0,0.0,0.0,,,0.0,191.6,0.0,,,,1970.0,,1969.0,,,,,,1970.0,39.809663,,,39.7799,39.778999,39.778883,-5.147375,,,-5.0876,-5.088,-5.087189,['CARMA2724'],,,['WRI1006222'],['H272'],"['OEU4280', 'OEU4281', 'OEU4279']"
739,Ceannacroc,,,Ceannacroc,Ceannacroc,Ceannacroc,Hydro,,,Hydro,Hydro,Hydro,,,,,Run-Of-River,,PP,,,,Store,PP,United Kingdom,,,United Kingdom,United Kingdom,United Kingdom,20.884331366866974,,,20.0,56.0,20.0,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,1956.0,,,,,,1956.0,,,,57.1582,57.155998,57.15395899999999,,,,-4.9317,-4.936,-4.936589,['CARMA7514'],,,['GBR0004707'],"['H1402', 'H1053']",['OEU5263']
740,Marina,,,Santa marina gr,Santa marina,Marina,Hydro,,,Hydro,Hydro,Hydro,,,,,Reservoir,,PP,,,,Store,PP,Spain,,,Spain,Spain,Spain,28.628937582080145,,,34.68,33.0,39.612,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,1992.0,,1958.0,,,,,,1992.0,42.699547,,,42.5103,42.668999,,-6.512359,,,-5.872999999999999,-6.5120000000000005,,['CARMA39619'],,,['WRI1023649'],['H1092'],"['OEU2421', 'OEU4894', 'OEU4893', 'OEU2109', 'OEU4892']"
741,Cashlie,,,Cashlie,Cashlie,Cashlie,Hydro,,,Hydro,Hydro,Hydro,,,,,Run-Of-River,,PP,,,,Store,PP,United Kingdom,,,United Kingdom,United Kingdom,United Kingdom,9.57198520981403,,,11.0,11.0,11.0,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,142.0,0.0,,,,,,1959.0,,,,,,1959.0,56.5445241413346,,,56.5431,56.509998,56.545761,-4.45692146768046,,,-4.4651,-4.228,-4.429198,['CARMA7305'],,,['GBR0000407'],['H1715'],['OEU5243']
742,Canelles,,,Canelles,Canelles,Canelles,Hydro,,,Hydro,Hydro,Hydro,,,,,Reservoir,,PP,,,,Store,PP,Spain,,,Spain,Spain,Spain,93.97949115090138,,,107.4,108.0,107.39999999999999,,,,,,,0.0,,,0.0,2675.925925925926,0.0,0.0,,,0.0,679.0,0.0,0.0,,,0.0,49.0,0.0,,,,1959.0,,1959.0,,,,,,1959.0,41.873141,,,41.9763,41.958,41.977825,0.720168,,,0.6116,0.634,0.6111340000000001,['CARMA6939'],,,['WRI1006306'],['H477'],"['OEU4622', 'OEU4624', 'OEU4623']"
743,Bitsch,,,Bitsch biel,Bitsch,Bitsch,Hydro,,,Hydro,Hydro,Hydro,,,,,Reservoir,Reservoir,PP,,,,Store,PP,Switzerland,,,Switzerland,Switzerland,Switzerland,309.7842486085268,,,340.0,340.0,340.0,,,,,,,0.0,,,0.0,47.94117647058823,0.0,0.0,,,0.0,9.2,0.0,0.0,,,0.0,0.0,0.0,,,,1969.0,,1980.0,,,,,,1980.0,46.35,,,46.3336,46.33364617220001,46.33364617220001,7.9666667,,,8.0086,8.0075990397,8.0075990397,['CARMA4775'],,,['WRI1004078'],['H121'],['OEU854']
744,Biasca,,,Biasca,Biasca,Biasca,Hydro,,,Hydro,Hydro,Hydro,,,,,Reservoir,Reservoir,PP,,,,Store,PP,Switzerland,,,Switzerland,Switzerland,Switzerland,361.1248965520748,,,324.0,324.0,324.0,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,4.6,0.0,0.0,,,0.0,92.0,0.0,,,,1959.0,,2007.0,,,,,,2007.0,46.36588335757325,,,46.3335,46.334988521599904,46.334988521599996,8.94287109375,,,8.9798,8.98264959939,8.98264959939,"['CARMA4485', 'CARMA31907']",,,['WRI1004071'],['H133'],['OEU731']
745,Belesar,,,Belesar,Belesar,Belesar,Hydro,,,Hydro,Hydro,Hydro,,,,,Reservoir,,PP,,,,Store,PP,Spain,,,Spain,Spain,Spain,195.7906065643779,,,331.01,246.0,331.01000000000005,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,655.0,0.0,0.0,,,0.0,207.3,0.0,,,,1963.0,,1963.0,,,,,,2013.0,42.6087586580323,,,42.6263,42.628752000000006,42.628788,-7.77115345001221,,,-7.7135,-7.712100000000001,-7.711572,['CARMA3892'],,,['WRI1006246'],"['H201', 'H1361']","['OEU4992', 'OEU4991', 'OEU4990', 'OEU4088']"
746,Resio,Resio,,,Resio,,Hydro,Hydro,,,Hydro,,,,,,Run-Of-River,,PP,PP,,,Store,,Italy,Italy,,,Italy,,10.442165683433487,12.0,,,12.0,,,,,,,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,45.925692,44.8254715,,,45.925692,,10.250862,8.2755569,,,10.250862,,['CARMA37104'],['26WIMPI-S03RCSL7'],,,['H1675'],
747,Regoledo,Regoledo,,,Regoledo,,Hydro,Hydro,,,Hydro,,,,,,Run-Of-River,,PP,PP,,,Store,,Italy,Italy,,,Italy,,33.153876044901324,38.0,,,38.0,,,,,,,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,46.135091,46.02700309999999,,,46.135091,,9.551643,9.2966238,,,9.551643,,['CARMA65609'],['26WIMPI-S03RGLDS'],,,['H1014'],
748,Quincinetto,Quincinetto,,,Quincinetto,,Hydro,Hydro,,,Hydro,,,,,,Run-Of-River,,PP,PP,,,Store,,Italy,Italy,,,Italy,,19.14397041962806,21.0,,,21.0,,,,,,,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,45.56296,45.561809000000004,,,45.56296,,7.807314999999999,7.8078994999999995,,,7.80731499999999,,['CARMA36306'],['26WIMPI-S01QNCNO'],,,['H1356'],
749,Quero,Quero,,,Quero,,Hydro,Hydro,,,Hydro,,,,,,Run-Of-River,,PP,PP,,,Store,,Italy,Italy,,,Italy,,26.105414208583717,32.0,,,32.0,,,,,,,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,45.921807,45.9223593,,,45.921807,,11.9315,11.9304726,,,11.9315,,['CARMA36283'],['26WIMPI-S05QRUEM'],,,['H1106'],
750,Quart,Quartnus,,,Quart,,Hydro,Hydro,,,Hydro,,,,,,Run-Of-River,,PP,PP,,,Store,,Italy,Italy,,,Italy,,34.80721894477829,46.0,,,38.5,,,,,,,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,45.740261,,,,45.740261,,7.4666039999999985,,,,7.4666039999999905,,['CARMA36249'],['26WIMPI-S02QRTUB'],,,['H891'],
751,Pontecorvo,Pontecorvo,,,Pontecorvo,,Hydro,Hydro,,,Hydro,,,,,,Run-Of-River,,PP,PP,,,Store,,Italy,Italy,,,Italy,,16.968519235579418,18.0,,,18.0,,,,,,,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,41.382916,41.4545679,,,41.382916,,13.686910999999998,13.6637674,,,13.686910999999899,,['CARMA35266'],['26WIMPI-S12PNTCO'],,,['H1452'],
752,Pusteria,Rio pusteria,,,Rio pusteria,,Hydro,Hydro,,,Hydro,,,,,,Run-Of-River,,PP,PP,,,Store,,Italy,Italy,,,Italy,,5.221082841716743,21.0,,,21.0,,,,,,,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,46.8333333,46.79652110000001,,,46.8333333,,11.616666699999998,11.668100099999998,,,11.6166666999999,,['CARMA65845'],['26WIMPI-S04RPST7'],,,['H1357'],
753,Premesa,Premesa,,,Premesa,,Hydro,Hydro,,,Hydro,,,,,,Run-Of-River,,PP,PP,,,Store,,Italy,Italy,,,Italy,,7.135479883679549,8.0,,,8.0,,,,,,,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,46.56662,,,,46.56662,,11.56098,,,,11.56098,,['CARMA35715'],['26WIMPI-S04PMRM9'],,,['H1852'],
754,Predazzo,Predazzo,,,Predazzo,,Hydro,Hydro,,,Hydro,,,,,,Run-Of-River,,PP,PP,,,Store,,Italy,Italy,,,Italy,,13.22674319901575,15.0,,,26.0,,,,,,,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,46.308814,46.312589,,,46.308814,,11.599686,11.602437,,,11.599686,,['CARMA65843'],['26WIMPI-S04PRDZ5'],,,['H1225'],
755,Prati vizze,Prati vizze,,,Prati vizze,,Hydro,Hydro,,,Hydro,,,,,,Run-Of-River,,PP,PP,,,Store,,Italy,Italy,,,Italy,,18.882916277542222,25.0,,,25.0,,,,,,,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,46.85,46.8998845,,,46.85,,11.383333300000002,11.4620573,,,11.383333300000002,,['CARMA35684'],['26WIMPI-S04PDVRN'],,,['H1261'],
756,Pracomune,Pracomune,,,Pracomune,,Hydro,Hydro,,,Hydro,,,,,,Pumped Storage,,PP,PP,,,Store,,Italy,Italy,,,Italy,,36.547579892017204,35.0,,,38.5,,,,,,,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,46.5478079,,,,,,11.0070771,,['CARMA35648'],['26WIMPI-S04PRCMY'],,,['H1001'],
757,Poschiavino,Poschiavino c.le,,,Poschiavino le,,Hydro,Hydro,,,Hydro,,,,,,Run-Of-River,,PP,PP,,,Store,,Italy,Italy,,,Italy,,10.080170606407794,10.0,,,10.0,,,,,,,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,46.203898,,,,46.203898,,10.133854,,,,10.133854,,"['CARMA65607', 'CARMA64880']",['26WIMPI-S03PCSCZ'],,,['H1757'],
758,Rinaldi,Villa rinaldi,,,Villa rinaldi,,Hydro,Hydro,,,Hydro,,,,,,Run-Of-River,,PP,PP,,,Store,,Italy,Italy,,,Italy,,16.78578133611933,10.0,,,10.0,,,,,,,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,46.0347222,39.3115743,,,46.0347222,,12.679166699999998,16.050815099999998,,,12.6791666999999,,['CARMA48242'],['26WIMPI-S06VRLL4'],,,['H1759'],
759,Perreres,Perreres,,,Maën perreres,,Hydro,Hydro,,,Hydro,,,,,,Reservoir,,PP,PP,,,Store,,Italy,Italy,,,Italy,,15.66324852515023,18.0,,,43.0,,,,,,,,0.0,0.0,,,0.0,,0.0,0.0,,,11.007,,0.0,0.0,,,1149.0,,,,,,,,,,,,,,45.876066,45.9063731,,,45.8739176,,7.624305,7.6153222000000005,,,7.615550399999999,,['CARMA63178'],['26WIMPI-S02PRRRS'],,,"['H2486', 'H1451']",
760,Pizzone,Pizzone,,,Pizzone,,Hydro,Hydro,,,Hydro,,,,,,Reservoir,,PP,PP,,,Store,,Italy,Italy,,,Italy,,16.53342899876969,19.0,,,19.0,,,,,,,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,41.672525,41.6750756,,,41.672525,,14.036415,14.036845399999999,,,14.036415,,['CARMA34837'],['26WIMPI-S14PZZNZ'],,,['H1426'],
761,Pelos,Pelos,,,Pelos,,Hydro,Hydro,,,Hydro,,,,,,Run-Of-River,,PP,PP,,,Store,,Italy,Italy,,,Italy,,27.845775155822633,32.0,,,32.0,,,,,,,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,46.5041667,46.48954089999999,,,46.5041667,,12.4736111,12.459936,,,12.4736111,,['CARMA34085'],['26WIMPI-S05PLSEK'],,,['H1105'],
762,Ozieri,Ozieri,,,Ozieri monte lerno,,Hydro,Hydro,,,Hydro,,,,,,Reservoir,,PP,PP,,,Store,,Italy,Italy,,,Italy,,8.614786688832627,5.0,,,5.0,,,,,,,,0.0,0.0,,,0.0,,0.0,0.0,,,72.1,,0.0,0.0,,,60.5,,,,,,,,,,,,,,40.585962,40.5862496,,,40.585962,,9.001224,9.000060099999997,,,9.001224,,['CARMA33253'],['26WIMPI-S20OZRIH'],,,['H2003'],
763,Paisco,Paisco,,,Paisco,,Hydro,Hydro,,,Hydro,,,,,,Run-Of-River,,PP,PP,,,Store,,Italy,Italy,,,Italy,,7.309515978403441,7.0,,,7.0,,,,,,,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,46.030996,46.067035,,,46.030996,,10.345862,10.2327561,,,10.345862,,['CARMA61239'],['26WIMPI-S03PSCI7'],,,['H1893'],
764,Palace,Palazzo,,,Palazzo,,Hydro,Hydro,,,Hydro,,,,,,Run-Of-River,,PP,PP,,,Store,,Italy,Italy,,,Italy,,80.05660357299007,46.0,,,46.0,,,,,,,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,39.799101,,,,39.799101,,15.90748,,,,15.90748,,"['CARMA65525', 'CARMA33397']",['26WIMPI-S18P2LZD'],,,['H889'],
765,Pallanzeno,Pallanzeno,,,Pallanzeno,,Hydro,Hydro,,,Hydro,,,,,,Run-Of-River,,PP,PP,,,Store,,Italy,Italy,,,Italy,,34.80721894477829,41.0,,,41.0,,,,,,,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,46.0420207259643,46.0396515,,,46.0420207259643,,8.259487152099611,8.260328399999999,,,8.259487152099611,,['CARMA61240'],['26WIMPI-S01PLLNA'],,,['H959'],
766,Pantano,Pantano d'avio,,,Pantano d'avio,,Hydro,Hydro,,,Hydro,,,,,,Reservoir,,PP,PP,,,Store,,Italy,Italy,,,Italy,,11.747436393862673,13.0,,,13.0,,,,,,,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,46.178199,46.165,,,46.178199,,10.329159,10.47194,,,10.329159,,['CARMA65604'],['26WIMPI-S03PDNTC'],,,['H1623'],
767,Pedesina,Pedesina,,,Pedesina,,Hydro,Hydro,,,Hydro,,,,,,Run-Of-River,,PP,PP,,,Store,,Italy,Italy,,,Italy,,10.442165683433487,12.0,,,12.0,,,,,,,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,46.08189,46.0820044,,,46.08189,,9.549444,9.5502985,,,9.549444,,['CARMA65605'],['26WIMPI-S03PDSN9'],,,['H1674'],
768,Penna,Penna,,,Penna,,Hydro,Hydro,,,Hydro,,,,,,Run-Of-River,,PP,PP,,,Store,,Italy,Italy,,,Italy,,22.53767426674394,25.0,,,25.0,,,,,,,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,43.417645,42.456911600000005,,,43.417645,,11.723338,13.9281293,,,11.723338,,['CARMA23829'],['26WIMPI-S09LPNNY'],,,['H1260'],
769,Pieve vergonte,Pieve vergonte,,,Pieve vergonte,,Hydro,Hydro,,,Hydro,,,,,,Run-Of-River,,PP,PP,,,Store,,Italy,Italy,,,Italy,,46.03254705446929,50.0,,,50.0,,,,,,,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,46.012976,45.976002799999996,,,46.012976,,8.260816,8.282906299999999,,,8.260816,,"['CARMA34595', 'CARMA34594']",['26WIMPI-S01PVVR6'],,,['H844'],
770,Rovesca alpe cavalli,Rovesca,,,Rovesca,,Hydro,Hydro,,,Hydro,,,,,,Reservoir,,PP,PP,,,Store,,Italy,Italy,,,Italy,,18.795898230180278,43.0,,,43.0,,,,,,,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,46.060376,46.056701200000006,,,46.060376,,8.114612,8.1237738,,,8.114612,,['CARMA38110'],['26WIMPIOVESCA-1G'],,,['H930'],
771,Pescara,Pescara,,,Pescara,,Hydro,Hydro,,,Hydro,,,,,,Run-Of-River,,PP,PP,,,Store,,Italy,Italy,,,Italy,,9.746021304537921,10.0,,,10.0,,,,,,,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,42.213736,42.4617902,,,42.213736,,13.913504,14.216089800000002,,,13.913504,,['CARMA61238'],['26WIMPI-S13P1SCZ'],,,['H1755'],
772,Pian della rocca,Pian della rocca,,,Pian della rocca,,Hydro,Hydro,,,Hydro,,,,,,Run-Of-River,,PP,PP,,,Store,,Italy,Italy,,,Italy,,19.14397041962806,23.0,,,23.0,,,,,,,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,43.978948,44.00404169999999,,,43.978948,,10.545703,10.545784800000002,,,10.545703,,['CARMA65810'],['26WIMPI-S09PDRND'],,,['H1315'],
773,Piane,Le piane,,,Le piane,,Hydro,Hydro,,,Hydro,,,,,,Run-Of-River,,PP,PP,,,Store,,Italy,Italy,,,Italy,,8.701804736194573,10.0,,,10.0,,,,,,,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,44.142257,45.679070200000005,,,44.142257,,11.163814,8.407976699999999,,,11.163814,,['CARMA65542'],['26WIMPI-S08LPNEL'],,,['H1756'],
774,Piedimulera,Piedimulera,,,Piedimulera,,Hydro,Hydro,,,Hydro,,,,,,Run-Of-River,,PP,PP,,,Store,,Italy,Italy,,,Italy,,6.491546333201152,7.0,,,7.0,,,,,,,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,46.0240849251647,46.02110510000001,,,46.0240849251647,,8.25897216796875,8.2573677,,,8.25897216796875,,['CARMA65717'],['26WIMPI-S01PDMCO'],,,['H1894'],
775,Pietraporzio,Pietraporzio,,,Pietraporzio,,Hydro,Hydro,,,Hydro,,,,,,Run-Of-River,,PP,PP,,,Store,,Italy,Italy,,,Italy,,11.312346157052945,13.0,,,13.0,,,,,,,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,44.343724,44.3432404,,,44.343724,,7.035322,7.035860799999999,,,7.035322,,['CARMA34588'],['26WIMPI-S01PTRRQ'],,,['H1624'],
776,Riva,Rio riva,,,Rio riva,,Hydro,Hydro,,,Hydro,,,,,,Run-Of-River,,PP,PP,,,Store,,Italy,Italy,,,Italy,,14.706050004168826,18.0,,,18.0,,,,,,,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,46.920333,45.8891984,,,46.920333,,11.954483,10.8430696,,,11.954483,,['CARMA58909'],['26WIMPI-S04CTNB6'],,,['H1453'],
777,Sarentino,Sarentino,,,Sarentino,,Hydro,Hydro,,,Hydro,,,,,,Run-Of-River,,PP,PP,,,Store,,Italy,Italy,,,Italy,,20.710295272143085,20.0,,,20.0,,,,,,,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,46.64352,46.6412136,,,46.64352,,11.355774,11.354108199999999,,,11.355774,,['CARMA39849'],['26WIMPI-S04SRNT9'],,,['H1397'],
778,Sagittario,Sagittario nuovo,,,Sagittario nuovo,,Hydro,Hydro,,,Hydro,,,,,,Run-Of-River,,PP,PP,,,Store,,Italy,Italy,,,Italy,,17.403609472389146,20.0,,,20.0,,,,,,,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,41.99383,,,,41.99383,,13.803905,,,,13.803905,,['CARMA38587'],['26WIMPI-S13SMSZ1'],,,['H1396'],
779,Salbertrand chiomonte,Chiomonte,,,Salbertrand chiomonte,,Hydro,Hydro,,,Hydro,,,,,,Run-Of-River,,PP,PP,,,Store,,Italy,Italy,,,Italy,,14.096923672635207,16.0,,,15.0,,,,,,,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,45.1177836,,,45.12167,,,6.9834046,,,6.979784,,['CARMA38830'],['26WIMPI-S01CHMNE'],,,['H3316'],
780,Tafjord,Tafjord,,,Tafjord,,Hydro,Hydro,,,Hydro,,,,,,Reservoir,,PP,PP,,,Store,,Norway,Norway,,,Norway,,40.89848226011449,113.0,,,164.5,,,,,,,,0.0,0.0,,,531.9392097264438,,0.0,0.0,,,94.0,,0.0,0.0,,,977.0,,,,,,,,,,,,,,62.25,62.23115129999999,,,62.22127766666667,,7.4333333,7.4153287,,,7.432461,,"['CARMA44161', 'CARMA44160']",['50WP00000000729K'],,,"['N148', 'N147', 'N146']",
781,Tanagro,Tanagro,,,Tanagro,,Hydro,Hydro,,,Hydro,,,,,,Run-Of-River,,PP,PP,,,Store,,Italy,Italy,,,Italy,,15.837284619874122,20.0,,,18.0,,,,,,,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,40.543612,40.4249397,,,40.543612,,15.44886,15.546451000000001,,,15.44886,,['CARMA44466'],['26WIMPI-S15TNGRW'],,,['H1454'],
782,Teglia,Teglia,,,Teglia,,Hydro,Hydro,,,Hydro,,,,,,Run-Of-River,,PP,PP,,,Store,,Italy,Italy,,,Italy,,26.540504445393445,32.0,,,32.0,,,,,,,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,44.375151,40.6734304,,,44.375151,,9.878882,15.3464163,,,9.878882,,['CARMA44853'],['26WIMPI-S09STYPK'],,,['H1107'],
783,Tirso,Tirso,,,Tirso,,Hydro,Hydro,,,Hydro,,,,,,Run-Of-River,,PP,PP,,,Store,,Italy,Italy,,,Italy,,20.884331366866974,20.0,,,20.0,,,,,,,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,40.032651,39.915462700000006,,,40.032651,,8.896728999999997,8.607190899999999,,,8.89672899999999,,"['CARMA45532', 'CARMA45533']",['26WIMPI-S20CTNTH'],,,['H1398'],
784,Tornavento,Tornavento,,,Tornavento,,Hydro,Hydro,,,Hydro,,,,,,Run-Of-River,,PP,PP,,,Store,,Italy,Italy,,,Italy,,6.439335504783984,7.0,,,7.0,,,,,,,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,45.59677,45.58134829999999,,,45.59677,,8.754735,8.7097632,,,8.754735,,['CARMA65622'],['26WIMPI-S01TRNVI'],,,['H1896'],
785,Torre,Torrent,,,Torrent,,Hydro,Hydro,,,Hydro,,,,,,Run-Of-River,,PP,PP,,,Store,,Italy,Italy,,,Italy,,10.268129588709597,15.0,,,14.49,,,,,,,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,45.682972,,,,45.682972,,8.708733,,,,8.708733,,['CARMA65606'],['26WIMPI-0456524T'],,,['H1553'],
786,Triano,Triano,,,Triano,,Hydro,Hydro,,,Hydro,,,,,,Run-Of-River,,PP,PP,,,Store,,Italy,Italy,,,Italy,,20.884331366866974,24.0,,,24.0,,,,,,,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,42.360941,42.540468100000005,,,42.360941,,14.138007,13.816010999999998,,,14.138007,,['CARMA46276'],['26WIMPI-S13TRNIP'],,,['H1290'],
787,Tusciano,Tusciano,,,Tusciano,,Hydro,Hydro,,,Hydro,,,,,,Run-Of-River,,PP,PP,,,Store,,Italy,Italy,,,Italy,,7.396534025765387,10.0,,,9.0,,,,,,,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,40.657211,40.6088874,,,40.657211,,15.02305,14.95956,,,15.02305,,['CARMA46680'],['26WIMPI-S15TSCNW'],,,['H1806'],
788,Val noana,Val noana,,,Val noana,,Hydro,Hydro,,,Hydro,,,,,,Reservoir,,PP,PP,,,Store,,Italy,Italy,,,Italy,,48.382034333241826,55.0,,,55.0,,,,,,,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,46.149311,46.138214000000005,,,46.149311,,11.789193,11.839135,,,11.789193,,['CARMA47535'],['26WIMPI-S04VNLNS'],,,['H790'],
789,Valsoera talessio,Telessio,,,Valsoera telessio,,Hydro,Hydro,,,Hydro,,,,,,Pumped Storage,,PP,PP,,,Store,,Italy,Italy,,,Italy,,29.15104586625182,35.0,,,34.4,,,,,,,,0.0,0.0,,,0.0,,0.0,0.0,,,7.7,,0.0,0.0,,,555.0,,,,,,,,,,,,,,,,,,45.487814,,,,,,7.395236,,['CARMA47691'],['26WIMPI-S01TLSSX'],,,['H3312'],
